Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
San Miguel	0.0	0.0	0.0	0.0
Torrance	0.0	0.0	0.0	0.0
Los Alamos	0.0	0.0	0.0	0.0
Sandoval	2.428	655.597	1.672e-05	0.00451578
Valencia	0.0	0.0	0.0	0.0
Santa Fe	0.0	7.359	0.0	4.904e-05
Curry	0.0	0.0	0.0	0.0
Lincoln	0.0	0.0	0.0	0.0
Dona Ana	6.04	715.491	2.777e-05	0.00328928
Catron	0.0	0.0	0.0	0.0
Rio Arriba	0.0	0.0	0.0	0.0
Cibola	6.052	887.877	0.00022628	0.03319663
Socorro	0.104	26.543	6.21e-06	0.00158608
Chaves	0.0	0.652	0.0	1.008e-05
San Juan	25.309	4013.327	0.0002024	0.03209558
Eddy	0.0	0.0	0.0	0.0
Taos	0.0	0.0	0.0	0.0
Roosevelt	0.0	0.0	0.0	0.0
Unassigned	0.0	0.0	N/A	N/A
Bernalillo	14.036	3079.325	2.068e-05	0.00453709
Lea	0.0	0.0	0.0	0.0
Otero	0.0	0.0	0.0	0.0
McKinley	24.682	3129.051	0.00034143	0.0432847
Grant	0.0	0.0	0.0	0.0
