Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
San Miguel	0.0	0.23	15.23	1.288	143.101	143.101	0.0	8.34e-06	0.00055199	4.668e-05	0.00518651	0.00518651
Torrance	0.0	0.296	35.296	0.0	0.0	1.0	0.0	1.899e-05	0.00226387	0.0	0.0	6.414e-05
Quay	0.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	0.00060584	0.0	0.0	0.00012117
Los Alamos	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.00031412	0.0	0.0	0.0
Sandoval	0.0	34.652	631.652	0.0	1.082	28.082	0.0	0.00023868	0.00435085	0.0	7.45e-06	0.00019343
Valencia	18.456	496.37	577.37	0.0	0.62	2.62	0.00024139	0.00649223	0.00755166	0.0	8.11e-06	3.427e-05
Santa Fe	0.383	42.508	197.508	0.0	0.0	3.0	2.55e-06	0.00028328	0.00131623	0.0	0.0	1.999e-05
Curry	0.222	24.693	86.693	0.0	0.0	0.0	4.49e-06	0.00049948	0.00175361	0.0	0.0	0.0
Lincoln	8.183	220.088	225.088	0.0	0.0	0.0	0.00041844	0.01125424	0.01150992	0.0	0.0	0.0
Dona Ana	1.959	217.69	787.69	0.0	0.62	3.62	9.01e-06	0.00100077	0.0036212	0.0	2.85e-06	1.664e-05
Catron	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.00055897	0.0	0.0	0.00027949
Luna	2.87	97.383	109.383	0.0	0.0	1.0	0.00011977	0.00406389	0.00456466	0.0	0.0	4.173e-05
Rio Arriba	0.338	37.547	91.547	0.0	0.0	1.0	8.67e-06	0.0009626	0.002347	0.0	0.0	2.564e-05
Cibola	0.418	46.452	212.452	0.094	6.96	12.96	1.563e-05	0.00173678	0.00794332	3.51e-06	0.00026023	0.00048456
Debaca	0.0	0.0	1.0	0.094	6.96	6.96	0.0	0.0	0.00056148	5.278e-05	0.00390792	0.00390792
Sierra	0.0	0.0	1.0	0.094	6.96	6.96	0.0	0.0	9.117e-05	8.57e-06	0.00063457	0.00063457
Socorro	16.951	400.658	455.658	0.0	0.52	5.52	0.00101291	0.02394132	0.02722785	0.0	3.107e-05	0.00032985
Chaves	0.227	25.198	74.198	0.0	0.0	2.0	3.51e-06	0.00038953	0.001147	0.0	0.0	3.092e-05
San Juan	5.65	627.768	2593.768	0.491	50.179	182.179	4.518e-05	0.00502042	0.02074301	3.93e-06	0.00040129	0.00145693
Doña Ana	0.0	0.0	0.0	0.0	0.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
Eddy	1.156	66.843	101.843	0.0	0.0	1.0	1.997e-05	0.00115446	0.00175895	0.0	0.0	1.727e-05
Taos	0.583	43.331	74.331	0.0	0.0	0.0	1.776e-05	0.00131966	0.00226377	0.0	0.0	0.0
Roosevelt	0.132	15.172	57.172	0.0	0.0	0.0	7.04e-06	0.00080948	0.00305031	0.0	0.0	0.0
Colfax	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.00041288	0.0	0.0	0.0
Hidalgo	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00023585	0.0	0.0	0.0
Unassigned	727.89	19576.122	20184.122	1.025	113.855	114.855	N/A	N/A	N/A	N/A	N/A	N/A
Bernalillo	0.771	239.478	1831.478	0.07	8.639	83.639	1.14e-06	0.00035285	0.0026985	1e-07	1.273e-05	0.00012323
Lea	0.051	6.193	35.193	0.07	8.639	8.639	7.3e-07	8.897e-05	0.00050557	1.01e-06	0.0001241	0.0001241
Otero	0.0	1.854	27.854	0.0	1.573	5.573	0.0	2.776e-05	0.00041709	0.0	2.355e-05	8.345e-05
Union	0.006	1.773	6.773	0.0	1.574	1.574	1.46e-06	0.00043055	0.00164473	0.0	0.00038222	0.00038222
Guadalupe	0.0	0.014	20.014	0.0	1.573	1.573	0.0	3.23e-06	0.00461046	0.0	0.00036236	0.00036236
Harding	0.0	0.0	1.0	0.0	1.573	1.573	0.0	0.0	0.00152672	0.0	0.00240153	0.00240153
McKinley	7.217	801.94	3495.94	0.714	72.942	202.942	9.983e-05	0.01109337	0.04835994	9.88e-06	0.00100902	0.00280733
Mora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Grant	0.0	0.014	15.014	0.714	72.942	72.942	0.0	5.1e-07	0.00054904	2.611e-05	0.00266737	0.00266737
