Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-12	0.724	28.724	0.209	4.209
2020-06-13	0.766	29.49	0.239	4.448
2020-06-14	0.798	30.288	0.271	4.719
2020-06-15	0.816	31.104	0.304	5.023
2020-06-16	0.827	31.931	0.338	5.361
2020-06-17	0.83	32.761	0.371	5.732
2020-06-18	0.828	33.589	0.404	6.136
2020-06-19	0.82	34.409	0.439	6.575
2020-06-20	0.81	35.219	0.478	7.053
2020-06-21	0.798	36.017	0.516	7.569
2020-06-22	0.782	36.799	0.553	8.122
2020-06-23	0.764	37.563	0.585	8.707
2020-06-24	0.744	38.307	0.609	9.316
2020-06-25	0.724	39.031	0.623	9.939
2020-06-26	0.704	39.735	0.631	10.57
2020-06-27	0.686	40.421	0.634	11.204
2020-06-28	0.669	41.09	0.632	11.836
2020-06-29	0.652	41.742	0.627	12.463
2020-06-30	0.634	42.376	0.618	13.081
2020-07-01	0.614	42.99	0.609	13.69
2020-07-02	0.592	43.582	0.597	14.287
2020-07-03	0.569	44.151	0.583	14.87
2020-07-04	0.546	44.697	0.568	15.438
2020-07-05	0.523	45.22	0.553	15.991
2020-07-06	0.5	45.72	0.538	16.529
2020-07-07	0.477	46.197	0.524	17.053
2020-07-08	0.456	46.653	0.511	17.564
2020-07-09	0.434	47.087	0.498	18.062
2020-07-10	0.413	47.5	0.484	18.546
2020-07-11	0.393	47.893	0.469	19.015
2020-07-12	0.373	48.266	0.452	19.467
2020-07-13	0.354	48.62	0.435	19.902
2020-07-14	0.336	48.956	0.417	20.319
2020-07-15	0.318	49.274	0.399	20.718
2020-07-16	0.302	49.576	0.382	21.1
2020-07-17	0.286	49.862	0.365	21.465
2020-07-18	0.27	50.132	0.348	21.813
2020-07-19	0.255	50.387	0.332	22.145
2020-07-20	0.241	50.628	0.316	22.461
2020-07-21	0.226	50.854	0.3	22.761
2020-07-22	0.212	51.066	0.285	23.046
2020-07-23	0.197	51.263	0.27	23.316
2020-07-24	0.183	51.446	0.256	23.572
2020-07-25	0.17	51.616	0.243	23.815
2020-07-26	0.158	51.774	0.23	24.045
2020-07-27	0.148	51.922	0.218	24.263
2020-07-28	0.139	52.061	0.207	24.47
2020-07-29	0.132	52.193	0.195	24.665
2020-07-30	0.125	52.318	0.184	24.849
2020-07-31	0.118	52.436	0.173	25.022
2020-08-01	0.111	52.547	0.162	25.184
2020-08-02	0.104	52.651	0.151	25.335
2020-08-03	0.097	52.748	0.14	25.475
2020-08-04	0.09	52.838	0.13	25.605
2020-08-05	0.084	52.922	0.121	25.726
2020-08-06	0.078	53.0	0.113	25.839
2020-08-07	0.073	53.073	0.106	25.945
2020-08-08	0.068	53.141	0.1	26.045
2020-08-09	0.064	53.205	0.095	26.14
2020-08-10	0.06	53.265	0.09	26.23
2020-08-11	0.056	53.321	0.084	26.314
2020-08-12	0.052	53.373	0.079	26.393
2020-08-13	0.048	53.421	0.074	26.467
2020-08-14	0.044	53.465	0.069	26.536
2020-08-15	0.04	53.505	0.064	26.6
2020-08-16	0.036	53.541	0.06	26.66
2020-08-17	0.032	53.573	0.056	26.716
2020-08-18	0.029	53.602	0.052	26.768
2020-08-19	0.026	53.628	0.049	26.817
2020-08-20	0.023	53.651	0.046	26.863
2020-08-21	0.02	53.671	0.043	26.906
2020-08-22	0.018	53.689	0.04	26.946
2020-08-23	0.015	53.704	0.037	26.983
2020-08-24	0.012	53.716	0.034	27.017
2020-08-25	0.01	53.726	0.031	27.048
2020-08-26	0.007	53.733	0.027	27.075
2020-08-27	0.004	53.737	0.025	27.1
2020-08-28	0.003	53.74	0.022	27.122
2020-08-29	0.002	53.742	0.02	27.142
2020-08-30	0.001	53.743	0.018	27.16
2020-08-31	0.001	53.744	0.016	27.176
2020-09-01	0.001	53.745	0.014	27.19
2020-09-02	0.001	53.746	0.012	27.202
2020-09-03	0.0	53.746	0.009	27.211
2020-09-04	0.0	53.746	0.007	27.218
2020-09-05	0.0	53.746	0.005	27.223
2020-09-06	0.0	53.746	0.003	27.226
2020-09-07	0.0	53.746	0.002	27.228
2020-09-08	0.0	53.746	0.001	27.229
2020-09-09	0.0	53.746	0.001	27.23
2020-09-10	0.0	53.746	0.001	27.231
2020-09-11	0.0	53.746	0.0	27.231
2020-09-12	0.0	53.746	0.0	27.231
2020-09-13	0.0	53.746	0.0	27.231
2020-09-14	0.0	53.746	0.0	27.231
2020-09-15	0.0	53.746	0.0	27.231
