Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-24	11.8	272.8	0.0	1.0
2020-07-25	13.714	286.514	0.0	1.0
2020-07-26	15.796	302.31	0.0	1.0
2020-07-27	18.079	320.389	0.0	1.0
2020-07-28	20.505	340.894	0.0	1.0
2020-07-29	23.005	363.899	0.0	1.0
2020-07-30	25.529	389.428	0.0	1.0
2020-07-31	28.043	417.471	0.0	1.0
2020-08-01	30.578	448.049	0.0	1.0
2020-08-02	33.216	481.265	0.0	1.0
2020-08-03	36.125	517.39	0.0	1.0
2020-08-04	39.026	556.416	0.0	1.0
2020-08-05	41.833	598.249	0.0	1.0
2020-08-06	44.216	642.465	0.0	1.0
2020-08-07	46.067	688.532	0.0	1.0
2020-08-08	47.134	735.666	0.0	1.0
2020-08-09	47.738	783.404	0.0	1.0
2020-08-10	47.909	831.313	0.0	1.0
2020-08-11	47.819	879.132	0.0	1.0
2020-08-12	47.379	926.511	0.0	1.0
2020-08-13	46.763	973.274	0.0	1.0
2020-08-14	46.058	1019.332	0.0	1.0
2020-08-15	45.17	1064.502	0.0	1.0
2020-08-16	44.103	1108.605	0.0	1.0
2020-08-17	42.954	1151.559	0.0	1.0
2020-08-18	41.807	1193.366	0.0	1.0
2020-08-19	40.667	1234.033	0.0	1.0
2020-08-20	39.618	1273.651	0.0	1.0
2020-08-21	38.656	1312.307	0.0	1.0
2020-08-22	37.678	1349.985	0.0	1.0
2020-08-23	36.609	1386.594	0.0	1.0
2020-08-24	35.448	1422.042	0.0	1.0
2020-08-25	34.197	1456.239	0.0	1.0
2020-08-26	32.861	1489.1	0.0	1.0
2020-08-27	31.524	1520.624	0.0	1.0
2020-08-28	30.187	1550.811	0.0	1.0
2020-08-29	28.864	1579.675	0.0	1.0
2020-08-30	27.568	1607.243	0.0	1.0
2020-08-31	26.311	1633.554	0.0	1.0
2020-09-01	25.071	1658.625	0.0	1.0
2020-09-02	23.86	1682.485	0.0	1.0
2020-09-03	22.682	1705.167	0.0	1.0
2020-09-04	21.546	1726.713	0.0	1.0
2020-09-05	20.441	1747.154	0.0	1.0
2020-09-06	19.388	1766.542	0.0	1.0
2020-09-07	18.384	1784.926	0.0	1.0
2020-09-08	17.427	1802.353	0.0	1.0
2020-09-09	16.505	1818.858	0.0	1.0
2020-09-10	15.615	1834.473	0.0	1.0
2020-09-11	14.753	1849.226	0.0	1.0
2020-09-12	13.907	1863.133	0.0	1.0
2020-09-13	13.068	1876.201	0.0	1.0
2020-09-14	12.229	1888.43	0.0	1.0
2020-09-15	11.389	1899.819	0.0	1.0
2020-09-16	10.564	1910.383	0.0	1.0
2020-09-17	9.799	1920.182	0.0	1.0
2020-09-18	9.125	1929.307	0.0	1.0
2020-09-19	8.539	1937.846	0.0	1.0
2020-09-20	8.035	1945.881	0.0	1.0
2020-09-21	7.598	1953.479	0.0	1.0
2020-09-22	7.192	1960.671	0.0	1.0
2020-09-23	6.79	1967.461	0.0	1.0
2020-09-24	6.388	1973.849	0.0	1.0
2020-09-25	5.986	1979.835	0.0	1.0
2020-09-26	5.583	1985.418	0.0	1.0
2020-09-27	5.187	1990.605	0.0	1.0
2020-09-28	4.827	1995.432	0.0	1.0
2020-09-29	4.502	1999.934	0.0	1.0
2020-09-30	4.21	2004.144	0.0	1.0
2020-10-01	3.95	2008.094	0.0	1.0
2020-10-02	3.714	2011.808	0.0	1.0
2020-10-03	3.48	2015.288	0.0	1.0
2020-10-04	3.246	2018.534	0.0	1.0
2020-10-05	3.011	2021.545	0.0	1.0
2020-10-06	2.777	2024.322	0.0	1.0
2020-10-07	2.542	2026.864	0.0	1.0
2020-10-08	2.307	2029.171	0.0	1.0
2020-10-09	2.078	2031.249	0.0	1.0
2020-10-10	1.865	2033.114	0.0	1.0
2020-10-11	1.67	2034.784	0.0	1.0
2020-10-12	1.492	2036.276	0.0	1.0
2020-10-13	1.329	2037.605	0.0	1.0
2020-10-14	1.175	2038.78	0.0	1.0
2020-10-15	1.023	2039.803	0.0	1.0
2020-10-16	0.871	2040.674	0.0	1.0
2020-10-17	0.717	2041.391	0.0	1.0
2020-10-18	0.56	2041.951	0.0	1.0
2020-10-19	0.398	2042.349	0.0	1.0
2020-10-20	0.256	2042.605	0.0	1.0
2020-10-21	0.158	2042.763	0.0	1.0
2020-10-22	0.099	2042.862	0.0	1.0
2020-10-23	0.066	2042.928	0.0	1.0
2020-10-24	0.047	2042.975	0.0	1.0
2020-10-25	0.036	2043.011	0.0	1.0
2020-10-26	0.029	2043.04	0.0	1.0
2020-10-27	0.023	2043.063	0.0	1.0
2020-10-28	0.018	2043.081	0.0	1.0
2020-10-29	0.014	2043.095	0.0	1.0
2020-10-30	0.01	2043.105	0.0	1.0
