Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-22	39.213	1490.213	2.307	101.307
2020-05-23	37.83	1528.043	2.277	103.584
2020-05-24	36.351	1564.394	2.242	105.826
2020-05-25	34.873	1599.267	2.199	108.025
2020-05-26	33.394	1632.661	2.147	110.172
2020-05-27	31.93	1664.591	2.091	112.263
2020-05-28	30.497	1695.088	2.035	114.298
2020-05-29	29.106	1724.194	1.98	116.278
2020-05-30	27.734	1751.928	1.929	118.207
2020-05-31	26.395	1778.323	1.882	120.089
2020-06-01	25.091	1803.414	1.834	121.923
2020-06-02	23.835	1827.249	1.782	123.705
2020-06-03	22.613	1849.862	1.726	125.431
2020-06-04	21.448	1871.31	1.665	127.096
2020-06-05	20.337	1891.647	1.6	128.696
2020-06-06	19.278	1910.925	1.535	130.231
2020-06-07	18.258	1929.183	1.47	131.701
2020-06-08	17.274	1946.457	1.405	133.106
2020-06-09	16.32	1962.777	1.342	134.448
2020-06-10	15.384	1978.161	1.281	135.729
2020-06-11	14.457	1992.618	1.221	136.95
2020-06-12	13.528	2006.146	1.162	138.112
2020-06-13	12.599	2018.745	1.104	139.216
2020-06-14	11.687	2030.432	1.049	140.265
2020-06-15	10.84	2041.272	0.995	141.26
2020-06-16	10.094	2051.366	0.944	142.204
2020-06-17	9.446	2060.812	0.895	143.099
2020-06-18	8.889	2069.701	0.848	143.947
2020-06-19	8.405	2078.106	0.804	144.751
2020-06-20	7.956	2086.062	0.76	145.511
2020-06-21	7.512	2093.574	0.718	146.229
2020-06-22	7.067	2100.641	0.677	146.906
2020-06-23	6.622	2107.263	0.636	147.542
2020-06-24	6.176	2113.439	0.595	148.137
2020-06-25	5.738	2119.177	0.554	148.691
2020-06-26	5.339	2124.516	0.514	149.205
2020-06-27	4.98	2129.496	0.477	149.682
2020-06-28	4.658	2134.154	0.444	150.126
2020-06-29	4.37	2138.524	0.416	150.542
2020-06-30	4.108	2142.632	0.391	150.933
2020-07-01	3.849	2146.481	0.37	151.303
2020-07-02	3.59	2150.071	0.35	151.653
2020-07-03	3.331	2153.402	0.331	151.984
2020-07-04	3.072	2156.474	0.311	152.295
2020-07-05	2.812	2159.286	0.291	152.586
2020-07-06	2.552	2161.838	0.272	152.858
2020-07-07	2.299	2164.137	0.253	153.111
2020-07-08	2.063	2166.2	0.235	153.346
2020-07-09	1.847	2168.047	0.219	153.565
2020-07-10	1.65	2169.697	0.205	153.77
2020-07-11	1.47	2171.167	0.192	153.962
2020-07-12	1.3	2172.467	0.181	154.143
2020-07-13	1.132	2173.599	0.169	154.312
2020-07-14	0.963	2174.562	0.158	154.47
2020-07-15	0.793	2175.355	0.147	154.617
2020-07-16	0.619	2175.974	0.135	154.752
2020-07-17	0.44	2176.414	0.124	154.876
2020-07-18	0.283	2176.697	0.112	154.988
2020-07-19	0.174	2176.871	0.101	155.089
2020-07-20	0.11	2176.981	0.091	155.18
2020-07-21	0.073	2177.054	0.081	155.261
2020-07-22	0.052	2177.106	0.073	155.334
2020-07-23	0.04	2177.146	0.065	155.399
2020-07-24	0.032	2177.178	0.057	155.456
2020-07-25	0.025	2177.203	0.05	155.506
2020-07-26	0.02	2177.223	0.042	155.548
2020-07-27	0.015	2177.238	0.035	155.583
2020-07-28	0.011	2177.249	0.027	155.61
2020-07-29	0.0	2177.249	0.019	155.629
2020-07-30	0.0	2177.249	0.012	155.641
2020-07-31	0.0	2177.249	0.008	155.649
2020-08-01	0.0	2177.249	0.005	155.654
2020-08-02	0.0	2177.249	0.003	155.657
2020-08-03	0.0	2177.249	0.002	155.659
2020-08-04	0.0	2177.249	0.002	155.661
2020-08-05	0.0	2177.249	0.001	155.662
2020-08-06	0.0	2177.249	0.001	155.663
2020-08-07	0.0	2177.249	0.001	155.664
2020-08-08	0.0	2177.249	0.001	155.665
2020-08-09	0.0	2177.249	0.0	155.665
2020-08-10	0.0	2177.249	0.0	155.665
2020-08-11	0.0	2177.249	0.0	155.665
2020-08-12	0.0	2177.249	0.0	155.665
2020-08-13	0.0	2177.249	0.0	155.665
2020-08-14	0.0	2177.249	0.0	155.665
2020-08-15	0.0	2177.249	0.0	155.665
2020-08-16	0.0	2177.249	0.0	155.665
2020-08-17	0.0	2177.249	0.0	155.665
2020-08-18	0.0	2177.249	0.0	155.665
2020-08-19	0.0	2177.249	0.0	155.665
2020-08-20	0.0	2177.249	0.0	155.665
2020-08-21	0.0	2177.249	0.0	155.665
2020-08-22	0.0	2177.249	0.0	155.665
2020-08-23	0.0	2177.249	0.0	155.665
2020-08-24	0.0	2177.249	0.0	155.665
2020-08-25	0.0	2177.249	0.0	155.665
2020-08-26	0.0	2177.249	0.0	155.665
2020-08-27	0.0	2177.249	0.0	155.665
2020-08-28	0.0	2177.249	0.0	155.665
2020-08-29	0.0	2177.249	0.0	155.665
2020-08-30	0.0	2177.249	0.0	155.665
