Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-09	207.031	22322.031	4.773	685.773
2020-08-10	193.103	22515.134	4.564	690.337
2020-08-11	180.598	22695.732	4.359	694.696
2020-08-12	169.424	22865.156	4.16	698.856
2020-08-13	159.289	23024.445	3.964	702.82
2020-08-14	149.255	23173.7	3.773	706.593
2020-08-15	139.215	23312.915	3.587	710.18
2020-08-16	129.167	23442.082	3.407	713.587
2020-08-17	119.112	23561.194	3.232	716.819
2020-08-18	109.044	23670.238	3.066	719.885
2020-08-19	98.963	23769.201	2.907	722.792
2020-08-20	89.136	23858.337	2.756	725.548
2020-08-21	79.989	23938.326	2.61	728.158
2020-08-22	71.634	24009.96	2.469	730.627
2020-08-23	63.993	24073.953	2.333	732.96
2020-08-24	56.99	24130.943	2.199	735.159
2020-08-25	50.391	24181.334	2.066	737.225
2020-08-26	43.884	24225.218	1.934	739.159
2020-08-27	37.339	24262.557	1.801	740.96
2020-08-28	30.734	24293.291	1.67	742.63
2020-08-29	24.016	24317.307	1.549	744.179
2020-08-30	17.052	24334.359	1.443	745.622
2020-08-31	10.97	24345.329	1.35	746.972
2020-09-01	6.765	24352.094	1.271	748.243
2020-09-02	4.264	24356.358	1.201	749.444
2020-09-03	2.817	24359.175	1.137	750.581
2020-09-04	2.017	24361.192	1.074	751.655
2020-09-05	1.557	24362.749	1.01	752.665
2020-09-06	1.243	24363.992	0.946	753.611
2020-09-07	0.988	24364.98	0.883	754.494
2020-09-08	0.772	24365.752	0.82	755.314
2020-09-09	0.586	24366.338	0.763	756.077
2020-09-10	0.431	24366.769	0.712	756.789
2020-09-11	0.0	24366.769	0.666	757.455
2020-09-12	0.0	24366.769	0.625	758.08
2020-09-13	0.0	24366.769	0.587	758.667
2020-09-14	0.0	24366.769	0.55	759.217
2020-09-15	0.0	24366.769	0.513	759.73
2020-09-16	0.0	24366.769	0.476	760.206
2020-09-17	0.0	24366.769	0.439	760.645
2020-09-18	0.0	24366.769	0.402	761.047
2020-09-19	0.0	24366.769	0.365	761.412
2020-09-20	0.0	24366.769	0.329	761.741
2020-09-21	0.0	24366.769	0.295	762.036
2020-09-22	0.0	24366.769	0.264	762.3
2020-09-23	0.0	24366.769	0.236	762.536
2020-09-24	0.0	24366.769	0.21	762.746
2020-09-25	0.0	24366.769	0.186	762.932
2020-09-26	0.0	24366.769	0.162	763.094
2020-09-27	0.0	24366.769	0.138	763.232
2020-09-28	0.0	24366.769	0.113	763.345
2020-09-29	0.0	24366.769	0.089	763.434
2020-09-30	0.0	24366.769	0.063	763.497
2020-10-01	0.0	24366.769	0.04	763.537
2020-10-02	0.0	24366.769	0.025	763.562
2020-10-03	0.0	24366.769	0.016	763.578
2020-10-04	0.0	24366.769	0.01	763.588
2020-10-05	0.0	24366.769	0.007	763.595
2020-10-06	0.0	24366.769	0.006	763.601
2020-10-07	0.0	24366.769	0.005	763.606
2020-10-08	0.0	24366.769	0.004	763.61
2020-10-09	0.0	24366.769	0.003	763.613
2020-10-10	0.0	24366.769	0.002	763.615
