Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-25	0.24	100.24	0.0	4.0
2020-06-26	0.243	100.483	0.0	4.0
2020-06-27	0.244	100.727	0.0	4.0
2020-06-28	0.243	100.97	0.0	4.0
2020-06-29	0.241	101.211	0.0	4.0
2020-06-30	0.238	101.449	0.0	4.0
2020-07-01	0.235	101.684	0.0	4.0
2020-07-02	0.23	101.914	0.0	4.0
2020-07-03	0.225	102.139	0.0	4.0
2020-07-04	0.219	102.358	0.0	4.0
2020-07-05	0.213	102.571	0.0	4.0
2020-07-06	0.207	102.778	0.0	4.0
2020-07-07	0.202	102.98	0.0	4.0
2020-07-08	0.197	103.177	0.0	4.0
2020-07-09	0.192	103.369	0.0	4.0
2020-07-10	0.186	103.555	0.0	4.0
2020-07-11	0.18	103.735	0.0	4.0
2020-07-12	0.174	103.909	0.0	4.0
2020-07-13	0.167	104.076	0.0	4.0
2020-07-14	0.161	104.237	0.0	4.0
2020-07-15	0.154	104.391	0.0	4.0
2020-07-16	0.147	104.538	0.0	4.0
2020-07-17	0.14	104.678	0.0	4.0
2020-07-18	0.134	104.812	0.0	4.0
2020-07-19	0.128	104.94	0.0	4.0
2020-07-20	0.121	105.061	0.0	4.0
2020-07-21	0.115	105.176	0.0	4.0
2020-07-22	0.11	105.286	0.0	4.0
2020-07-23	0.104	105.39	0.0	4.0
2020-07-24	0.099	105.489	0.0	4.0
2020-07-25	0.094	105.583	0.0	4.0
2020-07-26	0.089	105.672	0.0	4.0
2020-07-27	0.084	105.756	0.0	4.0
2020-07-28	0.08	105.836	0.0	4.0
2020-07-29	0.075	105.911	0.0	4.0
2020-07-30	0.071	105.982	0.0	4.0
2020-07-31	0.067	106.049	0.0	4.0
2020-08-01	0.062	106.111	0.0	4.0
2020-08-02	0.058	106.169	0.0	4.0
2020-08-03	0.054	106.223	0.0	4.0
2020-08-04	0.05	106.273	0.0	4.0
2020-08-05	0.046	106.319	0.0	4.0
2020-08-06	0.043	106.362	0.0	4.0
2020-08-07	0.041	106.403	0.0	4.0
2020-08-08	0.039	106.442	0.0	4.0
2020-08-09	0.037	106.479	0.0	4.0
2020-08-10	0.035	106.514	0.0	4.0
2020-08-11	0.033	106.547	0.0	4.0
2020-08-12	0.03	106.577	0.0	4.0
2020-08-13	0.028	106.605	0.0	4.0
2020-08-14	0.026	106.631	0.0	4.0
2020-08-15	0.025	106.656	0.0	4.0
2020-08-16	0.023	106.679	0.0	4.0
2020-08-17	0.021	106.7	0.0	4.0
2020-08-18	0.02	106.72	0.0	4.0
2020-08-19	0.019	106.739	0.0	4.0
2020-08-20	0.018	106.757	0.0	4.0
2020-08-21	0.017	106.774	0.0	4.0
2020-08-22	0.015	106.789	0.0	4.0
2020-08-23	0.014	106.803	0.0	4.0
2020-08-24	0.013	106.816	0.0	4.0
2020-08-25	0.012	106.828	0.0	4.0
2020-08-26	0.011	106.839	0.0	4.0
2020-08-27	0.009	106.848	0.0	4.0
2020-08-28	0.009	106.857	0.0	4.0
2020-08-29	0.008	106.865	0.0	4.0
2020-08-30	0.007	106.872	0.0	4.0
2020-08-31	0.006	106.878	0.0	4.0
2020-09-01	0.005	106.883	0.0	4.0
2020-09-02	0.004	106.887	0.0	4.0
2020-09-03	0.004	106.891	0.0	4.0
2020-09-04	0.003	106.894	0.0	4.0
2020-09-05	0.002	106.896	0.0	4.0
2020-09-06	0.001	106.897	0.0	4.0
2020-09-07	0.001	106.898	0.0	4.0
2020-09-08	0.001	106.899	0.0	4.0
2020-09-09	0.0	106.899	0.0	4.0
2020-09-10	0.0	106.899	0.0	4.0
2020-09-11	0.0	106.899	0.0	4.0
2020-09-12	0.0	106.899	0.0	4.0
2020-09-13	0.0	106.899	0.0	4.0
2020-09-14	0.0	106.899	0.0	4.0
2020-09-15	0.0	106.899	0.0	4.0
2020-09-16	0.0	106.899	0.0	4.0
2020-09-17	0.0	106.899	0.0	4.0
2020-09-18	0.0	106.899	0.0	4.0
2020-09-19	0.0	106.899	0.0	4.0
2020-09-20	0.0	106.899	0.0	4.0
2020-09-21	0.0	106.899	0.0	4.0
2020-09-22	0.0	106.899	0.0	4.0
2020-09-23	0.0	106.899	0.0	4.0
2020-09-24	0.0	106.899	0.0	4.0
2020-09-25	0.0	106.899	0.0	4.0
