Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-28	0.524	98.524	0.0	4.0
2020-07-29	0.647	99.171	0.0	4.0
2020-07-30	0.796	99.967	0.0	4.0
2020-07-31	0.961	100.928	0.0	4.0
2020-08-01	1.139	102.067	0.0	4.0
2020-08-02	1.345	103.412	0.0	4.0
2020-08-03	1.587	104.999	0.0	4.0
2020-08-04	1.877	106.876	0.0	4.0
2020-08-05	2.216	109.092	0.0	4.0
2020-08-06	2.611	111.703	0.0	4.0
2020-08-07	3.06	114.763	0.0	4.0
2020-08-08	3.556	118.319	0.0	4.0
2020-08-09	4.096	122.415	0.0	4.0
2020-08-10	4.688	127.103	0.0	4.0
2020-08-11	5.317	132.42	0.0	4.0
2020-08-12	5.965	138.385	0.0	4.0
2020-08-13	6.62	145.005	0.0	4.0
2020-08-14	7.271	152.276	0.0	4.0
2020-08-15	7.929	160.205	0.0	4.0
2020-08-16	8.613	168.818	0.0	4.0
2020-08-17	9.367	178.185	0.0	4.0
2020-08-18	10.119	188.304	0.0	4.0
2020-08-19	10.847	199.151	0.0	4.0
2020-08-20	11.465	210.616	0.0	4.0
2020-08-21	11.945	222.561	0.0	4.0
2020-08-22	12.222	234.783	0.0	4.0
2020-08-23	12.378	247.161	0.0	4.0
2020-08-24	12.423	259.584	0.0	4.0
2020-08-25	12.399	271.983	0.0	4.0
2020-08-26	12.285	284.268	0.0	4.0
2020-08-27	12.125	296.393	0.0	4.0
2020-08-28	11.943	308.336	0.0	4.0
2020-08-29	11.712	320.048	0.0	4.0
2020-08-30	11.436	331.484	0.0	4.0
2020-08-31	11.138	342.622	0.0	4.0
2020-09-01	10.84	353.462	0.0	4.0
2020-09-02	10.545	364.007	0.0	4.0
2020-09-03	10.273	374.28	0.0	4.0
2020-09-04	10.023	384.303	0.0	4.0
2020-09-05	9.77	394.073	0.0	4.0
2020-09-06	9.493	403.566	0.0	4.0
2020-09-07	9.191	412.757	0.0	4.0
2020-09-08	8.867	421.624	0.0	4.0
2020-09-09	8.521	430.145	0.0	4.0
2020-09-10	8.174	438.319	0.0	4.0
2020-09-11	7.827	446.146	0.0	4.0
2020-09-12	7.484	453.63	0.0	4.0
2020-09-13	7.148	460.778	0.0	4.0
2020-09-14	6.822	467.6	0.0	4.0
2020-09-15	6.501	474.101	0.0	4.0
2020-09-16	6.187	480.288	0.0	4.0
2020-09-17	5.881	486.169	0.0	4.0
2020-09-18	5.587	491.756	0.0	4.0
2020-09-19	5.3	497.056	0.0	4.0
2020-09-20	5.027	502.083	0.0	4.0
2020-09-21	4.767	506.85	0.0	4.0
2020-09-22	4.519	511.369	0.0	4.0
2020-09-23	4.28	515.649	0.0	4.0
2020-09-24	4.049	519.698	0.0	4.0
2020-09-25	3.825	523.523	0.0	4.0
2020-09-26	3.606	527.129	0.0	4.0
2020-09-27	3.389	530.518	0.0	4.0
2020-09-28	3.171	533.689	0.0	4.0
2020-09-29	2.953	536.642	0.0	4.0
2020-09-30	2.739	539.381	0.0	4.0
2020-10-01	2.541	541.922	0.0	4.0
2020-10-02	2.366	544.288	0.0	4.0
2020-10-03	2.214	546.502	0.0	4.0
2020-10-04	2.083	548.585	0.0	4.0
2020-10-05	1.97	550.555	0.0	4.0
2020-10-06	1.865	552.42	0.0	4.0
2020-10-07	1.761	554.181	0.0	4.0
2020-10-08	1.656	555.837	0.0	4.0
2020-10-09	1.552	557.389	0.0	4.0
2020-10-10	1.448	558.837	0.0	4.0
2020-10-11	1.345	560.182	0.0	4.0
2020-10-12	1.252	561.434	0.0	4.0
2020-10-13	1.167	562.601	0.0	4.0
2020-10-14	1.092	563.693	0.0	4.0
2020-10-15	1.024	564.717	0.0	4.0
2020-10-16	0.963	565.68	0.0	4.0
2020-10-17	0.902	566.582	0.0	4.0
2020-10-18	0.842	567.424	0.0	4.0
2020-10-19	0.781	568.205	0.0	4.0
2020-10-20	0.72	568.925	0.0	4.0
2020-10-21	0.659	569.584	0.0	4.0
2020-10-22	0.598	570.182	0.0	4.0
2020-10-23	0.539	570.721	0.0	4.0
2020-10-24	0.484	571.205	0.0	4.0
2020-10-25	0.433	571.638	0.0	4.0
2020-10-26	0.387	572.025	0.0	4.0
2020-10-27	0.345	572.37	0.0	4.0
2020-10-28	0.305	572.675	0.0	4.0
2020-10-29	0.265	572.94	0.0	4.0
2020-10-30	0.226	573.166	0.0	4.0
2020-10-31	0.186	573.352	0.0	4.0
2020-11-01	0.145	573.497	0.0	4.0
2020-11-02	0.103	573.6	0.0	4.0
2020-11-03	0.066	573.666	0.0	4.0
2020-11-04	0.041	573.707	0.0	4.0
2020-11-05	0.026	573.733	0.0	4.0
2020-11-06	0.017	573.75	0.0	4.0
2020-11-07	0.012	573.762	0.0	4.0
2020-11-08	0.009	573.771	0.0	4.0
2020-11-09	0.008	573.779	0.0	4.0
2020-11-10	0.006	573.785	0.0	4.0
2020-11-11	0.005	573.79	0.0	4.0
2020-11-12	0.004	573.794	0.0	4.0
2020-11-13	0.003	573.797	0.0	4.0
