Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-16	0.973	213.973	0.018	5.018
2020-06-17	0.964	214.937	0.019	5.037
2020-06-18	0.952	215.889	0.021	5.058
2020-06-19	0.937	216.826	0.023	5.081
2020-06-20	0.919	217.745	0.024	5.105
2020-06-21	0.898	218.643	0.026	5.131
2020-06-22	0.874	219.517	0.027	5.158
2020-06-23	0.851	220.368	0.027	5.185
2020-06-24	0.828	221.196	0.028	5.213
2020-06-25	0.806	222.002	0.028	5.241
2020-06-26	0.787	222.789	0.028	5.269
2020-06-27	0.767	223.556	0.028	5.297
2020-06-28	0.745	224.301	0.027	5.324
2020-06-29	0.722	225.023	0.027	5.351
2020-06-30	0.696	225.719	0.026	5.377
2020-07-01	0.669	226.388	0.026	5.403
2020-07-02	0.642	227.03	0.025	5.428
2020-07-03	0.614	227.644	0.024	5.452
2020-07-04	0.588	228.232	0.024	5.476
2020-07-05	0.561	228.793	0.023	5.499
2020-07-06	0.536	229.329	0.022	5.521
2020-07-07	0.51	229.839	0.022	5.543
2020-07-08	0.486	230.325	0.021	5.564
2020-07-09	0.462	230.787	0.021	5.585
2020-07-10	0.439	231.226	0.02	5.605
2020-07-11	0.416	231.642	0.019	5.624
2020-07-12	0.395	232.037	0.018	5.642
2020-07-13	0.374	232.411	0.018	5.66
2020-07-14	0.355	232.766	0.017	5.677
2020-07-15	0.336	233.102	0.016	5.693
2020-07-16	0.318	233.42	0.015	5.708
2020-07-17	0.3	233.72	0.015	5.723
2020-07-18	0.283	234.003	0.014	5.737
2020-07-19	0.266	234.269	0.013	5.75
2020-07-20	0.249	234.518	0.013	5.763
2020-07-21	0.232	234.75	0.012	5.775
2020-07-22	0.215	234.965	0.011	5.786
2020-07-23	0.199	235.164	0.011	5.797
2020-07-24	0.186	235.35	0.01	5.807
2020-07-25	0.174	235.524	0.01	5.817
2020-07-26	0.164	235.688	0.009	5.826
2020-07-27	0.155	235.843	0.009	5.835
2020-07-28	0.146	235.989	0.008	5.843
2020-07-29	0.138	236.127	0.008	5.851
2020-07-30	0.13	236.257	0.007	5.858
2020-07-31	0.122	236.379	0.007	5.865
2020-08-01	0.114	236.493	0.006	5.871
2020-08-02	0.106	236.599	0.006	5.877
2020-08-03	0.098	236.697	0.005	5.882
2020-08-04	0.092	236.789	0.005	5.887
2020-08-05	0.086	236.875	0.005	5.892
2020-08-06	0.08	236.955	0.004	5.896
2020-08-07	0.076	237.031	0.004	5.9
2020-08-08	0.071	237.102	0.004	5.904
2020-08-09	0.066	237.168	0.004	5.908
2020-08-10	0.061	237.229	0.003	5.911
2020-08-11	0.057	237.286	0.003	5.914
2020-08-12	0.052	237.338	0.003	5.917
2020-08-13	0.047	237.385	0.003	5.92
2020-08-14	0.042	237.427	0.003	5.923
2020-08-15	0.038	237.465	0.002	5.925
2020-08-16	0.034	237.499	0.002	5.927
2020-08-17	0.03	237.529	0.002	5.929
2020-08-18	0.027	237.556	0.002	5.931
2020-08-19	0.024	237.58	0.002	5.933
2020-08-20	0.021	237.601	0.002	5.935
2020-08-21	0.018	237.619	0.002	5.937
2020-08-22	0.015	237.634	0.001	5.938
2020-08-23	0.011	237.645	0.001	5.939
2020-08-24	0.008	237.653	0.001	5.94
2020-08-25	0.005	237.658	0.001	5.941
2020-08-26	0.003	237.661	0.001	5.942
2020-08-27	0.002	237.663	0.001	5.943
2020-08-28	0.001	237.664	0.001	5.944
2020-08-29	0.001	237.665	0.001	5.945
2020-08-30	0.001	237.666	0.001	5.946
2020-08-31	0.001	237.667	0.001	5.947
2020-09-01	0.0	237.667	0.0	5.947
2020-09-02	0.0	237.667	0.0	5.947
2020-09-03	0.0	237.667	0.0	5.947
2020-09-04	0.0	237.667	0.0	5.947
2020-09-05	0.0	237.667	0.0	5.947
2020-09-06	0.0	237.667	0.0	5.947
2020-09-07	0.0	237.667	0.0	5.947
2020-09-08	0.0	237.667	0.0	5.947
2020-09-09	0.0	237.667	0.0	5.947
2020-09-10	0.0	237.667	0.0	5.947
2020-09-11	0.0	237.667	0.0	5.947
2020-09-12	0.0	237.667	0.0	5.947
2020-09-13	0.0	237.667	0.0	5.947
