Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
New York	4928.773	20120.445	169437.329	1489.709	5263.727	21182.474	0.0030262	0.01235368	0.10403219	0.00091466	0.00323186	0.01300575
Wayne	1.1	4.543	56.725	1489.709	5263.727	6295.474	1.221e-05	5.044e-05	0.00062983	0.01654056	0.0584443	0.0699
Fulton	0.817	3.604	31.666	1489.709	5263.727	6295.474	1.525e-05	6.725e-05	0.00059088	0.02779775	0.09822035	0.1174726
Seneca	0.0	0.0	18.0	1489.709	5263.727	6295.474	0.0	0.0	0.00052478	0.04343175	0.15346143	0.18354152
Lewis	0.453	1.604	10.924	1489.709	5263.727	6295.474	1.713e-05	6.065e-05	0.00041305	0.05632809	0.19902927	0.23804114
Montgomery	0.362	2.051	39.811	0.0	0.0	1.0	7.32e-06	4.147e-05	0.00080499	0.0	0.0	2.022e-05
Schenectady	14.389	57.353	407.215	0.895	3.136	17.736	9.262e-05	0.00036919	0.00262127	5.76e-06	2.019e-05	0.00011417
Kings	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hamilton	0.001	0.007	3.011	0.895	3.136	3.736	2.3e-07	1.58e-06	0.00067907	0.00020185	0.00070726	0.00084258
Tioga	1.604	6.581	45.279	0.895	3.136	3.736	3.303e-05	0.00013552	0.00093243	1.843e-05	6.458e-05	7.694e-05
Washington	3.351	13.497	84.83	0.063	0.258	2.325	5.476e-05	0.00022055	0.00138618	1.03e-06	4.22e-06	3.799e-05
Richmond	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rockland	185.774	833.816	10649.567	17.902	73.465	493.416	0.00057039	0.00256011	0.03269798	5.497e-05	0.00022556	0.00151496
Chenango	2.049	8.541	89.817	17.902	73.465	92.416	4.31e-05	0.00017967	0.00188945	0.0003766	0.00154546	0.00194413
Cayuga	0.283	2.458	39.742	0.0	0.0	1.0	3.67e-06	3.186e-05	0.00051516	0.0	0.0	1.296e-05
Erie	82.031	326.965	2689.992	11.546	43.911	215.471	8.919e-05	0.00035551	0.0029248	1.255e-05	4.774e-05	0.00023428
Ulster	41.081	170.513	1233.237	0.595	2.21	19.677	0.00023002	0.00095473	0.00690506	3.33e-06	1.237e-05	0.00011017
Bronx	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Jefferson	0.898	3.686	58.637	0.595	2.21	2.677	8.04e-06	3.298e-05	0.00052469	5.32e-06	1.978e-05	2.395e-05
Broome	9.592	38.636	253.178	0.526	1.858	13.222	5.005e-05	0.00020159	0.00132098	2.74e-06	9.69e-06	6.899e-05
Nassau	814.564	3502.934	35562.738	30.334	153.217	1595.204	0.00059967	0.00257883	0.02618097	2.233e-05	0.0001128	0.00117437
Monroe	31.894	130.888	1234.652	3.174	13.025	97.385	4.296e-05	0.00017629	0.00166289	4.27e-06	1.754e-05	0.00013116
Chautauqua	0.247	1.177	26.559	0.0	0.0	3.0	1.93e-06	9.2e-06	0.00020759	0.0	0.0	2.345e-05
Chemung	1.812	7.396	84.28	0.0	0.0	1.0	2.151e-05	8.778e-05	0.00100031	0.0	0.0	1.187e-05
Niagara	8.043	34.05	303.272	0.931	3.843	20.843	3.822e-05	0.00016181	0.00144118	4.42e-06	1.826e-05	9.905e-05
Delaware	1.289	5.289	68.653	0.182	0.655	4.788	2.895e-05	0.00011878	0.00154183	4.09e-06	1.471e-05	0.00010753
Livingston	0.466	2.196	41.889	0.0	0.0	4.0	7.37e-06	3.473e-05	0.00066252	0.0	0.0	6.326e-05
Steuben	4.083	19.532	220.919	1.391	6.138	34.938	4.262e-05	0.00020389	0.00230614	1.452e-05	6.407e-05	0.00036471
Saint Lawrence	2.024	8.305	130.447	1.391	6.138	7.938	1.873e-05	7.686e-05	0.00120732	1.287e-05	5.681e-05	7.347e-05
Columbia	2.389	9.959	132.612	0.619	2.4	14.942	3.987e-05	0.00016622	0.0022133	1.033e-05	4.006e-05	0.00024938
Madison	1.327	5.85	124.574	0.126	0.55	5.71	1.874e-05	8.263e-05	0.00175964	1.78e-06	7.77e-06	8.066e-05
Ontario	1.158	6.115	80.262	0.126	0.55	0.71	1.054e-05	5.566e-05	0.00073056	1.15e-06	5.01e-06	6.46e-06
Dutchess	43.903	209.076	2607.969	1.395	6.152	35.965	0.00014947	0.00071183	0.00887916	4.75e-06	2.095e-05	0.00012245
Schuyler	0.357	1.464	9.842	1.395	6.152	7.965	1.993e-05	8.173e-05	0.00054946	7.788e-05	0.00034346	0.00044467
Herkimer	1.461	5.996	57.543	0.0	0.0	3.0	2.363e-05	9.697e-05	0.00093062	0.0	0.0	4.852e-05
Cortland	0.873	3.583	29.507	0.0	0.0	0.0	1.825e-05	7.492e-05	0.000617	0.0	0.0	0.0
Unassigned	79.348	325.628	516.628	3.592	31.225	50.545	N/A	N/A	N/A	N/A	N/A	N/A
Essex	0.634	2.601	24.272	3.592	31.225	47.545	1.7e-05	6.973e-05	0.00065072	9.63e-05	0.00083713	0.00127466
Wyoming	2.187	8.716	54.823	0.419	1.558	4.887	5.456e-05	0.00021744	0.00136767	1.045e-05	3.887e-05	0.00012192
Saratoga	7.502	30.788	310.73	0.328	1.179	8.419	3.259e-05	0.00013377	0.00135004	1.43e-06	5.12e-06	3.658e-05
Putnam	36.358	144.92	986.947	0.0	0.0	7.0	0.00036765	0.00146544	0.00998005	0.0	0.0	7.078e-05
Onondaga	19.081	78.305	744.505	1.897	6.811	29.198	4.132e-05	0.00016956	0.00161215	4.11e-06	1.475e-05	6.323e-05
Franklin	0.191	0.83	14.066	1.897	6.811	8.198	3.8e-06	1.65e-05	0.00027968	3.772e-05	0.00013543	0.000163
Tompkins	1.254	5.223	129.619	1.897	6.811	8.198	1.22e-05	5.081e-05	0.00126097	1.845e-05	6.626e-05	7.975e-05
Greene	5.932	24.344	117.624	1.897	6.811	8.198	0.00012491	0.0005126	0.00247676	3.994e-05	0.00014342	0.00017262
Orleans	2.233	9.068	64.348	0.0	0.0	1.0	5.498e-05	0.00022328	0.00158446	0.0	0.0	2.462e-05
Albany	26.462	108.595	840.608	1.763	6.331	30.62	8.616e-05	0.00035359	0.00273709	5.74e-06	2.061e-05	9.97e-05
Cattaraugus	1.23	5.492	42.128	1.763	6.331	7.62	1.601e-05	7.147e-05	0.00054826	2.294e-05	8.239e-05	9.917e-05
Yates	0.63	2.585	13.252	1.763	6.331	7.62	2.536e-05	0.00010406	0.00053347	7.097e-05	0.00025486	0.00030675
Otsego	0.491	2.101	51.683	0.356	1.484	5.88	8.22e-06	3.516e-05	0.000865	5.96e-06	2.484e-05	9.841e-05
Allegany	0.225	1.438	32.016	0.096	0.299	2.343	4.85e-06	3.097e-05	0.00068955	2.07e-06	6.44e-06	5.046e-05
Warren	6.738	27.653	136.786	0.096	0.299	0.343	0.00010485	0.0004303	0.00212847	1.49e-06	4.65e-06	5.34e-06
Queens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
