Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Fulton	24.838	752.729	0.00046347	0.01404581
Lewis	0.0	0.0	0.0	0.0
Hamilton	0.0	0.0	0.0	0.0
Tioga	0.0	0.0	0.0	0.0
Washington	0.149	17.281	2.43e-06	0.00028238
Rockland	70.979	8913.608	0.00021793	0.02736796
Chenango	1.724	153.043	3.627e-05	0.00321952
Cayuga	1.261	92.701	1.635e-05	0.00120165
Ulster	6.664	673.049	3.731e-05	0.00376849
Jefferson	119.478	3222.219	0.00106911	0.02883288
Broome	3.598	305.528	1.877e-05	0.00159412
Chautauqua	0.148	13.73	1.16e-06	0.00010732
Chemung	0.357	46.282	4.24e-06	0.00054932
Columbia	0.616	74.438	1.028e-05	0.00124237
Schuyler	0.0	0.0	0.0	0.0
Essex	0.0	0.0	0.0	0.0
Wyoming	0.149	17.281	3.72e-06	0.00043111
Putnam	8.574	904.54	8.67e-05	0.00914675
Franklin	0.0	0.0	0.0	0.0
Orleans	0.201	27.534	4.95e-06	0.00067798
Albany	2.737	330.839	8.91e-06	0.00107724
Cattaraugus	0.134	19.015	1.74e-06	0.00024746
Yates	0.0	0.0	0.0	0.0
Otsego	0.553	58.357	9.26e-06	0.0009767
Warren	18.629	564.55	0.00028988	0.00878472
Sullivan	4.374	441.689	5.794e-05	0.00585034
Suffolk	336.313	35481.383	0.00022707	0.02395622
Rensselaer	3.351	209.562	2.102e-05	0.00131435
Genesee	0.298	38.565	5.18e-06	0.00067057
Orange	236.684	18294.76	0.00061967	0.04789819
