Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-12	30.587	2484.587	2.107	153.107
2020-06-13	30.189	2514.776	2.066	155.173
2020-06-14	29.734	2544.51	2.017	157.19
2020-06-15	29.161	2573.671	1.965	159.155
2020-06-16	28.472	2602.143	1.912	161.067
2020-06-17	27.73	2629.873	1.86	162.927
2020-06-18	26.99	2656.863	1.812	164.739
2020-06-19	26.254	2683.117	1.768	166.507
2020-06-20	25.576	2708.693	1.723	168.23
2020-06-21	24.956	2733.649	1.674	169.904
2020-06-22	24.324	2757.973	1.621	171.525
2020-06-23	23.634	2781.607	1.564	173.089
2020-06-24	22.884	2804.491	1.503	174.592
2020-06-25	22.077	2826.568	1.442	176.034
2020-06-26	21.214	2847.782	1.381	177.415
2020-06-27	20.351	2868.133	1.32	178.735
2020-06-28	19.488	2887.621	1.261	179.996
2020-06-29	18.634	2906.255	1.203	181.199
2020-06-30	17.797	2924.052	1.147	182.346
2020-07-01	16.986	2941.038	1.091	183.437
2020-07-02	16.185	2957.223	1.037	184.474
2020-07-03	15.404	2972.627	0.986	185.46
2020-07-04	14.643	2987.27	0.935	186.395
2020-07-05	13.909	3001.179	0.887	187.282
2020-07-06	13.196	3014.375	0.841	188.123
2020-07-07	12.516	3026.891	0.797	188.92
2020-07-08	11.868	3038.759	0.755	189.675
2020-07-09	11.25	3050.009	0.714	190.389
2020-07-10	10.655	3060.664	0.675	191.064
2020-07-11	10.081	3070.745	0.636	191.7
2020-07-12	9.524	3080.269	0.598	192.298
2020-07-13	8.978	3089.247	0.559	192.857
2020-07-14	8.437	3097.684	0.521	193.378
2020-07-15	7.895	3105.579	0.483	193.861
2020-07-16	7.353	3112.932	0.448	194.309
2020-07-17	6.82	3119.752	0.417	194.726
2020-07-18	6.326	3126.078	0.391	195.117
2020-07-19	5.891	3131.969	0.368	195.485
2020-07-20	5.512	3137.481	0.348	195.833
2020-07-21	5.187	3142.668	0.329	196.162
2020-07-22	4.905	3147.573	0.311	196.473
2020-07-23	4.643	3152.216	0.292	196.765
2020-07-24	4.384	3156.6	0.274	197.039
2020-07-25	4.124	3160.724	0.255	197.294
2020-07-26	3.864	3164.588	0.237	197.531
2020-07-27	3.604	3168.192	0.221	197.752
2020-07-28	3.349	3171.541	0.206	197.958
2020-07-29	3.116	3174.657	0.193	198.151
2020-07-30	2.906	3177.563	0.181	198.332
2020-07-31	2.718	3180.281	0.17	198.502
2020-08-01	2.55	3182.831	0.159	198.661
2020-08-02	2.397	3185.228	0.148	198.809
2020-08-03	2.246	3187.474	0.138	198.947
2020-08-04	2.095	3189.569	0.127	199.074
2020-08-05	1.944	3191.513	0.116	199.19
2020-08-06	1.793	3193.306	0.106	199.296
2020-08-07	1.641	3194.947	0.095	199.391
2020-08-08	1.489	3196.436	0.085	199.476
2020-08-09	1.342	3197.778	0.076	199.552
2020-08-10	1.204	3198.982	0.068	199.62
2020-08-11	1.078	3200.06	0.061	199.681
2020-08-12	0.963	3201.023	0.054	199.735
2020-08-13	0.858	3201.881	0.047	199.782
2020-08-14	0.758	3202.639	0.04	199.822
2020-08-15	0.66	3203.299	0.033	199.855
2020-08-16	0.562	3203.861	0.026	199.881
2020-08-17	0.463	3204.324	0.018	199.899
2020-08-18	0.361	3204.685	0.012	199.911
2020-08-19	0.257	3204.942	0.007	199.918
2020-08-20	0.165	3205.107	0.005	199.923
2020-08-21	0.102	3205.209	0.003	199.926
2020-08-22	0.064	3205.273	0.002	199.928
2020-08-23	0.042	3205.315	0.002	199.93
2020-08-24	0.03	3205.345	0.001	199.931
2020-08-25	0.023	3205.368	0.001	199.932
2020-08-26	0.019	3205.387	0.001	199.933
2020-08-27	0.015	3205.402	0.001	199.934
2020-08-28	0.012	3205.414	0.0	199.934
2020-08-29	0.009	3205.423	0.0	199.934
2020-08-30	0.006	3205.429	0.0	199.934
