Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-09	0.747	298.747	0.0	54.0
2020-08-10	0.74	299.487	0.0	54.0
2020-08-11	0.73	300.217	0.0	54.0
2020-08-12	0.719	300.936	0.0	54.0
2020-08-13	0.705	301.641	0.0	54.0
2020-08-14	0.689	302.33	0.0	54.0
2020-08-15	0.671	303.001	0.0	54.0
2020-08-16	0.653	303.654	0.0	54.0
2020-08-17	0.635	304.289	0.0	54.0
2020-08-18	0.619	304.908	0.0	54.0
2020-08-19	0.604	305.512	0.0	54.0
2020-08-20	0.588	306.1	0.0	54.0
2020-08-21	0.572	306.672	0.0	54.0
2020-08-22	0.554	307.226	0.0	54.0
2020-08-23	0.534	307.76	0.0	54.0
2020-08-24	0.513	308.273	0.0	54.0
2020-08-25	0.492	308.765	0.0	54.0
2020-08-26	0.471	309.236	0.0	54.0
2020-08-27	0.451	309.687	0.0	54.0
2020-08-28	0.43	310.117	0.0	54.0
2020-08-29	0.411	310.528	0.0	54.0
2020-08-30	0.391	310.919	0.0	54.0
2020-08-31	0.373	311.292	0.0	54.0
2020-09-01	0.354	311.646	0.0	54.0
2020-09-02	0.336	311.982	0.0	54.0
2020-09-03	0.319	312.301	0.0	54.0
2020-09-04	0.303	312.604	0.0	54.0
2020-09-05	0.287	312.891	0.0	54.0
2020-09-06	0.272	313.163	0.0	54.0
2020-09-07	0.258	313.421	0.0	54.0
2020-09-08	0.244	313.665	0.0	54.0
2020-09-09	0.23	313.895	0.0	54.0
2020-09-10	0.217	314.112	0.0	54.0
2020-09-11	0.204	314.316	0.0	54.0
2020-09-12	0.191	314.507	0.0	54.0
2020-09-13	0.178	314.685	0.0	54.0
2020-09-14	0.165	314.85	0.0	54.0
2020-09-15	0.153	315.003	0.0	54.0
2020-09-16	0.142	315.145	0.0	54.0
2020-09-17	0.133	315.278	0.0	54.0
2020-09-18	0.125	315.403	0.0	54.0
2020-09-19	0.119	315.522	0.0	54.0
2020-09-20	0.112	315.634	0.0	54.0
2020-09-21	0.106	315.74	0.0	54.0
2020-09-22	0.1	315.84	0.0	54.0
2020-09-23	0.093	315.933	0.0	54.0
2020-09-24	0.087	316.02	0.0	54.0
2020-09-25	0.081	316.101	0.0	54.0
2020-09-26	0.075	316.176	0.0	54.0
2020-09-27	0.07	316.246	0.0	54.0
2020-09-28	0.066	316.312	0.0	54.0
2020-09-29	0.062	316.374	0.0	54.0
2020-09-30	0.058	316.432	0.0	54.0
2020-10-01	0.054	316.486	0.0	54.0
2020-10-02	0.051	316.537	0.0	54.0
2020-10-03	0.047	316.584	0.0	54.0
2020-10-04	0.043	316.627	0.0	54.0
2020-10-05	0.04	316.667	0.0	54.0
2020-10-06	0.036	316.703	0.0	54.0
2020-10-07	0.032	316.735	0.0	54.0
2020-10-08	0.029	316.764	0.0	54.0
2020-10-09	0.026	316.79	0.0	54.0
2020-10-10	0.023	316.813	0.0	54.0
2020-10-11	0.021	316.834	0.0	54.0
2020-10-12	0.018	316.852	0.0	54.0
2020-10-13	0.016	316.868	0.0	54.0
2020-10-14	0.014	316.882	0.0	54.0
2020-10-15	0.011	316.893	0.0	54.0
2020-10-16	0.009	316.902	0.0	54.0
2020-10-17	0.006	316.908	0.0	54.0
2020-10-18	0.004	316.912	0.0	54.0
2020-10-19	0.002	316.914	0.0	54.0
2020-10-20	0.002	316.916	0.0	54.0
2020-10-21	0.001	316.917	0.0	54.0
2020-10-22	0.001	316.918	0.0	54.0
2020-10-23	0.001	316.919	0.0	54.0
2020-10-24	0.0	316.919	0.0	54.0
2020-10-25	0.0	316.919	0.0	54.0
2020-10-26	0.0	316.919	0.0	54.0
2020-10-27	0.0	316.919	0.0	54.0
2020-10-28	0.0	316.919	0.0	54.0
