Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-03	4.844	700.844	0.044	29.044
2020-06-04	4.751	705.595	0.048	29.092
2020-06-05	4.639	710.234	0.05	29.142
2020-06-06	4.518	714.752	0.052	29.194
2020-06-07	4.397	719.149	0.054	29.248
2020-06-08	4.277	723.426	0.054	29.302
2020-06-09	4.167	727.593	0.055	29.357
2020-06-10	4.066	731.659	0.054	29.411
2020-06-11	3.963	735.622	0.054	29.465
2020-06-12	3.851	739.473	0.053	29.518
2020-06-13	3.728	743.201	0.052	29.57
2020-06-14	3.597	746.798	0.051	29.621
2020-06-15	3.456	750.254	0.05	29.671
2020-06-16	3.316	753.57	0.049	29.72
2020-06-17	3.175	756.745	0.048	29.768
2020-06-18	3.036	759.781	0.046	29.814
2020-06-19	2.9	762.681	0.045	29.859
2020-06-20	2.767	765.448	0.044	29.903
2020-06-21	2.637	768.085	0.043	29.946
2020-06-22	2.51	770.595	0.042	29.988
2020-06-23	2.386	772.981	0.04	30.028
2020-06-24	2.266	775.247	0.039	30.067
2020-06-25	2.15	777.397	0.037	30.104
2020-06-26	2.039	779.436	0.036	30.14
2020-06-27	1.934	781.37	0.034	30.174
2020-06-28	1.833	783.203	0.033	30.207
2020-06-29	1.736	784.939	0.031	30.238
2020-06-30	1.642	786.581	0.03	30.268
2020-07-01	1.552	788.133	0.029	30.297
2020-07-02	1.463	789.596	0.027	30.324
2020-07-03	1.375	790.971	0.026	30.35
2020-07-04	1.286	792.257	0.025	30.375
2020-07-05	1.198	793.455	0.023	30.398
2020-07-06	1.111	794.566	0.022	30.42
2020-07-07	1.031	795.597	0.021	30.441
2020-07-08	0.96	796.557	0.02	30.461
2020-07-09	0.898	797.455	0.019	30.48
2020-07-10	0.845	798.3	0.018	30.498
2020-07-11	0.799	799.099	0.017	30.515
2020-07-12	0.757	799.856	0.016	30.531
2020-07-13	0.714	800.57	0.015	30.546
2020-07-14	0.672	801.242	0.014	30.56
2020-07-15	0.63	801.872	0.013	30.573
2020-07-16	0.587	802.459	0.012	30.585
2020-07-17	0.546	803.005	0.011	30.596
2020-07-18	0.508	803.513	0.01	30.606
2020-07-19	0.474	803.987	0.01	30.616
2020-07-20	0.443	804.43	0.009	30.625
2020-07-21	0.415	804.845	0.009	30.634
2020-07-22	0.391	805.236	0.008	30.642
2020-07-23	0.366	805.602	0.008	30.65
2020-07-24	0.341	805.943	0.007	30.657
2020-07-25	0.317	806.26	0.007	30.664
2020-07-26	0.292	806.552	0.006	30.67
2020-07-27	0.267	806.819	0.006	30.676
2020-07-28	0.243	807.062	0.005	30.681
2020-07-29	0.219	807.281	0.005	30.686
2020-07-30	0.196	807.477	0.005	30.691
2020-07-31	0.176	807.653	0.004	30.695
2020-08-01	0.157	807.81	0.004	30.699
2020-08-02	0.14	807.95	0.004	30.703
2020-08-03	0.124	808.074	0.004	30.707
2020-08-04	0.108	808.182	0.003	30.71
2020-08-05	0.092	808.274	0.003	30.713
2020-08-06	0.075	808.349	0.003	30.716
2020-08-07	0.059	808.408	0.003	30.719
2020-08-08	0.042	808.45	0.002	30.721
2020-08-09	0.027	808.477	0.002	30.723
2020-08-10	0.017	808.494	0.002	30.725
2020-08-11	0.01	808.504	0.002	30.727
2020-08-12	0.007	808.511	0.002	30.729
2020-08-13	0.005	808.516	0.001	30.73
2020-08-14	0.004	808.52	0.001	30.731
2020-08-15	0.003	808.523	0.001	30.732
2020-08-16	0.002	808.525	0.001	30.733
2020-08-17	0.002	808.527	0.001	30.734
2020-08-18	0.001	808.528	0.0	30.734
2020-08-19	0.001	808.529	0.0	30.734
2020-08-20	0.0	808.529	0.0	30.734
2020-08-21	0.0	808.529	0.0	30.734
2020-08-22	0.0	808.529	0.0	30.734
2020-08-23	0.0	808.529	0.0	30.734
2020-08-24	0.0	808.529	0.0	30.734
2020-08-25	0.0	808.529	0.0	30.734
2020-08-26	0.0	808.529	0.0	30.734
2020-08-27	0.0	808.529	0.0	30.734
2020-08-28	0.0	808.529	0.0	30.734
2020-08-29	0.0	808.529	0.0	30.734
2020-08-30	0.0	808.529	0.0	30.734
