Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-18	770.516	23246.516	52.462	720.462
2020-04-19	763.432	24009.948	51.98	772.442
2020-04-20	753.505	24763.453	51.304	823.746
2020-04-21	742.139	25505.592	50.53	874.276
2020-04-22	727.841	26233.433	49.557	923.833
2020-04-23	710.652	26944.085	48.386	972.219
2020-04-24	692.129	27636.214	47.125	1019.344
2020-04-25	673.65	28309.864	45.867	1065.211
2020-04-26	655.286	28965.15	44.617	1109.828
2020-04-27	638.376	29603.526	43.465	1153.293
2020-04-28	622.882	30226.408	42.41	1195.703
2020-04-29	607.114	30833.522	41.337	1237.04
2020-04-30	589.89	31423.412	40.164	1277.204
2020-05-01	571.18	31994.592	38.89	1316.094
2020-05-02	551.029	32545.621	37.518	1353.612
2020-05-03	529.495	33075.116	36.052	1389.664
2020-05-04	507.958	33583.074	34.585	1424.249
2020-05-05	486.418	34069.492	33.119	1457.368
2020-05-06	465.091	34534.583	31.667	1489.035
2020-05-07	444.213	34978.796	30.245	1519.28
2020-05-08	423.959	35402.755	28.866	1548.146
2020-05-09	403.973	35806.728	27.505	1575.651
2020-05-10	384.469	36191.197	26.177	1601.828
2020-05-11	365.478	36556.675	24.884	1626.712
2020-05-12	347.176	36903.851	23.638	1650.35
2020-05-13	329.377	37233.228	22.426	1672.776
2020-05-14	312.406	37545.634	21.271	1694.047
2020-05-15	296.229	37841.863	20.169	1714.216
2020-05-16	280.806	38122.669	19.119	1733.335
2020-05-17	265.945	38388.614	18.107	1751.442
2020-05-18	251.616	38640.23	17.132	1768.574
2020-05-19	237.72	38877.95	16.186	1784.76
2020-05-20	224.09	39102.04	15.258	1800.018
2020-05-21	210.574	39312.614	14.337	1814.355
2020-05-22	197.051	39509.665	13.417	1827.772
2020-05-23	183.52	39693.185	12.495	1840.267
2020-05-24	170.226	39863.411	11.59	1851.857
2020-05-25	157.897	40021.308	10.751	1862.608
2020-05-26	147.03	40168.338	10.011	1872.619
2020-05-27	137.588	40305.926	9.368	1881.987
2020-05-28	129.47	40435.396	8.815	1890.802
2020-05-29	122.431	40557.827	8.336	1899.138
2020-05-30	115.893	40673.72	7.891	1907.029
2020-05-31	109.414	40783.134	7.45	1914.479
2020-06-01	102.933	40886.067	7.008	1921.487
2020-06-02	96.449	40982.516	6.567	1928.054
2020-06-03	89.961	41072.477	6.125	1934.179
2020-06-04	83.584	41156.061	5.691	1939.87
2020-06-05	77.775	41233.836	5.295	1945.165
2020-06-06	72.542	41306.378	4.939	1950.104
2020-06-07	67.845	41374.223	4.619	1954.723
2020-06-08	63.647	41437.87	4.334	1959.057
2020-06-09	59.84	41497.71	4.074	1963.131
2020-06-10	56.07	41553.78	3.818	1966.949
2020-06-11	52.298	41606.078	3.561	1970.51
2020-06-12	48.524	41654.602	3.304	1973.814
2020-06-13	44.746	41699.348	3.047	1976.861
2020-06-14	40.964	41740.312	2.789	1979.65
2020-06-15	37.177	41777.489	2.531	1982.181
2020-06-16	33.486	41810.975	2.28	1984.461
2020-06-17	30.049	41841.024	2.046	1986.507
2020-06-18	26.911	41867.935	1.832	1988.339
2020-06-19	24.04	41891.975	1.637	1989.976
2020-06-20	21.409	41913.384	1.458	1991.434
2020-06-21	18.93	41932.314	1.289	1992.723
2020-06-22	16.486	41948.8	1.122	1993.845
2020-06-23	14.027	41962.827	0.955	1994.8
2020-06-24	11.546	41974.373	0.786	1995.586
2020-06-25	9.022	41983.395	0.614	1996.2
2020-06-26	6.406	41989.801	0.436	1996.636
2020-06-27	4.121	41993.922	0.281	1996.917
2020-06-28	2.541	41996.463	0.173	1997.09
2020-06-29	1.602	41998.065	0.109	1997.199
2020-06-30	1.058	41999.123	0.072	1997.271
2020-07-01	0.758	41999.881	0.052	1997.323
2020-07-02	0.585	42000.466	0.04	1997.363
2020-07-03	0.467	42000.933	0.032	1997.395
2020-07-04	0.371	42001.304	0.025	1997.42
2020-07-05	0.29	42001.594	0.02	1997.44
2020-07-06	0.22	42001.814	0.015	1997.455
2020-07-07	0.162	42001.976	0.011	1997.466
2020-07-08	0.0	42001.976	0.0	1997.466
2020-07-09	0.0	42001.976	0.0	1997.466
2020-07-10	0.0	42001.976	0.0	1997.466
2020-07-11	0.0	42001.976	0.0	1997.466
2020-07-12	0.0	42001.976	0.0	1997.466
2020-07-13	0.0	42001.976	0.0	1997.466
2020-07-14	0.0	42001.976	0.0	1997.466
