Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-11	17.142	591.142	0.764	30.764
2020-06-12	17.362	608.504	0.848	31.612
2020-06-13	17.424	625.928	0.932	32.544
2020-06-14	17.391	643.319	1.016	33.56
2020-06-15	17.231	660.55	1.104	34.664
2020-06-16	17.007	677.557	1.2	35.864
2020-06-17	16.751	694.308	1.297	37.161
2020-06-18	16.428	710.736	1.39	38.551
2020-06-19	16.04	726.776	1.469	40.02
2020-06-20	15.622	742.398	1.531	41.551
2020-06-21	15.205	757.603	1.566	43.117
2020-06-22	14.79	772.393	1.586	44.703
2020-06-23	14.409	786.802	1.592	46.295
2020-06-24	14.059	800.861	1.589	47.884
2020-06-25	13.703	814.564	1.574	49.458
2020-06-26	13.314	827.878	1.554	51.012
2020-06-27	12.892	840.77	1.53	52.542
2020-06-28	12.437	853.207	1.501	54.043
2020-06-29	11.951	865.158	1.466	55.509
2020-06-30	11.465	876.623	1.427	56.936
2020-07-01	10.979	887.602	1.389	58.325
2020-07-02	10.498	898.1	1.351	59.676
2020-07-03	10.026	908.126	1.316	60.992
2020-07-04	9.569	917.695	1.285	62.277
2020-07-05	9.118	926.813	1.252	63.529
2020-07-06	8.678	935.491	1.216	64.745
2020-07-07	8.249	943.74	1.178	65.923
2020-07-08	7.836	951.576	1.136	67.059
2020-07-09	7.434	959.01	1.092	68.151
2020-07-10	7.051	966.061	1.048	69.199
2020-07-11	6.686	972.747	1.003	70.202
2020-07-12	6.338	979.085	0.959	71.161
2020-07-13	6.003	985.088	0.916	72.077
2020-07-14	5.679	990.767	0.874	72.951
2020-07-15	5.366	996.133	0.833	73.784
2020-07-16	5.058	1001.191	0.793	74.577
2020-07-17	4.753	1005.944	0.754	75.331
2020-07-18	4.448	1010.392	0.716	76.047
2020-07-19	4.142	1014.534	0.679	76.726
2020-07-20	3.842	1018.376	0.644	77.37
2020-07-21	3.564	1021.94	0.611	77.981
2020-07-22	3.319	1025.259	0.579	78.56
2020-07-23	3.105	1028.364	0.548	79.108
2020-07-24	2.922	1031.286	0.519	79.627
2020-07-25	2.763	1034.049	0.49	80.117
2020-07-26	2.616	1036.665	0.462	80.579
2020-07-27	2.47	1039.135	0.434	81.013
2020-07-28	2.323	1041.458	0.406	81.419
2020-07-29	2.177	1043.635	0.378	81.797
2020-07-30	2.031	1045.666	0.351	82.148
2020-07-31	1.887	1047.553	0.326	82.474
2020-08-01	1.755	1049.308	0.303	82.777
2020-08-02	1.637	1050.945	0.284	83.061
2020-08-03	1.531	1052.476	0.267	83.328
2020-08-04	1.437	1053.913	0.252	83.58
2020-08-05	1.351	1055.264	0.239	83.819
2020-08-06	1.266	1056.53	0.226	84.045
2020-08-07	1.18	1057.71	0.212	84.257
2020-08-08	1.095	1058.805	0.199	84.456
2020-08-09	1.01	1059.815	0.186	84.642
2020-08-10	0.925	1060.74	0.172	84.814
2020-08-11	0.839	1061.579	0.16	84.974
2020-08-12	0.756	1062.335	0.15	85.124
2020-08-13	0.678	1063.013	0.14	85.264
2020-08-14	0.607	1063.62	0.131	85.395
2020-08-15	0.543	1064.163	0.123	85.518
2020-08-16	0.483	1064.646	0.116	85.634
2020-08-17	0.427	1065.073	0.108	85.742
2020-08-18	0.372	1065.445	0.1	85.842
2020-08-19	0.317	1065.762	0.092	85.934
2020-08-20	0.261	1066.023	0.084	86.018
2020-08-21	0.204	1066.227	0.077	86.095
2020-08-22	0.145	1066.372	0.069	86.164
2020-08-23	0.093	1066.465	0.062	86.226
2020-08-24	0.057	1066.522	0.055	86.281
2020-08-25	0.036	1066.558	0.05	86.331
2020-08-26	0.024	1066.582	0.044	86.375
2020-08-27	0.017	1066.599	0.039	86.414
2020-08-28	0.013	1066.612	0.034	86.448
2020-08-29	0.011	1066.623	0.029	86.477
2020-08-30	0.008	1066.631	0.024	86.501
2020-08-31	0.007	1066.638	0.019	86.52
2020-09-01	0.005	1066.643	0.013	86.533
2020-09-02	0.004	1066.647	0.008	86.541
2020-09-03	0.0	1066.647	0.005	86.546
2020-09-04	0.0	1066.647	0.003	86.549
2020-09-05	0.0	1066.647	0.002	86.551
2020-09-06	0.0	1066.647	0.002	86.553
2020-09-07	0.0	1066.647	0.001	86.554
2020-09-08	0.0	1066.647	0.001	86.555
2020-09-09	0.0	1066.647	0.001	86.556
2020-09-10	0.0	1066.647	0.001	86.557
2020-09-11	0.0	1066.647	0.0	86.557
