Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-26	0.707	50.707	0.0	1.0
2020-06-27	0.835	51.542	0.0	1.0
2020-06-28	0.985	52.527	0.0	1.0
2020-06-29	1.165	53.692	0.0	1.0
2020-06-30	1.375	55.067	0.0	1.0
2020-07-01	1.621	56.688	0.0	1.0
2020-07-02	1.899	58.587	0.0	1.0
2020-07-03	2.207	60.794	0.0	1.0
2020-07-04	2.542	63.336	0.0	1.0
2020-07-05	2.91	66.246	0.0	1.0
2020-07-06	3.3	69.546	0.0	1.0
2020-07-07	3.702	73.248	0.0	1.0
2020-07-08	4.109	77.357	0.0	1.0
2020-07-09	4.513	81.87	0.0	1.0
2020-07-10	4.921	86.791	0.0	1.0
2020-07-11	5.346	92.137	0.0	1.0
2020-07-12	5.814	97.951	0.0	1.0
2020-07-13	6.281	104.232	0.0	1.0
2020-07-14	6.733	110.965	0.0	1.0
2020-07-15	7.116	118.081	0.0	1.0
2020-07-16	7.414	125.495	0.0	1.0
2020-07-17	7.586	133.081	0.0	1.0
2020-07-18	7.683	140.764	0.0	1.0
2020-07-19	7.711	148.475	0.0	1.0
2020-07-20	7.696	156.171	0.0	1.0
2020-07-21	7.625	163.796	0.0	1.0
2020-07-22	7.526	171.322	0.0	1.0
2020-07-23	7.413	178.735	0.0	1.0
2020-07-24	7.27	186.005	0.0	1.0
2020-07-25	7.098	193.103	0.0	1.0
2020-07-26	6.913	200.016	0.0	1.0
2020-07-27	6.728	206.744	0.0	1.0
2020-07-28	6.545	213.289	0.0	1.0
2020-07-29	6.376	219.665	0.0	1.0
2020-07-30	6.221	225.886	0.0	1.0
2020-07-31	6.064	231.95	0.0	1.0
2020-08-01	5.892	237.842	0.0	1.0
2020-08-02	5.705	243.547	0.0	1.0
2020-08-03	5.504	249.051	0.0	1.0
2020-08-04	5.289	254.34	0.0	1.0
2020-08-05	5.074	259.414	0.0	1.0
2020-08-06	4.858	264.272	0.0	1.0
2020-08-07	4.645	268.917	0.0	1.0
2020-08-08	4.437	273.354	0.0	1.0
2020-08-09	4.235	277.589	0.0	1.0
2020-08-10	4.035	281.624	0.0	1.0
2020-08-11	3.84	285.464	0.0	1.0
2020-08-12	3.65	289.114	0.0	1.0
2020-08-13	3.468	292.582	0.0	1.0
2020-08-14	3.29	295.872	0.0	1.0
2020-08-15	3.12	298.992	0.0	1.0
2020-08-16	2.959	301.951	0.0	1.0
2020-08-17	2.805	304.756	0.0	1.0
2020-08-18	2.656	307.412	0.0	1.0
2020-08-19	2.513	309.925	0.0	1.0
2020-08-20	2.374	312.299	0.0	1.0
2020-08-21	2.238	314.537	0.0	1.0
2020-08-22	2.103	316.64	0.0	1.0
2020-08-23	1.968	318.608	0.0	1.0
2020-08-24	1.833	320.441	0.0	1.0
2020-08-25	1.7	322.141	0.0	1.0
2020-08-26	1.577	323.718	0.0	1.0
2020-08-27	1.469	325.187	0.0	1.0
2020-08-28	1.374	326.561	0.0	1.0
2020-08-29	1.293	327.854	0.0	1.0
2020-08-30	1.223	329.077	0.0	1.0
2020-08-31	1.158	330.235	0.0	1.0
2020-09-01	1.093	331.328	0.0	1.0
2020-09-02	1.028	332.356	0.0	1.0
2020-09-03	0.963	333.319	0.0	1.0
2020-09-04	0.899	334.218	0.0	1.0
2020-09-05	0.835	335.053	0.0	1.0
2020-09-06	0.777	335.83	0.0	1.0
2020-09-07	0.725	336.555	0.0	1.0
2020-09-08	0.678	337.233	0.0	1.0
2020-09-09	0.636	337.869	0.0	1.0
2020-09-10	0.598	338.467	0.0	1.0
2020-09-11	0.56	339.027	0.0	1.0
2020-09-12	0.522	339.549	0.0	1.0
2020-09-13	0.485	340.034	0.0	1.0
2020-09-14	0.447	340.481	0.0	1.0
2020-09-15	0.409	340.89	0.0	1.0
2020-09-16	0.371	341.261	0.0	1.0
2020-09-17	0.334	341.595	0.0	1.0
2020-09-18	0.3	341.895	0.0	1.0
2020-09-19	0.269	342.164	0.0	1.0
2020-09-20	0.24	342.404	0.0	1.0
2020-09-21	0.214	342.618	0.0	1.0
2020-09-22	0.189	342.807	0.0	1.0
2020-09-23	0.165	342.972	0.0	1.0
2020-09-24	0.14	343.112	0.0	1.0
2020-09-25	0.115	343.227	0.0	1.0
2020-09-26	0.09	343.317	0.0	1.0
2020-09-27	0.064	343.381	0.0	1.0
2020-09-28	0.041	343.422	0.0	1.0
2020-09-29	0.025	343.447	0.0	1.0
2020-09-30	0.016	343.463	0.0	1.0
2020-10-01	0.011	343.474	0.0	1.0
2020-10-02	0.008	343.482	0.0	1.0
2020-10-03	0.006	343.488	0.0	1.0
2020-10-04	0.005	343.493	0.0	1.0
2020-10-05	0.004	343.497	0.0	1.0
2020-10-06	0.003	343.5	0.0	1.0
2020-10-07	0.002	343.502	0.0	1.0
2020-10-08	0.002	343.504	0.0	1.0
