Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-14	0.956	51.956	0.0	0.0
2020-06-15	0.947	52.903	0.0	0.0
2020-06-16	0.934	53.837	0.0	0.0
2020-06-17	0.92	54.757	0.0	0.0
2020-06-18	0.903	55.66	0.0	0.0
2020-06-19	0.881	56.541	0.0	0.0
2020-06-20	0.858	57.399	0.0	0.0
2020-06-21	0.835	58.234	0.0	0.0
2020-06-22	0.813	59.047	0.0	0.0
2020-06-23	0.792	59.839	0.0	0.0
2020-06-24	0.772	60.611	0.0	0.0
2020-06-25	0.753	61.364	0.0	0.0
2020-06-26	0.732	62.096	0.0	0.0
2020-06-27	0.708	62.804	0.0	0.0
2020-06-28	0.683	63.487	0.0	0.0
2020-06-29	0.657	64.144	0.0	0.0
2020-06-30	0.63	64.774	0.0	0.0
2020-07-01	0.603	65.377	0.0	0.0
2020-07-02	0.577	65.954	0.0	0.0
2020-07-03	0.551	66.505	0.0	0.0
2020-07-04	0.526	67.031	0.0	0.0
2020-07-05	0.501	67.532	0.0	0.0
2020-07-06	0.477	68.009	0.0	0.0
2020-07-07	0.453	68.462	0.0	0.0
2020-07-08	0.431	68.893	0.0	0.0
2020-07-09	0.408	69.301	0.0	0.0
2020-07-10	0.387	69.688	0.0	0.0
2020-07-11	0.367	70.055	0.0	0.0
2020-07-12	0.348	70.403	0.0	0.0
2020-07-13	0.33	70.733	0.0	0.0
2020-07-14	0.312	71.045	0.0	0.0
2020-07-15	0.295	71.34	0.0	0.0
2020-07-16	0.278	71.618	0.0	0.0
2020-07-17	0.261	71.879	0.0	0.0
2020-07-18	0.244	72.123	0.0	0.0
2020-07-19	0.228	72.351	0.0	0.0
2020-07-20	0.211	72.562	0.0	0.0
2020-07-21	0.196	72.758	0.0	0.0
2020-07-22	0.182	72.94	0.0	0.0
2020-07-23	0.171	73.111	0.0	0.0
2020-07-24	0.161	73.272	0.0	0.0
2020-07-25	0.152	73.424	0.0	0.0
2020-07-26	0.144	73.568	0.0	0.0
2020-07-27	0.136	73.704	0.0	0.0
2020-07-28	0.128	73.832	0.0	0.0
2020-07-29	0.12	73.952	0.0	0.0
2020-07-30	0.112	74.064	0.0	0.0
2020-07-31	0.104	74.168	0.0	0.0
2020-08-01	0.096	74.264	0.0	0.0
2020-08-02	0.09	74.354	0.0	0.0
2020-08-03	0.084	74.438	0.0	0.0
2020-08-04	0.079	74.517	0.0	0.0
2020-08-05	0.074	74.591	0.0	0.0
2020-08-06	0.07	74.661	0.0	0.0
2020-08-07	0.065	74.726	0.0	0.0
2020-08-08	0.06	74.786	0.0	0.0
2020-08-09	0.055	74.841	0.0	0.0
2020-08-10	0.051	74.892	0.0	0.0
2020-08-11	0.046	74.938	0.0	0.0
2020-08-12	0.042	74.98	0.0	0.0
2020-08-13	0.037	75.017	0.0	0.0
2020-08-14	0.033	75.05	0.0	0.0
2020-08-15	0.03	75.08	0.0	0.0
2020-08-16	0.027	75.107	0.0	0.0
2020-08-17	0.023	75.13	0.0	0.0
2020-08-18	0.02	75.15	0.0	0.0
2020-08-19	0.017	75.167	0.0	0.0
2020-08-20	0.014	75.181	0.0	0.0
2020-08-21	0.011	75.192	0.0	0.0
2020-08-22	0.008	75.2	0.0	0.0
2020-08-23	0.005	75.205	0.0	0.0
2020-08-24	0.003	75.208	0.0	0.0
2020-08-25	0.002	75.21	0.0	0.0
2020-08-26	0.001	75.211	0.0	0.0
2020-08-27	0.001	75.212	0.0	0.0
2020-08-28	0.001	75.213	0.0	0.0
2020-08-29	0.001	75.214	0.0	0.0
2020-08-30	0.0	75.214	0.0	0.0
2020-08-31	0.0	75.214	0.0	0.0
2020-09-01	0.0	75.214	0.0	0.0
2020-09-02	0.0	75.214	0.0	0.0
