Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-11	0.133	32.133	0.0	3.0
2020-05-12	0.129	32.262	0.0	3.0
2020-05-13	0.124	32.386	0.0	3.0
2020-05-14	0.119	32.505	0.0	3.0
2020-05-15	0.114	32.619	0.0	3.0
2020-05-16	0.109	32.728	0.0	3.0
2020-05-17	0.104	32.832	0.0	3.0
2020-05-18	0.099	32.931	0.0	3.0
2020-05-19	0.094	33.025	0.0	3.0
2020-05-20	0.09	33.115	0.0	3.0
2020-05-21	0.085	33.2	0.0	3.0
2020-05-22	0.081	33.281	0.0	3.0
2020-05-23	0.077	33.358	0.0	3.0
2020-05-24	0.073	33.431	0.0	3.0
2020-05-25	0.069	33.5	0.0	3.0
2020-05-26	0.066	33.566	0.0	3.0
2020-05-27	0.062	33.628	0.0	3.0
2020-05-28	0.059	33.687	0.0	3.0
2020-05-29	0.055	33.742	0.0	3.0
2020-05-30	0.052	33.794	0.0	3.0
2020-05-31	0.049	33.843	0.0	3.0
2020-06-01	0.046	33.889	0.0	3.0
2020-06-02	0.043	33.932	0.0	3.0
2020-06-03	0.04	33.972	0.0	3.0
2020-06-04	0.037	34.009	0.0	3.0
2020-06-05	0.034	34.043	0.0	3.0
2020-06-06	0.032	34.075	0.0	3.0
2020-06-07	0.03	34.105	0.0	3.0
2020-06-08	0.029	34.134	0.0	3.0
2020-06-09	0.027	34.161	0.0	3.0
2020-06-10	0.026	34.187	0.0	3.0
2020-06-11	0.024	34.211	0.0	3.0
2020-06-12	0.023	34.234	0.0	3.0
2020-06-13	0.021	34.255	0.0	3.0
2020-06-14	0.02	34.275	0.0	3.0
2020-06-15	0.018	34.293	0.0	3.0
2020-06-16	0.017	34.31	0.0	3.0
2020-06-17	0.016	34.326	0.0	3.0
2020-06-18	0.015	34.341	0.0	3.0
2020-06-19	0.014	34.355	0.0	3.0
2020-06-20	0.013	34.368	0.0	3.0
2020-06-21	0.012	34.38	0.0	3.0
2020-06-22	0.011	34.391	0.0	3.0
2020-06-23	0.01	34.401	0.0	3.0
2020-06-24	0.01	34.411	0.0	3.0
2020-06-25	0.009	34.42	0.0	3.0
2020-06-26	0.008	34.428	0.0	3.0
2020-06-27	0.007	34.435	0.0	3.0
2020-06-28	0.006	34.441	0.0	3.0
2020-06-29	0.006	34.447	0.0	3.0
2020-06-30	0.005	34.452	0.0	3.0
2020-07-01	0.004	34.456	0.0	3.0
2020-07-02	0.004	34.46	0.0	3.0
2020-07-03	0.003	34.463	0.0	3.0
2020-07-04	0.003	34.466	0.0	3.0
2020-07-05	0.002	34.468	0.0	3.0
2020-07-06	0.001	34.469	0.0	3.0
2020-07-07	0.001	34.47	0.0	3.0
2020-07-08	0.001	34.471	0.0	3.0
2020-07-09	0.0	34.471	0.0	3.0
2020-07-10	0.0	34.471	0.0	3.0
2020-07-11	0.0	34.471	0.0	3.0
2020-07-12	0.0	34.471	0.0	3.0
2020-07-13	0.0	34.471	0.0	3.0
2020-07-14	0.0	34.471	0.0	3.0
2020-07-15	0.0	34.471	0.0	3.0
2020-07-16	0.0	34.471	0.0	3.0
2020-07-17	0.0	34.471	0.0	3.0
2020-07-18	0.0	34.471	0.0	3.0
2020-07-19	0.0	34.471	0.0	3.0
2020-07-20	0.0	34.471	0.0	3.0
2020-07-21	0.0	34.471	0.0	3.0
2020-07-22	0.0	34.471	0.0	3.0
2020-07-23	0.0	34.471	0.0	3.0
2020-07-24	0.0	34.471	0.0	3.0
2020-07-25	0.0	34.471	0.0	3.0
2020-07-26	0.0	34.471	0.0	3.0
2020-07-27	0.0	34.471	0.0	3.0
2020-07-28	0.0	34.471	0.0	3.0
2020-07-29	0.0	34.471	0.0	3.0
2020-07-30	0.0	34.471	0.0	3.0
2020-07-31	0.0	34.471	0.0	3.0
2020-08-01	0.0	34.471	0.0	3.0
2020-08-02	0.0	34.471	0.0	3.0
2020-08-03	0.0	34.471	0.0	3.0
2020-08-04	0.0	34.471	0.0	3.0
2020-08-05	0.0	34.471	0.0	3.0
2020-08-06	0.0	34.471	0.0	3.0
2020-08-07	0.0	34.471	0.0	3.0
2020-08-08	0.0	34.471	0.0	3.0
2020-08-09	0.0	34.471	0.0	3.0
2020-08-10	0.0	34.471	0.0	3.0
2020-08-11	0.0	34.471	0.0	3.0
2020-08-12	0.0	34.471	0.0	3.0
2020-08-13	0.0	34.471	0.0	3.0
2020-08-14	0.0	34.471	0.0	3.0
2020-08-15	0.0	34.471	0.0	3.0
2020-08-16	0.0	34.471	0.0	3.0
2020-08-17	0.0	34.471	0.0	3.0
2020-08-18	0.0	34.471	0.0	3.0
2020-08-19	0.0	34.471	0.0	3.0
2020-08-20	0.0	34.471	0.0	3.0
2020-08-21	0.0	34.471	0.0	3.0
2020-08-22	0.0	34.471	0.0	3.0
2020-08-23	0.0	34.471	0.0	3.0
2020-08-24	0.0	34.471	0.0	3.0
2020-08-25	0.0	34.471	0.0	3.0
2020-08-26	0.0	34.471	0.0	3.0
2020-08-27	0.0	34.471	0.0	3.0
2020-08-28	0.0	34.471	0.0	3.0
2020-08-29	0.0	34.471	0.0	3.0
2020-08-30	0.0	34.471	0.0	3.0
