Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-14	1.093	28.093	0.0	1.0
2020-05-15	1.295	29.388	0.0	1.0
2020-05-16	1.53	30.918	0.0	1.0
2020-05-17	1.806	32.724	0.0	1.0
2020-05-18	2.135	34.859	0.0	1.0
2020-05-19	2.521	37.38	0.0	1.0
2020-05-20	2.971	40.351	0.0	1.0
2020-05-21	3.481	43.832	0.0	1.0
2020-05-22	4.046	47.878	0.0	1.0
2020-05-23	4.66	52.538	0.0	1.0
2020-05-24	5.333	57.871	0.0	1.0
2020-05-25	6.049	63.92	0.0	1.0
2020-05-26	6.786	70.706	0.0	1.0
2020-05-27	7.531	78.237	0.0	1.0
2020-05-28	8.272	86.509	0.0	1.0
2020-05-29	9.02	95.529	0.0	1.0
2020-05-30	9.799	105.328	0.0	1.0
2020-05-31	10.656	115.984	0.0	1.0
2020-06-01	11.512	127.496	0.0	1.0
2020-06-02	12.34	139.836	0.0	1.0
2020-06-03	13.043	152.879	0.0	1.0
2020-06-04	13.589	166.468	0.0	1.0
2020-06-05	13.904	180.372	0.0	1.0
2020-06-06	14.082	194.454	0.0	1.0
2020-06-07	14.133	208.587	0.0	1.0
2020-06-08	14.106	222.693	0.0	1.0
2020-06-09	13.976	236.669	0.0	1.0
2020-06-10	13.795	250.464	0.0	1.0
2020-06-11	13.587	264.051	0.0	1.0
2020-06-12	13.325	277.376	0.0	1.0
2020-06-13	13.01	290.386	0.0	1.0
2020-06-14	12.671	303.057	0.0	1.0
2020-06-15	12.333	315.39	0.0	1.0
2020-06-16	11.997	327.387	0.0	1.0
2020-06-17	11.687	339.074	0.0	1.0
2020-06-18	11.403	350.477	0.0	1.0
2020-06-19	11.115	361.592	0.0	1.0
2020-06-20	10.799	372.391	0.0	1.0
2020-06-21	10.457	382.848	0.0	1.0
2020-06-22	10.088	392.936	0.0	1.0
2020-06-23	9.694	402.63	0.0	1.0
2020-06-24	9.299	411.929	0.0	1.0
2020-06-25	8.905	420.834	0.0	1.0
2020-06-26	8.515	429.349	0.0	1.0
2020-06-27	8.132	437.481	0.0	1.0
2020-06-28	7.762	445.243	0.0	1.0
2020-06-29	7.396	452.639	0.0	1.0
2020-06-30	7.039	459.678	0.0	1.0
2020-07-01	6.691	466.369	0.0	1.0
2020-07-02	6.356	472.725	0.0	1.0
2020-07-03	6.03	478.755	0.0	1.0
2020-07-04	5.719	484.474	0.0	1.0
2020-07-05	5.423	489.897	0.0	1.0
2020-07-06	5.141	495.038	0.0	1.0
2020-07-07	4.869	499.907	0.0	1.0
2020-07-08	4.606	504.513	0.0	1.0
2020-07-09	4.352	508.865	0.0	1.0
2020-07-10	4.102	512.967	0.0	1.0
2020-07-11	3.855	516.822	0.0	1.0
2020-07-12	3.607	520.429	0.0	1.0
2020-07-13	3.36	523.789	0.0	1.0
2020-07-14	3.116	526.905	0.0	1.0
2020-07-15	2.891	529.796	0.0	1.0
2020-07-16	2.692	532.488	0.0	1.0
2020-07-17	2.519	535.007	0.0	1.0
2020-07-18	2.37	537.377	0.0	1.0
2020-07-19	2.241	539.618	0.0	1.0
2020-07-20	2.122	541.74	0.0	1.0
2020-07-21	2.003	543.743	0.0	1.0
2020-07-22	1.884	545.627	0.0	1.0
2020-07-23	1.766	547.393	0.0	1.0
2020-07-24	1.647	549.04	0.0	1.0
2020-07-25	1.53	550.57	0.0	1.0
2020-07-26	1.424	551.994	0.0	1.0
2020-07-27	1.328	553.322	0.0	1.0
2020-07-28	1.242	554.564	0.0	1.0
2020-07-29	1.165	555.729	0.0	1.0
2020-07-30	1.096	556.825	0.0	1.0
2020-07-31	1.026	557.851	0.0	1.0
2020-08-01	0.957	558.808	0.0	1.0
2020-08-02	0.888	559.696	0.0	1.0
2020-08-03	0.819	560.515	0.0	1.0
2020-08-04	0.75	561.265	0.0	1.0
2020-08-05	0.681	561.946	0.0	1.0
2020-08-06	0.613	562.559	0.0	1.0
2020-08-07	0.55	563.109	0.0	1.0
2020-08-08	0.493	563.602	0.0	1.0
2020-08-09	0.44	564.042	0.0	1.0
2020-08-10	0.392	564.434	0.0	1.0
2020-08-11	0.347	564.781	0.0	1.0
2020-08-12	0.302	565.083	0.0	1.0
2020-08-13	0.257	565.34	0.0	1.0
2020-08-14	0.211	565.551	0.0	1.0
2020-08-15	0.165	565.716	0.0	1.0
2020-08-16	0.117	565.833	0.0	1.0
2020-08-17	0.075	565.908	0.0	1.0
2020-08-18	0.047	565.955	0.0	1.0
2020-08-19	0.029	565.984	0.0	1.0
2020-08-20	0.019	566.003	0.0	1.0
2020-08-21	0.014	566.017	0.0	1.0
2020-08-22	0.011	566.028	0.0	1.0
2020-08-23	0.009	566.037	0.0	1.0
2020-08-24	0.007	566.044	0.0	1.0
2020-08-25	0.005	566.049	0.0	1.0
2020-08-26	0.004	566.053	0.0	1.0
2020-08-27	0.003	566.056	0.0	1.0
2020-08-28	0.0	566.056	0.0	1.0
2020-08-29	0.0	566.056	0.0	1.0
2020-08-30	0.0	566.056	0.0	1.0
