Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-16	4.649	235.649	0.0	22.0
2020-06-17	4.666	240.315	0.0	22.0
2020-06-18	4.657	244.972	0.0	22.0
2020-06-19	4.614	249.586	0.0	22.0
2020-06-20	4.554	254.14	0.0	22.0
2020-06-21	4.485	258.625	0.0	22.0
2020-06-22	4.399	263.024	0.0	22.0
2020-06-23	4.295	267.319	0.0	22.0
2020-06-24	4.183	271.502	0.0	22.0
2020-06-25	4.071	275.573	0.0	22.0
2020-06-26	3.96	279.533	0.0	22.0
2020-06-27	3.858	283.391	0.0	22.0
2020-06-28	3.765	287.156	0.0	22.0
2020-06-29	3.669	290.825	0.0	22.0
2020-06-30	3.565	294.39	0.0	22.0
2020-07-01	3.452	297.842	0.0	22.0
2020-07-02	3.33	301.172	0.0	22.0
2020-07-03	3.2	304.372	0.0	22.0
2020-07-04	3.07	307.442	0.0	22.0
2020-07-05	2.94	310.382	0.0	22.0
2020-07-06	2.811	313.193	0.0	22.0
2020-07-07	2.685	315.878	0.0	22.0
2020-07-08	2.562	318.44	0.0	22.0
2020-07-09	2.441	320.881	0.0	22.0
2020-07-10	2.324	323.205	0.0	22.0
2020-07-11	2.209	325.414	0.0	22.0
2020-07-12	2.098	327.512	0.0	22.0
2020-07-13	1.991	329.503	0.0	22.0
2020-07-14	1.888	331.391	0.0	22.0
2020-07-15	1.79	333.181	0.0	22.0
2020-07-16	1.697	334.878	0.0	22.0
2020-07-17	1.607	336.485	0.0	22.0
2020-07-18	1.521	338.006	0.0	22.0
2020-07-19	1.437	339.443	0.0	22.0
2020-07-20	1.354	340.797	0.0	22.0
2020-07-21	1.273	342.07	0.0	22.0
2020-07-22	1.191	343.261	0.0	22.0
2020-07-23	1.109	344.37	0.0	22.0
2020-07-24	1.029	345.399	0.0	22.0
2020-07-25	0.954	346.353	0.0	22.0
2020-07-26	0.889	347.242	0.0	22.0
2020-07-27	0.832	348.074	0.0	22.0
2020-07-28	0.782	348.856	0.0	22.0
2020-07-29	0.74	349.596	0.0	22.0
2020-07-30	0.7	350.296	0.0	22.0
2020-07-31	0.661	350.957	0.0	22.0
2020-08-01	0.622	351.579	0.0	22.0
2020-08-02	0.583	352.162	0.0	22.0
2020-08-03	0.544	352.706	0.0	22.0
2020-08-04	0.505	353.211	0.0	22.0
2020-08-05	0.47	353.681	0.0	22.0
2020-08-06	0.438	354.119	0.0	22.0
2020-08-07	0.41	354.529	0.0	22.0
2020-08-08	0.385	354.914	0.0	22.0
2020-08-09	0.362	355.276	0.0	22.0
2020-08-10	0.339	355.615	0.0	22.0
2020-08-11	0.316	355.931	0.0	22.0
2020-08-12	0.293	356.224	0.0	22.0
2020-08-13	0.27	356.494	0.0	22.0
2020-08-14	0.248	356.742	0.0	22.0
2020-08-15	0.225	356.967	0.0	22.0
2020-08-16	0.202	357.169	0.0	22.0
2020-08-17	0.182	357.351	0.0	22.0
2020-08-18	0.163	357.514	0.0	22.0
2020-08-19	0.145	357.659	0.0	22.0
2020-08-20	0.129	357.788	0.0	22.0
2020-08-21	0.114	357.902	0.0	22.0
2020-08-22	0.1	358.002	0.0	22.0
2020-08-23	0.085	358.087	0.0	22.0
2020-08-24	0.07	358.157	0.0	22.0
2020-08-25	0.055	358.212	0.0	22.0
2020-08-26	0.039	358.251	0.0	22.0
2020-08-27	0.025	358.276	0.0	22.0
2020-08-28	0.015	358.291	0.0	22.0
2020-08-29	0.01	358.301	0.0	22.0
2020-08-30	0.006	358.307	0.0	22.0
2020-08-31	0.005	358.312	0.0	22.0
2020-09-01	0.004	358.316	0.0	22.0
2020-09-02	0.003	358.319	0.0	22.0
2020-09-03	0.002	358.321	0.0	22.0
2020-09-04	0.002	358.323	0.0	22.0
2020-09-05	0.001	358.324	0.0	22.0
2020-09-06	0.001	358.325	0.0	22.0
2020-09-07	0.0	358.325	0.0	22.0
2020-09-08	0.0	358.325	0.0	22.0
2020-09-09	0.0	358.325	0.0	22.0
2020-09-10	0.0	358.325	0.0	22.0
2020-09-11	0.0	358.325	0.0	22.0
2020-09-12	0.0	358.325	0.0	22.0
2020-09-13	0.0	358.325	0.0	22.0
2020-09-14	0.0	358.325	0.0	22.0
2020-09-15	0.0	358.325	0.0	22.0
