Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-17	3.111	80.111	0.0	3.0
2020-04-18	2.964	83.075	0.0	3.0
2020-04-19	2.821	85.896	0.0	3.0
2020-04-20	2.682	88.578	0.0	3.0
2020-04-21	2.548	91.126	0.0	3.0
2020-04-22	2.417	93.543	0.0	3.0
2020-04-23	2.293	95.836	0.0	3.0
2020-04-24	2.174	98.01	0.0	3.0
2020-04-25	2.061	100.071	0.0	3.0
2020-04-26	1.952	102.023	0.0	3.0
2020-04-27	1.846	103.869	0.0	3.0
2020-04-28	1.744	105.613	0.0	3.0
2020-04-29	1.644	107.257	0.0	3.0
2020-04-30	1.545	108.802	0.0	3.0
2020-05-01	1.446	110.248	0.0	3.0
2020-05-02	1.347	111.595	0.0	3.0
2020-05-03	1.249	112.844	0.0	3.0
2020-05-04	1.159	114.003	0.0	3.0
2020-05-05	1.079	115.082	0.0	3.0
2020-05-06	1.01	116.092	0.0	3.0
2020-05-07	0.95	117.042	0.0	3.0
2020-05-08	0.898	117.94	0.0	3.0
2020-05-09	0.85	118.79	0.0	3.0
2020-05-10	0.803	119.593	0.0	3.0
2020-05-11	0.755	120.348	0.0	3.0
2020-05-12	0.708	121.056	0.0	3.0
2020-05-13	0.66	121.716	0.0	3.0
2020-05-14	0.613	122.329	0.0	3.0
2020-05-15	0.571	122.9	0.0	3.0
2020-05-16	0.532	123.432	0.0	3.0
2020-05-17	0.498	123.93	0.0	3.0
2020-05-18	0.467	124.397	0.0	3.0
2020-05-19	0.439	124.836	0.0	3.0
2020-05-20	0.411	125.247	0.0	3.0
2020-05-21	0.384	125.631	0.0	3.0
2020-05-22	0.356	125.987	0.0	3.0
2020-05-23	0.328	126.315	0.0	3.0
2020-05-24	0.301	126.616	0.0	3.0
2020-05-25	0.273	126.889	0.0	3.0
2020-05-26	0.246	127.135	0.0	3.0
2020-05-27	0.221	127.356	0.0	3.0
2020-05-28	0.197	127.553	0.0	3.0
2020-05-29	0.176	127.729	0.0	3.0
2020-05-30	0.157	127.886	0.0	3.0
2020-05-31	0.139	128.025	0.0	3.0
2020-06-01	0.121	128.146	0.0	3.0
2020-06-02	0.103	128.249	0.0	3.0
2020-06-03	0.085	128.334	0.0	3.0
2020-06-04	0.066	128.4	0.0	3.0
2020-06-05	0.047	128.447	0.0	3.0
2020-06-06	0.03	128.477	0.0	3.0
2020-06-07	0.019	128.496	0.0	3.0
2020-06-08	0.012	128.508	0.0	3.0
2020-06-09	0.008	128.516	0.0	3.0
2020-06-10	0.006	128.522	0.0	3.0
2020-06-11	0.004	128.526	0.0	3.0
2020-06-12	0.003	128.529	0.0	3.0
2020-06-13	0.003	128.532	0.0	3.0
2020-06-14	0.002	128.534	0.0	3.0
2020-06-15	0.002	128.536	0.0	3.0
2020-06-16	0.001	128.537	0.0	3.0
2020-06-17	0.0	128.537	0.0	3.0
2020-06-18	0.0	128.537	0.0	3.0
2020-06-19	0.0	128.537	0.0	3.0
2020-06-20	0.0	128.537	0.0	3.0
2020-06-21	0.0	128.537	0.0	3.0
2020-06-22	0.0	128.537	0.0	3.0
2020-06-23	0.0	128.537	0.0	3.0
2020-06-24	0.0	128.537	0.0	3.0
2020-06-25	0.0	128.537	0.0	3.0
2020-06-26	0.0	128.537	0.0	3.0
2020-06-27	0.0	128.537	0.0	3.0
