Name	Predicted_New_Cases	Total_Predicted_New_Cases
Transylvania	0.0	0.0
Cumberland	5.51	1745.847
Brunswick	0.004	11.122
Wayne	18.174	3945.134
Onslow	14.135	3066.208
Anson	0.0	12.427
Cherokee	0.0	1.0
Gates	0.0	0.0
Beaufort	1.91	439.365
Wilson	0.057	65.925
Montgomery	4.039	874.918
Currituck	0.0	0.0
Buncombe	0.0	2.0
Ashe	0.0	0.0
Lincoln	0.0	0.0
Columbus	4.274	1459.499
Alexander	0.0	0.0
Henderson	0.316	194.892
Mitchell	0.0	0.0
Wilkes	0.0	0.0
Lee	0.0	0.0
Caldwell	7.638	1757.472
Washington	0.0	0.0
Yadkin	1.71	583.803
Robeson	0.0	0.0
Surry	0.0	0.0
Macon	0.0	0.0
Martin	0.0	0.0
Davidson	4.001	1368.8
Person	3.615	881.685
Perquimans	0.0	0.0
Catawba	10.096	2188.29
Lenoir	0.0	0.0
McDowell	1.91	439.365
Cabarrus	0.032	158.988
Carteret	0.0	9.0
Duplin	1.91	439.365
Rowan	0.321	258.702
Bladen	0.0	0.0
Alleghany	0.0	0.0
Bertie	0.0	0.0
Wake	0.16	383.972
Edgecombe	0.0	0.0
Stokes	0.0	17.767
Guilford	0.108	160.139
Scotland	0.0	0.0
Northampton	24.231	5253.504
Pasquotank	0.0	0.0
Johnston	1.049	498.581
Davie	0.101	99.54
Hertford	0.0	0.0
Randolph	0.003	79.54
Pamlico	0.0	0.0
Hoke	4.039	875.918
Rockingham	1.388	583.092
Stanly	0.0	0.0
Vance	8.077	1749.834
Clay	0.0	0.0
Pender	0.0	0.0
Franklin	4.039	875.918
Rutherford	0.001	58.626
Craven	6.058	1315.379
Greene	0.001	14.271
New Hanover	0.0	0.0
Union	0.021	109.325
Swain	0.0	0.0
Haywood	0.0	0.0
Dare	0.001	16.223
Forsyth	0.086	172.643
Durham	8.901	2820.37
Pitt	0.034	38.951
Burke	13.686	3778.67
Gaston	0.006	103.899
Warren	2.978	1331.24
Mecklenburg	0.705	1210.128
Cleveland	0.181	144.955
Granville	56.54	12287.849
Sampson	0.0	3.0
Caswell	0.0	0.0
Watauga	0.0	0.0
Orange	0.027	141.656
Nash	10.096	2187.29
Jackson	0.0	0.0
