Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita
Bladen	652.0	7.0	0.0	645.0	0.01964447	0.00021091	2333.33333333	1076.92307692	700.0	0.0703033333333	0.0324476923077	0.021091
Currituck	83.0	0.0	0.0	83.0	0.0030659	0.0	415.0	166.0	103.75	0.0153295	0.0061318	0.003832375
Union	3375.0	44.0	0.0	3331.0	0.01430642	0.00018651	14666.6666667	6769.23076923	4400.0	0.06217	0.0286938461538	0.018651
Wilson	1562.0	36.0	0.0	1526.0	0.01917623	0.00044196	12000.0	5538.46153846	3600.0	0.14732	0.0679938461538	0.044196
Montgomery	701.0	16.0	0.0	685.0	0.02570496	0.0005867	5333.33333333	2461.53846154	1600.0	0.195566666667	0.0902615384615	0.05867
Wayne	2527.0	42.0	0.0	2485.0	0.02050338	0.00034078	14000.0	6461.53846154	4200.0	0.113593333333	0.0524276923077	0.034078
Robeson	3023.0	56.0	0.0	2967.0	0.02293087	0.00042479	18666.6666667	8615.38461538	5600.0	0.141596666667	0.0653523076923	0.042479
Brunswick	1310.0	22.0	0.0	1288.0	0.00957995	0.00016088	7333.33333333	3384.61538462	2200.0	0.0536266666667	0.0247507692308	0.016088
Henderson	1558.0	56.0	0.0	1502.0	0.01334498	0.00047967	18666.6666667	8615.38461538	5600.0	0.15989	0.0737953846154	0.047967
Cherokee	294.0	4.0	0.0	290.0	0.01035831	0.00014093	1333.33333333	615.384615385	400.0	0.0469766666667	0.0216815384615	0.014093
Anson	374.0	3.0	0.0	371.0	0.01503397	0.00012059	1000.0	461.538461538	300.0	0.0401966666667	0.0185523076923	0.012059
Catawba	2265.0	33.0	0.0	2232.0	0.01427653	0.000208	11000.0	5076.92307692	3300.0	0.0693333333333	0.032	0.0208
Yadkin	563.0	6.0	0.0	557.0	0.01499614	0.00015982	2000.0	923.076923077	600.0	0.0532733333333	0.0245876923077	0.015982
Stokes	304.0	3.0	0.0	301.0	0.00668617	6.598e-05	1000.0	461.538461538	300.0	0.0219933333333	0.0101507692308	0.006598
Pasquotank	447.0	20.0	0.0	427.0	0.01127677	0.00050455	6666.66666667	3076.92307692	2000.0	0.168183333333	0.0776230769231	0.050455
Hoke	780.0	11.0	0.0	769.0	0.01424293	0.00020086	3666.66666667	1692.30769231	1100.0	0.0669533333333	0.0309015384615	0.020086
Wilkes	910.0	18.0	0.0	892.0	0.01327363	0.00026256	6000.0	2769.23076923	1800.0	0.08752	0.0403938461538	0.026256
Alamance	2639.0	42.0	0.0	2597.0	0.01585594	0.00025235	14000.0	6461.53846154	4200.0	0.0841166666667	0.0388230769231	0.025235
Moore	1093.0	20.0	0.0	1073.0	0.01107598	0.00020267	6666.66666667	3076.92307692	2000.0	0.0675566666667	0.03118	0.020267
Washington	142.0	4.0	0.0	138.0	0.01197403	0.0003373	1333.33333333	615.384615385	400.0	0.112433333333	0.0518923076923	0.03373
Duplin	2027.0	49.0	0.0	1978.0	0.03443999	0.00083254	16333.3333333	7538.46153846	4900.0	0.277513333333	0.128083076923	0.083254
Durham	6409.0	80.0	0.0	6329.0	0.02023433	0.00025257	26666.6666667	12307.6923077	8000.0	0.08419	0.0388569230769	0.025257
Camden	76.0	2.0	0.0	74.0	0.00709617	0.00018674	666.666666667	307.692307692	200.0	0.0622466666667	0.0287292307692	0.018674
New Hanover	2704.0	21.0	0.0	2683.0	0.01164142	9.041e-05	7000.0	3230.76923077	2100.0	0.0301366666667	0.0139092307692	0.009041
Polk	177.0	6.0	0.0	171.0	0.00858765	0.00029111	2000.0	923.076923077	600.0	0.0970366666667	0.0447861538462	0.029111
Warren	271.0	6.0	0.0	265.0	0.01368203	0.00030292	2000.0	923.076923077	600.0	0.100973333333	0.0466030769231	0.030292
Watauga	339.0	0.0	0.0	339.0	0.00605952	0.0	1695.0	678.0	423.75	0.0302976	0.01211904	0.0075744
Jackson	460.0	7.0	0.0	453.0	0.01061694	0.00016156	2333.33333333	1076.92307692	700.0	0.0538533333333	0.0248553846154	0.016156
Transylvania	161.0	1.0	0.0	160.0	0.00470554	2.923e-05	333.333333333	153.846153846	100.0	0.00974333333333	0.00449692307692	0.002923
Caldwell	1277.0	13.0	0.0	1264.0	0.01556767	0.00015848	4333.33333333	2000.0	1300.0	0.0528266666667	0.0243815384615	0.015848
Onslow	1200.0	12.0	0.0	1188.0	0.00607032	6.07e-05	4000.0	1846.15384615	1200.0	0.0202333333333	0.00933846153846	0.00607
Granville	1353.0	29.0	0.0	1324.0	0.02250686	0.00048241	9666.66666667	4461.53846154	2900.0	0.160803333333	0.0742169230769	0.048241
Orange	1447.0	48.0	0.0	1399.0	0.00990913	0.00032871	16000.0	7384.61538462	4800.0	0.10957	0.0505707692308	0.032871
Burke	1710.0	27.0	0.0	1683.0	0.0189197	0.00029873	9000.0	4153.84615385	2700.0	0.0995766666667	0.0459584615385	0.029873
Lee	1335.0	11.0	0.0	1324.0	0.02172427	0.000179	3666.66666667	1692.30769231	1100.0	0.0596666666667	0.0275384615385	0.0179
Avery	107.0	0.0	0.0	107.0	0.00611254	0.0	535.0	214.0	133.75	0.0305627	0.01222508	0.007640675
Buncombe	2079.0	54.0	0.0	2025.0	0.00802384	0.00020841	18000.0	8307.69230769	5400.0	0.06947	0.0320630769231	0.020841
Guilford	5959.0	158.0	0.0	5801.0	0.01116608	0.00029606	52666.6666667	24307.6923077	15800.0	0.0986866666667	0.0455476923077	0.029606
Cabarrus	2803.0	50.0	0.0	2753.0	0.01326286	0.00023658	16666.6666667	7692.30769231	5000.0	0.07886	0.0363969230769	0.023658
Wake	12714.0	182.0	0.0	12532.0	0.01163961	0.00016662	60666.6666667	28000.0	18200.0	0.05554	0.0256338461538	0.016662
Chatham	1353.0	55.0	0.0	1298.0	0.01849902	0.00075199	18333.3333333	8461.53846154	5500.0	0.250663333333	0.115690769231	0.075199
Beaufort	448.0	2.0	0.0	446.0	0.00951592	4.248e-05	666.666666667	307.692307692	200.0	0.01416	0.00653538461538	0.004248
Vance	816.0	41.0	0.0	775.0	0.01830335	0.00091965	13666.6666667	6307.69230769	4100.0	0.30655	0.141484615385	0.091965
Rutherford	820.0	14.0	0.0	806.0	0.01227067	0.0002095	4666.66666667	2153.84615385	1400.0	0.0698333333333	0.0322307692308	0.02095
Harnett	1412.0	40.0	0.0	1372.0	0.01052051	0.00029803	13333.3333333	6153.84615385	4000.0	0.0993433333333	0.0458507692308	0.029803
Davie	437.0	5.0	0.0	432.0	0.01022629	0.00011701	1666.66666667	769.230769231	500.0	0.0390033333333	0.0180015384615	0.011701
Greene	342.0	3.0	0.0	339.0	0.01627641	0.00014278	1000.0	461.538461538	300.0	0.0475933333333	0.0219661538462	0.014278
Pender	696.0	3.0	0.0	693.0	0.01119655	4.826e-05	1000.0	461.538461538	300.0	0.0160866666667	0.00742461538462	0.004826
Forsyth	5552.0	56.0	0.0	5496.0	0.01464525	0.00014772	18666.6666667	8615.38461538	5600.0	0.04924	0.0227261538462	0.014772
