Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Transylvania	0.449	320.427	331.427	0.003	431.086	431.086	1.312e-05	0.0093651	0.0096866	9e-08	0.01259933	0.01259933
Cumberland	0.004	500.32	1100.32	0.007	46.026	64.026	1e-08	0.00150549	0.00331093	2e-08	0.00013849	0.00019266
Jones	0.009	63.121	91.121	0.0	0.0	3.0	9.3e-07	0.00654986	0.00945533	0.0	0.0	0.0003113
Brunswick	0.001	91.61	172.61	0.0	0.0	2.0	1e-08	0.00066994	0.00126229	0.0	0.0	1.463e-05
Wayne	0.009	748.359	1795.359	0.014	44.048	64.048	7e-08	0.00607198	0.01456704	1.1e-07	0.00035739	0.00051967
Onslow	0.002	119.882	217.882	0.0	0.0	2.0	1e-08	0.00060644	0.00110218	0.0	0.0	1.012e-05
Anson	0.0	37.729	99.729	0.0	0.0	0.0	0.0	0.00151662	0.00400888	0.0	0.0	0.0
Cherokee	0.0	11.486	41.486	0.0	0.0	1.0	0.0	0.00040468	0.00146165	0.0	0.0	3.523e-05
Gates	1.416	852.75	876.75	0.0	0.0	1.0	0.00012235	0.07368444	0.07575823	0.0	0.0	8.641e-05
Beaufort	0.0	22.527	58.527	0.0	0.0	0.0	0.0	0.00047849	0.00124317	0.0	0.0	0.0
Wilson	0.113	750.228	1080.228	0.0	0.0	10.0	1.39e-06	0.00921034	0.01326165	0.0	0.0	0.00012277
Montgomery	0.006	212.339	310.339	0.0	0.0	3.0	2.2e-07	0.00778626	0.01137982	0.0	0.0	0.00011001
Avery	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.00011425	0.0	0.0	0.0
Iredell	0.0	142.026	378.026	0.0	0.0	6.0	0.0	0.00079595	0.00211856	0.0	0.0	3.363e-05
Tyrrell	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.00096829	0.0	0.0	0.0
Currituck	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0004802	0.0	0.0	0.0
