Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-20	0.983	52.983	0.0	1.297
2020-07-21	1.213	54.196	0.0	1.297
2020-07-22	1.491	55.687	0.0	1.297
2020-07-23	1.801	57.488	0.0	1.297
2020-07-24	2.133	59.621	0.0	1.297
2020-07-25	2.519	62.14	0.0	1.297
2020-07-26	2.974	65.114	0.0	1.297
2020-07-27	3.516	68.63	0.0	1.297
2020-07-28	4.152	72.782	0.0	1.297
2020-07-29	4.893	77.675	0.0	1.297
2020-07-30	5.732	83.407	0.0	1.297
2020-07-31	6.662	90.069	0.0	1.297
2020-08-01	7.674	97.743	0.0	1.297
2020-08-02	8.783	106.526	0.0	1.297
2020-08-03	9.962	116.488	0.0	1.297
2020-08-04	11.176	127.664	0.0	1.297
2020-08-05	12.402	140.066	0.0	1.297
2020-08-06	13.623	153.689	0.0	1.297
2020-08-07	14.855	168.544	0.0	1.297
2020-08-08	16.136	184.68	0.0	1.297
2020-08-09	17.549	202.229	0.0	1.297
2020-08-10	18.959	221.188	0.0	1.297
2020-08-11	20.322	241.51	0.0	1.297
2020-08-12	21.48	262.99	0.0	1.297
2020-08-13	22.379	285.369	0.0	1.297
2020-08-14	22.897	308.266	0.0	1.297
2020-08-15	23.191	331.457	0.0	1.297
2020-08-16	23.274	354.731	0.0	1.297
2020-08-17	23.23	377.961	0.0	1.297
2020-08-18	23.017	400.978	0.0	1.297
2020-08-19	22.717	423.695	0.0	1.297
2020-08-20	22.375	446.07	0.0	1.297
2020-08-21	21.944	468.014	0.0	1.297
2020-08-22	21.425	489.439	0.0	1.297
2020-08-23	20.867	510.306	0.0	1.297
2020-08-24	20.31	530.616	0.0	1.297
2020-08-25	19.756	550.372	0.0	1.297
2020-08-26	19.246	569.618	0.0	1.297
2020-08-27	18.779	588.397	0.0	1.297
2020-08-28	18.304	606.701	0.0	1.297
2020-08-29	17.785	624.486	0.0	1.297
2020-08-30	17.22	641.706	0.0	1.297
2020-08-31	16.613	658.319	0.0	1.297
2020-09-01	15.964	674.283	0.0	1.297
2020-09-02	15.314	689.597	0.0	1.297
2020-09-03	14.665	704.262	0.0	1.297
2020-09-04	14.022	718.284	0.0	1.297
2020-09-05	13.393	731.677	0.0	1.297
2020-09-06	12.782	744.459	0.0	1.297
2020-09-07	12.179	756.638	0.0	1.297
2020-09-08	11.591	768.229	0.0	1.297
2020-09-09	11.019	779.248	0.0	1.297
2020-09-10	10.467	789.715	0.0	1.297
2020-09-11	9.93	799.645	0.0	1.297
2020-09-12	9.419	809.064	0.0	1.297
2020-09-13	8.931	817.995	0.0	1.297
2020-09-14	8.466	826.461	0.0	1.297
2020-09-15	8.018	834.479	0.0	1.297
2020-09-16	7.586	842.065	0.0	1.297
2020-09-17	7.167	849.232	0.0	1.297
2020-09-18	6.756	855.988	0.0	1.297
2020-09-19	6.349	862.337	0.0	1.297
2020-09-20	5.941	868.278	0.0	1.297
2020-09-21	5.533	873.811	0.0	1.297
2020-09-22	5.132	878.943	0.0	1.297
2020-09-23	4.76	883.703	0.0	1.297
2020-09-24	4.433	888.136	0.0	1.297
2020-09-25	4.148	892.284	0.0	1.297
2020-09-26	3.903	896.187	0.0	1.297
2020-09-27	3.691	899.878	0.0	1.297
2020-09-28	3.494	903.372	0.0	1.297
2020-09-29	3.299	906.671	0.0	1.297
2020-09-30	3.103	909.774	0.0	1.297
2020-10-01	2.908	912.682	0.0	1.297
2020-10-02	2.712	915.394	0.0	1.297
2020-10-03	2.52	917.914	0.0	1.297
2020-10-04	2.345	920.259	0.0	1.297
2020-10-05	2.187	922.446	0.0	1.297
2020-10-06	2.045	924.491	0.0	1.297
2020-10-07	1.919	926.41	0.0	1.297
2020-10-08	1.804	928.214	0.0	1.297
2020-10-09	1.69	929.904	0.0	1.297
2020-10-10	1.577	931.481	0.0	1.297
2020-10-11	1.463	932.944	0.0	1.297
2020-10-12	1.349	934.293	0.0	1.297
2020-10-13	1.235	935.528	0.0	1.297
2020-10-14	1.121	936.649	0.0	1.297
2020-10-15	1.01	937.659	0.0	1.297
2020-10-16	0.906	938.565	0.0	1.297
2020-10-17	0.811	939.376	0.0	1.297
2020-10-18	0.725	940.101	0.0	1.297
2020-10-19	0.645	940.746	0.0	1.297
2020-10-20	0.571	941.317	0.0	1.297
2020-10-21	0.497	941.814	0.0	1.297
2020-10-22	0.423	942.237	0.0	1.297
2020-10-23	0.348	942.585	0.0	1.297
2020-10-24	0.272	942.857	0.0	1.297
2020-10-25	0.193	943.05	0.0	1.297
2020-10-26	0.124	943.174	0.0	1.297
2020-10-27	0.077	943.251	0.0	1.297
2020-10-28	0.048	943.299	0.0	1.297
2020-10-29	0.032	943.331	0.0	1.297
2020-10-30	0.023	943.354	0.0	1.297
2020-10-31	0.018	943.372	0.0	1.297
2020-11-01	0.014	943.386	0.0	1.297
2020-11-02	0.011	943.397	0.0	1.297
2020-11-03	0.009	943.406	0.0	1.297
2020-11-04	0.007	943.413	0.0	1.297
2020-11-05	0.005	943.418	0.0	1.297
