Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Logan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cavalier	0.0	0.0	2.0	0.057	10.193	10.193	0.0	0.0	0.00052233	1.489e-05	0.00266205	0.00266205
Wells	0.0	0.0	8.0	0.057	10.193	10.193	0.0	0.0	0.00202173	1.44e-05	0.00257594	0.00257594
Richland	0.338	32.815	73.815	0.057	10.193	10.193	2.081e-05	0.00202075	0.00454554	3.51e-06	0.00062769	0.00062769
Foster	2.355	98.057	100.057	0.057	10.193	10.193	0.00073228	0.03049036	0.03111225	1.772e-05	0.00316947	0.00316947
Bowman	0.0	0.0	1.0	0.057	10.193	10.193	0.0	0.0	0.0003251	1.853e-05	0.00331372	0.00331372
Slope	0.0	0.0	3.0	0.057	10.193	10.193	0.0	0.0	0.00393185	7.471e-05	0.01335911	0.01335911
Burleigh	0.744	126.71	367.71	0.057	10.193	10.193	7.81e-06	0.00132997	0.00385954	6e-07	0.00010699	0.00010699
McHenry	0.0	0.62	3.62	0.0	0.0	1.0	0.0	0.0001066	0.00062242	0.0	0.0	0.00017194
Pierce	0.0	0.62	4.62	0.0	0.0	0.0	0.0	0.00015192	0.00113208	0.0	0.0	0.0
Griggs	0.02	3.61	5.61	0.0	0.0	0.0	8.96e-06	0.00161738	0.00251344	0.0	0.0	0.0
Ransom	0.072	11.926	28.926	0.0	0.0	0.0	1.375e-05	0.00227726	0.00552339	0.0	0.0	0.0
Rolette	0.037	6.581	16.581	0.0	0.0	0.0	2.59e-06	0.00046018	0.00115943	0.0	0.0	0.0
Benson	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.00043091	0.0	0.0	0.0
Pembina	3.741	155.737	164.737	0.0	0.0	0.0	0.00053851	0.02241788	0.0237134	0.0	0.0	0.0
