Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Richland	0.0	0.0	4.0	0.135	32.802	32.802	0.0	0.0	0.00024632	8.31e-06	0.00201995	0.00201995
Foster	0.0	0.0	1.0	0.258	31.001	31.001	0.0	0.0	0.00031095	8.022e-05	0.00963961	0.00963961
Bowman	0.0	0.0	1.0	0.258	31.001	31.001	0.0	0.0	0.0003251	8.388e-05	0.01007835	0.01007835
Morton	0.0	6.426	27.426	0.002	181.443	183.443	0.0	0.00020666	0.00088201	6e-08	0.00583512	0.00589944
Walsh	0.0	0.131	3.131	0.029	6.797	6.797	0.0	1.228e-05	0.00029352	2.72e-06	0.0006372	0.0006372
McIntosh	0.0	0.0	1.0	0.048	6.506	6.506	0.0	0.0	0.00038685	1.857e-05	0.00251683	0.00251683
Divide	0.0	0.0	1.0	0.048	6.506	6.506	0.0	0.0	0.00043802	2.102e-05	0.00284976	0.00284976
Mercer	0.0	0.0	1.0	0.048	6.506	6.506	0.0	0.0	0.00012096	5.81e-06	0.00078698	0.00078698
Eddy	0.0	0.0	1.0	0.048	6.506	6.506	0.0	0.0	0.00043234	2.075e-05	0.0028128	0.0028128
Williams	0.0	0.563	8.563	0.017	6.969	6.969	0.0	1.593e-05	0.00024223	4.8e-07	0.00019714	0.00019714
Sargent	0.0	0.0	1.0	0.048	6.506	6.506	0.0	0.0	0.0002584	1.24e-05	0.00168114	0.00168114
Stutsman	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.781e-05	0.0	0.0	0.0
Grant	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00042123	0.0	0.0	0.0
Barnes	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.00018972	0.0	0.0	0.0
Oliver	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0005123	0.0	0.0	0.0
