Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-28	0.28	25.28	0.0	1.0
2020-05-29	0.277	25.557	0.0	1.0
2020-05-30	0.274	25.831	0.0	1.0
2020-05-31	0.27	26.101	0.0	1.0
2020-06-01	0.264	26.365	0.0	1.0
2020-06-02	0.258	26.623	0.0	1.0
2020-06-03	0.252	26.875	0.0	1.0
2020-06-04	0.245	27.12	0.0	1.0
2020-06-05	0.238	27.358	0.0	1.0
2020-06-06	0.232	27.59	0.0	1.0
2020-06-07	0.226	27.816	0.0	1.0
2020-06-08	0.221	28.037	0.0	1.0
2020-06-09	0.214	28.251	0.0	1.0
2020-06-10	0.208	28.459	0.0	1.0
2020-06-11	0.2	28.659	0.0	1.0
2020-06-12	0.192	28.851	0.0	1.0
2020-06-13	0.185	29.036	0.0	1.0
2020-06-14	0.177	29.213	0.0	1.0
2020-06-15	0.169	29.382	0.0	1.0
2020-06-16	0.161	29.543	0.0	1.0
2020-06-17	0.154	29.697	0.0	1.0
2020-06-18	0.147	29.844	0.0	1.0
2020-06-19	0.14	29.984	0.0	1.0
2020-06-20	0.133	30.117	0.0	1.0
2020-06-21	0.126	30.243	0.0	1.0
2020-06-22	0.12	30.363	0.0	1.0
2020-06-23	0.114	30.477	0.0	1.0
2020-06-24	0.108	30.585	0.0	1.0
2020-06-25	0.102	30.687	0.0	1.0
2020-06-26	0.097	30.784	0.0	1.0
2020-06-27	0.091	30.875	0.0	1.0
2020-06-28	0.086	30.961	0.0	1.0
2020-06-29	0.081	31.042	0.0	1.0
2020-06-30	0.077	31.119	0.0	1.0
2020-07-01	0.072	31.191	0.0	1.0
2020-07-02	0.067	31.258	0.0	1.0
2020-07-03	0.062	31.32	0.0	1.0
2020-07-04	0.057	31.377	0.0	1.0
2020-07-05	0.053	31.43	0.0	1.0
2020-07-06	0.05	31.48	0.0	1.0
2020-07-07	0.047	31.527	0.0	1.0
2020-07-08	0.044	31.571	0.0	1.0
2020-07-09	0.042	31.613	0.0	1.0
2020-07-10	0.04	31.653	0.0	1.0
2020-07-11	0.037	31.69	0.0	1.0
2020-07-12	0.035	31.725	0.0	1.0
2020-07-13	0.033	31.758	0.0	1.0
2020-07-14	0.03	31.788	0.0	1.0
2020-07-15	0.028	31.816	0.0	1.0
2020-07-16	0.026	31.842	0.0	1.0
2020-07-17	0.025	31.867	0.0	1.0
2020-07-18	0.023	31.89	0.0	1.0
2020-07-19	0.022	31.912	0.0	1.0
2020-07-20	0.02	31.932	0.0	1.0
2020-07-21	0.019	31.951	0.0	1.0
2020-07-22	0.018	31.969	0.0	1.0
2020-07-23	0.016	31.985	0.0	1.0
2020-07-24	0.015	32.0	0.0	1.0
2020-07-25	0.014	32.014	0.0	1.0
2020-07-26	0.012	32.026	0.0	1.0
2020-07-27	0.011	32.037	0.0	1.0
2020-07-28	0.01	32.047	0.0	1.0
2020-07-29	0.009	32.056	0.0	1.0
2020-07-30	0.008	32.064	0.0	1.0
2020-07-31	0.007	32.071	0.0	1.0
2020-08-01	0.006	32.077	0.0	1.0
2020-08-02	0.005	32.082	0.0	1.0
2020-08-03	0.004	32.086	0.0	1.0
2020-08-04	0.003	32.089	0.0	1.0
2020-08-05	0.002	32.091	0.0	1.0
2020-08-06	0.001	32.092	0.0	1.0
2020-08-07	0.001	32.093	0.0	1.0
2020-08-08	0.001	32.094	0.0	1.0
2020-08-09	0.0	32.094	0.0	1.0
2020-08-10	0.0	32.094	0.0	1.0
2020-08-11	0.0	32.094	0.0	1.0
2020-08-12	0.0	32.094	0.0	1.0
2020-08-13	0.0	32.094	0.0	1.0
2020-08-14	0.0	32.094	0.0	1.0
2020-08-15	0.0	32.094	0.0	1.0
2020-08-16	0.0	32.094	0.0	1.0
2020-08-17	0.0	32.094	0.0	1.0
2020-08-18	0.0	32.094	0.0	1.0
2020-08-19	0.0	32.094	0.0	1.0
2020-08-20	0.0	32.094	0.0	1.0
2020-08-21	0.0	32.094	0.0	1.0
2020-08-22	0.0	32.094	0.0	1.0
2020-08-23	0.0	32.094	0.0	1.0
2020-08-24	0.0	32.094	0.0	1.0
2020-08-25	0.0	32.094	0.0	1.0
2020-08-26	0.0	32.094	0.0	1.0
2020-08-27	0.0	32.094	0.0	1.0
2020-08-28	0.0	32.094	0.0	1.0
2020-08-29	0.0	32.094	0.0	1.0
2020-08-30	0.0	32.094	0.0	1.0
