Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-19	3.596	224.596	0.662	24.662
2020-05-20	3.563	228.159	0.719	25.381
2020-05-21	3.516	231.675	0.782	26.163
2020-05-22	3.463	235.138	0.845	27.008
2020-05-23	3.396	238.534	0.906	27.914
2020-05-24	3.316	241.85	0.958	28.872
2020-05-25	3.23	245.08	0.998	29.87
2020-05-26	3.144	248.224	1.021	30.891
2020-05-27	3.058	251.282	1.034	31.925
2020-05-28	2.979	254.261	1.038	32.963
2020-05-29	2.907	257.168	1.036	33.999
2020-05-30	2.833	260.001	1.026	35.025
2020-05-31	2.753	262.754	1.013	36.038
2020-06-01	2.665	265.419	0.997	37.035
2020-06-02	2.571	267.99	0.978	38.013
2020-06-03	2.471	270.461	0.955	38.968
2020-06-04	2.37	272.831	0.93	39.898
2020-06-05	2.27	275.101	0.905	40.803
2020-06-06	2.17	277.271	0.881	41.684
2020-06-07	2.073	279.344	0.858	42.542
2020-06-08	1.978	281.322	0.837	43.379
2020-06-09	1.885	283.207	0.816	44.195
2020-06-10	1.794	285.001	0.793	44.988
2020-06-11	1.705	286.706	0.768	45.756
2020-06-12	1.62	288.326	0.741	46.497
2020-06-13	1.537	289.863	0.712	47.209
2020-06-14	1.458	291.321	0.683	47.892
2020-06-15	1.382	292.703	0.654	48.546
2020-06-16	1.31	294.013	0.625	49.171
2020-06-17	1.241	295.254	0.597	49.768
2020-06-18	1.174	296.428	0.57	50.338
2020-06-19	1.109	297.537	0.543	50.881
2020-06-20	1.046	298.583	0.517	51.398
2020-06-21	0.983	299.566	0.491	51.889
2020-06-22	0.92	300.486	0.467	52.356
2020-06-23	0.856	301.342	0.443	52.799
2020-06-24	0.794	302.136	0.42	53.219
2020-06-25	0.737	302.873	0.398	53.617
2020-06-26	0.686	303.559	0.377	53.994
2020-06-27	0.642	304.201	0.357	54.351
2020-06-28	0.604	304.805	0.338	54.689
2020-06-29	0.571	305.376	0.32	55.009
2020-06-30	0.541	305.917	0.301	55.31
2020-07-01	0.511	306.428	0.283	55.593
2020-07-02	0.48	306.908	0.265	55.858
2020-07-03	0.45	307.358	0.247	56.105
2020-07-04	0.42	307.778	0.229	56.334
2020-07-05	0.39	308.168	0.212	56.546
2020-07-06	0.363	308.531	0.198	56.744
2020-07-07	0.339	308.87	0.185	56.929
2020-07-08	0.317	309.187	0.174	57.103
2020-07-09	0.297	309.484	0.165	57.268
2020-07-10	0.279	309.763	0.156	57.424
2020-07-11	0.262	310.025	0.147	57.571
2020-07-12	0.244	310.269	0.138	57.709
2020-07-13	0.226	310.495	0.13	57.839
2020-07-14	0.209	310.704	0.121	57.96
2020-07-15	0.191	310.895	0.112	58.072
2020-07-16	0.173	311.068	0.105	58.177
2020-07-17	0.156	311.224	0.097	58.274
2020-07-18	0.14	311.364	0.091	58.365
2020-07-19	0.126	311.49	0.086	58.451
2020-07-20	0.112	311.602	0.08	58.531
2020-07-21	0.1	311.702	0.075	58.606
2020-07-22	0.088	311.79	0.07	58.676
2020-07-23	0.077	311.867	0.065	58.741
2020-07-24	0.065	311.932	0.06	58.801
2020-07-25	0.054	311.986	0.055	58.856
2020-07-26	0.042	312.028	0.05	58.906
2020-07-27	0.03	312.058	0.045	58.951
2020-07-28	0.019	312.077	0.04	58.991
2020-07-29	0.012	312.089	0.036	59.027
2020-07-30	0.007	312.096	0.032	59.059
2020-07-31	0.005	312.101	0.029	59.088
2020-08-01	0.004	312.105	0.025	59.113
2020-08-02	0.003	312.108	0.022	59.135
2020-08-03	0.002	312.11	0.019	59.154
2020-08-04	0.002	312.112	0.016	59.17
2020-08-05	0.001	312.113	0.012	59.182
2020-08-06	0.001	312.114	0.009	59.191
2020-08-07	0.001	312.115	0.006	59.197
2020-08-08	0.0	312.115	0.003	59.2
2020-08-09	0.0	312.115	0.002	59.202
2020-08-10	0.0	312.115	0.001	59.203
2020-08-11	0.0	312.115	0.001	59.204
2020-08-12	0.0	312.115	0.001	59.205
2020-08-13	0.0	312.115	0.001	59.206
2020-08-14	0.0	312.115	0.0	59.206
2020-08-15	0.0	312.115	0.0	59.206
2020-08-16	0.0	312.115	0.0	59.206
2020-08-17	0.0	312.115	0.0	59.206
2020-08-18	0.0	312.115	0.0	59.206
2020-08-19	0.0	312.115	0.0	59.206
2020-08-20	0.0	312.115	0.0	59.206
2020-08-21	0.0	312.115	0.0	59.206
2020-08-22	0.0	312.115	0.0	59.206
2020-08-23	0.0	312.115	0.0	59.206
2020-08-24	0.0	312.115	0.0	59.206
2020-08-25	0.0	312.115	0.0	59.206
2020-08-26	0.0	312.115	0.0	59.206
2020-08-27	0.0	312.115	0.0	59.206
2020-08-28	0.0	312.115	0.0	59.206
2020-08-29	0.0	312.115	0.0	59.206
2020-08-30	0.0	312.115	0.0	59.206
