Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-04	6.996	339.996	0.08	10.08
2020-08-05	7.934	347.93	0.095	10.175
2020-08-06	8.902	356.832	0.112	10.287
2020-08-07	9.878	366.71	0.132	10.419
2020-08-08	10.851	377.561	0.156	10.575
2020-08-09	11.832	389.393	0.184	10.759
2020-08-10	12.853	402.246	0.217	10.976
2020-08-11	13.978	416.224	0.255	11.231
2020-08-12	15.101	431.325	0.296	11.527
2020-08-13	16.187	447.512	0.341	11.868
2020-08-14	17.109	464.621	0.39	12.258
2020-08-15	17.825	482.446	0.443	12.701
2020-08-16	18.238	500.684	0.497	13.198
2020-08-17	18.472	519.156	0.551	13.749
2020-08-18	18.538	537.694	0.605	14.354
2020-08-19	18.503	556.197	0.66	15.014
2020-08-20	18.333	574.53	0.717	15.731
2020-08-21	18.094	592.624	0.78	16.511
2020-08-22	17.822	610.446	0.842	17.353
2020-08-23	17.478	627.924	0.903	18.256
2020-08-24	17.065	644.989	0.954	19.21
2020-08-25	16.621	661.61	0.994	20.204
2020-08-26	16.177	677.787	1.017	21.221
2020-08-27	15.736	693.523	1.03	22.251
2020-08-28	15.33	708.853	1.034	23.285
2020-08-29	14.958	723.811	1.032	24.317
2020-08-30	14.579	738.39	1.023	25.34
2020-08-31	14.165	752.555	1.009	26.349
2020-09-01	13.716	766.271	0.994	27.343
2020-09-02	13.232	779.503	0.975	28.318
2020-09-03	12.715	792.218	0.952	29.27
2020-09-04	12.198	804.416	0.927	30.197
2020-09-05	11.681	816.097	0.902	31.099
2020-09-06	11.169	827.266	0.878	31.977
2020-09-07	10.667	837.933	0.855	32.832
2020-09-08	10.181	848.114	0.834	33.666
2020-09-09	9.701	857.815	0.813	34.479
2020-09-10	9.233	867.048	0.79	35.269
2020-09-11	8.776	875.824	0.765	36.034
2020-09-12	8.337	884.161	0.738	36.772
2020-09-13	7.91	892.071	0.709	37.481
2020-09-14	7.502	899.573	0.68	38.161
2020-09-15	7.114	906.687	0.652	38.813
2020-09-16	6.743	913.43	0.623	39.436
2020-09-17	6.386	919.816	0.595	40.031
2020-09-18	6.042	925.858	0.568	40.599
2020-09-19	5.709	931.567	0.541	41.14
2020-09-20	5.381	936.948	0.515	41.655
2020-09-21	5.057	942.005	0.49	42.145
2020-09-22	4.732	946.737	0.465	42.61
2020-09-23	4.407	951.144	0.441	43.051
2020-09-24	4.088	955.232	0.418	43.469
2020-09-25	3.792	959.024	0.397	43.866
2020-09-26	3.531	962.555	0.376	44.242
2020-09-27	3.304	965.859	0.356	44.598
2020-09-28	3.109	968.968	0.337	44.935
2020-09-29	2.94	971.908	0.318	45.253
2020-09-30	2.783	974.691	0.3	45.553
2020-10-01	2.627	977.318	0.282	45.835
2020-10-02	2.472	979.79	0.264	46.099
2020-10-03	2.316	982.106	0.246	46.345
2020-10-04	2.16	984.266	0.228	46.573
2020-10-05	2.007	986.273	0.212	46.785
2020-10-06	1.868	988.141	0.197	46.982
2020-10-07	1.742	989.883	0.184	47.166
2020-10-08	1.629	991.512	0.173	47.339
2020-10-09	1.528	993.04	0.164	47.503
2020-10-10	1.437	994.477	0.155	47.658
2020-10-11	1.346	995.823	0.147	47.805
2020-10-12	1.256	997.079	0.138	47.943
2020-10-13	1.165	998.244	0.129	48.072
2020-10-14	1.075	999.319	0.121	48.193
2020-10-15	0.984	1000.303	0.112	48.305
2020-10-16	0.893	1001.196	0.104	48.409
2020-10-17	0.804	1002.0	0.097	48.506
2020-10-18	0.722	1002.722	0.091	48.597
2020-10-19	0.646	1003.368	0.085	48.682
2020-10-20	0.577	1003.945	0.08	48.762
2020-10-21	0.514	1004.459	0.075	48.837
2020-10-22	0.455	1004.914	0.07	48.907
2020-10-23	0.396	1005.31	0.065	48.972
2020-10-24	0.337	1005.647	0.06	49.032
2020-10-25	0.277	1005.924	0.055	49.087
2020-10-26	0.217	1006.141	0.05	49.137
2020-10-27	0.154	1006.295	0.045	49.182
2020-10-28	0.099	1006.394	0.04	49.222
2020-10-29	0.061	1006.455	0.036	49.258
2020-10-30	0.038	1006.493	0.032	49.29
2020-10-31	0.025	1006.518	0.029	49.319
2020-11-01	0.018	1006.536	0.025	49.344
2020-11-02	0.014	1006.55	0.022	49.366
2020-11-03	0.011	1006.561	0.019	49.385
2020-11-04	0.009	1006.57	0.015	49.4
2020-11-05	0.007	1006.577	0.012	49.412
2020-11-06	0.005	1006.582	0.009	49.421
2020-11-07	0.004	1006.586	0.006	49.427
2020-11-08	0.0	1006.586	0.003	49.43
2020-11-09	0.0	1006.586	0.002	49.432
2020-11-10	0.0	1006.586	0.001	49.433
2020-11-11	0.0	1006.586	0.001	49.434
2020-11-12	0.0	1006.586	0.001	49.435
2020-11-13	0.0	1006.586	0.001	49.436
2020-11-14	0.0	1006.586	0.0	49.436
2020-11-15	0.0	1006.586	0.0	49.436
2020-11-16	0.0	1006.586	0.0	49.436
