Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-22	8.849	596.849	0.0	32.0
2020-07-23	9.054	605.903	0.0	32.0
2020-07-24	9.17	615.073	0.0	32.0
2020-07-25	9.203	624.276	0.0	32.0
2020-07-26	9.185	633.461	0.0	32.0
2020-07-27	9.101	642.562	0.0	32.0
2020-07-28	8.983	651.545	0.0	32.0
2020-07-29	8.847	660.392	0.0	32.0
2020-07-30	8.677	669.069	0.0	32.0
2020-07-31	8.472	677.541	0.0	32.0
2020-08-01	8.251	685.792	0.0	32.0
2020-08-02	8.031	693.823	0.0	32.0
2020-08-03	7.812	701.635	0.0	32.0
2020-08-04	7.61	709.245	0.0	32.0
2020-08-05	7.425	716.67	0.0	32.0
2020-08-06	7.237	723.907	0.0	32.0
2020-08-07	7.032	730.939	0.0	32.0
2020-08-08	6.809	737.748	0.0	32.0
2020-08-09	6.569	744.317	0.0	32.0
2020-08-10	6.312	750.629	0.0	32.0
2020-08-11	6.055	756.684	0.0	32.0
2020-08-12	5.799	762.483	0.0	32.0
2020-08-13	5.544	768.027	0.0	32.0
2020-08-14	5.295	773.322	0.0	32.0
2020-08-15	5.054	778.376	0.0	32.0
2020-08-16	4.816	783.192	0.0	32.0
2020-08-17	4.583	787.775	0.0	32.0
2020-08-18	4.357	792.132	0.0	32.0
2020-08-19	4.139	796.271	0.0	32.0
2020-08-20	3.927	800.198	0.0	32.0
2020-08-21	3.724	803.922	0.0	32.0
2020-08-22	3.531	807.453	0.0	32.0
2020-08-23	3.347	810.8	0.0	32.0
2020-08-24	3.17	813.97	0.0	32.0
2020-08-25	3.0	816.97	0.0	32.0
2020-08-26	2.834	819.804	0.0	32.0
2020-08-27	2.671	822.475	0.0	32.0
2020-08-28	2.51	824.985	0.0	32.0
2020-08-29	2.349	827.334	0.0	32.0
2020-08-30	2.188	829.522	0.0	32.0
2020-08-31	2.029	831.551	0.0	32.0
2020-09-01	1.882	833.433	0.0	32.0
2020-09-02	1.753	835.186	0.0	32.0
2020-09-03	1.64	836.826	0.0	32.0
2020-09-04	1.543	838.369	0.0	32.0
2020-09-05	1.46	839.829	0.0	32.0
2020-09-06	1.382	841.211	0.0	32.0
2020-09-07	1.304	842.515	0.0	32.0
2020-09-08	1.227	843.742	0.0	32.0
2020-09-09	1.15	844.892	0.0	32.0
2020-09-10	1.072	845.964	0.0	32.0
2020-09-11	0.996	846.96	0.0	32.0
2020-09-12	0.927	847.887	0.0	32.0
2020-09-13	0.865	848.752	0.0	32.0
2020-09-14	0.809	849.561	0.0	32.0
2020-09-15	0.759	850.32	0.0	32.0
2020-09-16	0.713	851.033	0.0	32.0
2020-09-17	0.668	851.701	0.0	32.0
2020-09-18	0.623	852.324	0.0	32.0
2020-09-19	0.578	852.902	0.0	32.0
2020-09-20	0.533	853.435	0.0	32.0
2020-09-21	0.488	853.923	0.0	32.0
2020-09-22	0.443	854.366	0.0	32.0
2020-09-23	0.399	854.765	0.0	32.0
2020-09-24	0.358	855.123	0.0	32.0
2020-09-25	0.321	855.444	0.0	32.0
2020-09-26	0.287	855.731	0.0	32.0
2020-09-27	0.255	855.986	0.0	32.0
2020-09-28	0.226	856.212	0.0	32.0
2020-09-29	0.197	856.409	0.0	32.0
2020-09-30	0.167	856.576	0.0	32.0
2020-10-01	0.138	856.714	0.0	32.0
2020-10-02	0.108	856.822	0.0	32.0
2020-10-03	0.076	856.898	0.0	32.0
2020-10-04	0.049	856.947	0.0	32.0
2020-10-05	0.03	856.977	0.0	32.0
2020-10-06	0.019	856.996	0.0	32.0
2020-10-07	0.013	857.009	0.0	32.0
2020-10-08	0.009	857.018	0.0	32.0
2020-10-09	0.007	857.025	0.0	32.0
2020-10-10	0.006	857.031	0.0	32.0
2020-10-11	0.004	857.035	0.0	32.0
2020-10-12	0.003	857.038	0.0	32.0
2020-10-13	0.003	857.041	0.0	32.0
2020-10-14	0.002	857.043	0.0	32.0
2020-10-15	0.0	857.043	0.0	32.0
2020-10-16	0.0	857.043	0.0	32.0
2020-10-17	0.0	857.043	0.0	32.0
2020-10-18	0.0	857.043	0.0	32.0
2020-10-19	0.0	857.043	0.0	32.0
2020-10-20	0.0	857.043	0.0	32.0
2020-10-21	0.0	857.043	0.0	32.0
2020-10-22	0.0	857.043	0.0	32.0
2020-10-23	0.0	857.043	0.0	32.0
