Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Logan	0.126	3.327	2.79e-06	7.335e-05
Licking	2.53	66.536	1.439e-05	0.00037854
Brown	1.897	49.902	4.351e-05	0.00114449
Wood	1.676	44.08	1.282e-05	0.00033727
Pike	0.0	0.0	0.0	0.0
Richland	1.265	33.268	1.045e-05	0.00027472
Wayne	0.741	20.074	6.39e-06	0.0001731
Sandusky	0.032	0.832	5.4e-07	1.414e-05
Fulton	0.0	0.0	0.0	0.0
Seneca	0.12	3.207	2.18e-06	5.81e-05
Montgomery	7.621	200.44	1.432e-05	0.00037653
Fairfield	2.613	69.761	1.678e-05	0.00044781
Coshocton	0.221	5.822	6.04e-06	0.00015894
Wyandot	0.243	6.682	1.109e-05	0.00030461
Hamilton	18.119	476.565	2.219e-05	0.00058354
Cuyahoga	7.333	295.615	5.9e-06	0.00023766
Washington	1.929	50.734	3.207e-05	0.00084339
Pickaway	1.453	39.376	2.502e-05	0.00067788
Noble	0.0	0.0	0.0	0.0
Hardin	1.282	34.743	4.074e-05	0.00110366
Erie	0.316	8.317	4.24e-06	0.00011147
Fayette	0.199	5.404	6.96e-06	0.00018853
Morrow	0.0	0.0	0.0	0.0
Jefferson	0.297	8.166	4.52e-06	0.00012417
Guernsey	0.0	0.0	0.0	0.0
Monroe	0.0	0.0	0.0	0.0
Summit	1.76	58.646	3.25e-06	0.00010822
Belmont	1.265	33.268	1.874e-05	0.00049282
Lawrence	0.712	19.302	1.19e-05	0.00032242
Marion	1.739	45.744	2.665e-05	0.00070099
Delaware	0.0	2.015	0.0	9.84e-06
Mercer	0.399	10.809	9.74e-06	0.0002639
Ashland	0.032	0.832	5.9e-07	1.547e-05
Henry	0.0	0.0	0.0	0.0
Madison	0.0	2.701	0.0	6.081e-05
Darke	0.331	14.38	6.44e-06	0.00028018
Muskingum	0.243	6.682	2.82e-06	7.753e-05
Defiance	0.253	6.654	6.63e-06	0.00017434
Scioto	0.0	0.0	0.0	0.0
Clermont	1.107	29.11	5.39e-06	0.00014168
Mahoning	4.48	145.204	1.951e-05	0.00063231
Trumbull	4.395	115.607	2.213e-05	0.00058203
Gallia	0.0	0.0	0.0	0.0
Williams	0.405	11.136	1.102e-05	0.00030258
Lorain	3.131	82.339	1.012e-05	0.00026607
Lake	2.878	75.685	1.248e-05	0.00032833
Unassigned	0.0	0.0	N/A	N/A
Geauga	0.408	13.379	4.34e-06	0.00014228
Auglaize	0.0	0.0	0.0	0.0
Tuscarawas	0.361	11.723	3.92e-06	0.00012718
Adams	0.0	0.0	0.0	0.0
Paulding	0.0	0.0	0.0	0.0
Highland	0.221	5.822	5.14e-06	0.00013521
Shelby	0.865	23.757	1.779e-05	0.00048855
Allen	0.0	0.0	0.0	0.0
Putnam	0.0	0.0	0.0	0.0
Franklin	21.465	572.982	1.638e-05	0.00043729
Butler	4.237	111.448	1.108e-05	0.00029146
Greene	0.949	24.951	5.65e-06	0.00014852
Hancock	0.632	16.634	8.33e-06	0.00021907
Union	0.221	5.822	3.83e-06	0.00010066
Ashtabula	0.791	20.793	8.11e-06	0.00021327
Perry	2.846	74.853	7.898e-05	0.00207735
Preble	0.0	0.0	0.0	0.0
Clark	0.443	11.644	3.29e-06	8.652e-05
Miami	3.478	91.487	3.275e-05	0.00086128
Columbiana	3.668	96.477	3.573e-05	0.00093973
Carroll	0.19	4.99	7.01e-06	0.00018427
Morgan	0.0	0.0	0.0	0.0
Holmes	1.423	37.427	3.242e-05	0.0008527
Knox	0.0	0.163	0.0	2.63e-06
Meigs	0.0	0.0	0.0	0.0
Medina	1.897	49.902	1.059e-05	0.00027856
Warren	1.518	39.922	6.54e-06	0.00017195
Lucas	6.493	212.206	1.51e-05	0.00049362
Ottawa	11.033	139.899	0.00027063	0.0034315
Huron	0.411	10.812	7.03e-06	0.00018481
Clinton	0.411	10.812	9.77e-06	0.00025708
Crawford	0.3	8.019	7.23e-06	0.00019299
Stark	3.004	79.012	8.08e-06	0.00021264
Champaign	0.0	0.0	0.0	0.0
Athens	0.0	0.0	0.0	0.0
Portage	3.731	98.141	2.29e-05	0.00060236
Ross	0.0	0.0	0.0	0.0
Van Wert	0.0	0.0	0.0	0.0
Jackson	0.0	0.0	0.0	0.0
