Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita
Preble	35.0	1.0	0.0	34.0	0.00085372	2.439e-05	333.333333333	153.846153846	100.0	0.00813	0.00375230769231	0.002439
Richland	199.0	3.0	0.0	196.0	0.00164328	2.477e-05	1000.0	461.538461538	300.0	0.00825666666667	0.00381076923077	0.002477
Shelby	41.0	3.0	0.0	38.0	0.00084315	6.169e-05	1000.0	461.538461538	300.0	0.0205633333333	0.00949076923077	0.006169
Union	51.0	1.0	0.0	50.0	0.00088182	1.729e-05	333.333333333	153.846153846	100.0	0.00576333333333	0.00266	0.001729
Paulding	14.0	0.0	0.0	14.0	0.00074627	0.0	70.0	28.0	17.5	0.00373135	0.00149254	0.0009328375
Montgomery	656.0	16.0	0.0	640.0	0.00123232	3.006e-05	5333.33333333	2461.53846154	1600.0	0.01002	0.00462461538462	0.003006
Wayne	272.0	50.0	0.0	222.0	0.00234549	0.00043116	16666.6666667	7692.30769231	5000.0	0.14372	0.0663323076923	0.043116
Brown	28.0	1.0	0.0	27.0	0.00064217	2.293e-05	333.333333333	153.846153846	100.0	0.00764333333333	0.00352769230769	0.002293
Champaign	27.0	1.0	0.0	26.0	0.0006967	2.58e-05	333.333333333	153.846153846	100.0	0.0086	0.00396923076923	0.00258
Defiance	33.0	2.0	0.0	31.0	0.00086467	5.24e-05	666.666666667	307.692307692	200.0	0.0174666666667	0.00806153846154	0.00524
Miami	355.0	30.0	0.0	325.0	0.00334206	0.00028243	10000.0	4615.38461538	3000.0	0.0941433333333	0.0434507692308	0.028243
Hancock	50.0	1.0	0.0	49.0	0.0006585	1.317e-05	333.333333333	153.846153846	100.0	0.00439	0.00202615384615	0.001317
Lorain	678.0	59.0	0.0	619.0	0.00219091	0.00019065	19666.6666667	9076.92307692	5900.0	0.06355	0.0293307692308	0.019065
Columbiana	743.0	52.0	0.0	691.0	0.00723713	0.0005065	17333.3333333	8000.0	5200.0	0.168833333333	0.0779230769231	0.05065
Henry	15.0	0.0	0.0	15.0	0.00055379	0.0	75.0	30.0	18.75	0.00276895	0.00110758	0.0006922375
Muskingum	50.0	0.0	0.0	50.0	0.00058016	0.0	250.0	100.0	62.5	0.0029008	0.00116032	0.0007252
Belmont	428.0	12.0	0.0	416.0	0.00634027	0.00017776	4000.0	1846.15384615	1200.0	0.0592533333333	0.0273476923077	0.017776
Gallia	9.0	1.0	0.0	8.0	0.00030021	3.336e-05	333.333333333	153.846153846	100.0	0.01112	0.00513230769231	0.003336
Marion	2660.0	28.0	0.0	2632.0	0.04076254	0.00042908	9333.33333333	4307.69230769	2800.0	0.143026666667	0.0660123076923	0.042908
Allen	211.0	32.0	0.0	179.0	0.00205527	0.0003117	10666.6666667	4923.07692308	3200.0	0.1039	0.0479538461538	0.03117
Huron	57.0	1.0	0.0	56.0	0.00097429	1.709e-05	333.333333333	153.846153846	100.0	0.00569666666667	0.00262923076923	0.001709
Darke	167.0	21.0	0.0	146.0	0.0032539	0.00040917	7000.0	3230.76923077	2100.0	0.13639	0.0629492307692	0.040917
Warren	366.0	21.0	0.0	345.0	0.00157641	9.045e-05	7000.0	3230.76923077	2100.0	0.03015	0.0139153846154	0.009045
Perry	18.0	1.0	0.0	17.0	0.00049954	2.775e-05	333.333333333	153.846153846	100.0	0.00925	0.00426923076923	0.002775
Jackson	14.0	0.0	0.0	14.0	0.00043231	0.0	70.0	28.0	17.5	0.00216155	0.00086462	0.0005403875
Washington	118.0	19.0	0.0	99.0	0.0019616	0.00031585	6333.33333333	2923.07692308	1900.0	0.105283333333	0.0485923076923	0.031585
Wyandot	40.0	2.0	0.0	38.0	0.00182357	9.118e-05	666.666666667	307.692307692	200.0	0.0303933333333	0.0140276923077	0.009118
Jefferson	67.0	2.0	0.0	65.0	0.00101875	3.041e-05	666.666666667	307.692307692	200.0	0.0101366666667	0.00467846153846	0.003041
Ashtabula	338.0	34.0	0.0	304.0	0.00346692	0.00034874	11333.3333333	5230.76923077	3400.0	0.116246666667	0.0536523076923	0.034874
Butler	874.0	29.0	0.0	845.0	0.0022857	7.584e-05	9666.66666667	4461.53846154	2900.0	0.02528	0.0116676923077	0.007584
Ross	71.0	2.0	0.0	69.0	0.0009229	2.6e-05	666.666666667	307.692307692	200.0	0.00866666666667	0.004	0.0026
Vinton	21.0	2.0	0.0	19.0	0.0015983	0.00015222	666.666666667	307.692307692	200.0	0.05074	0.0234184615385	0.015222
Hamilton	2642.0	148.0	0.0	2494.0	0.00323503	0.00018122	49333.3333333	22769.2307692	14800.0	0.0604066666667	0.02788	0.018122
Scioto	15.0	0.0	0.0	15.0	0.00019867	0.0	75.0	30.0	18.75	0.00099335	0.00039734	0.0002483375
Greene	101.0	5.0	0.0	96.0	0.00060121	2.976e-05	1666.66666667	769.230769231	500.0	0.00992	0.00457846153846	0.002976
Fulton	40.0	0.0	0.0	40.0	0.00094616	0.0	200.0	80.0	50.0	0.0047308	0.00189232	0.0011827
Seneca	20.0	2.0	0.0	18.0	0.00036227	3.623e-05	666.666666667	307.692307692	200.0	0.0120766666667	0.00557384615385	0.003623
Madison	152.0	7.0	0.0	145.0	0.00342242	0.00015761	2333.33333333	1076.92307692	700.0	0.0525366666667	0.0242476923077	0.015761
Clinton	43.0	1.0	0.0	42.0	0.00102242	2.378e-05	333.333333333	153.846153846	100.0	0.00792666666667	0.00365846153846	0.002378
Clark	277.0	6.0	0.0	271.0	0.00205818	4.458e-05	2000.0	923.076923077	600.0	0.01486	0.00685846153846	0.004458
Trumbull	569.0	48.0	0.0	521.0	0.00286467	0.00024166	16000.0	7384.61538462	4800.0	0.0805533333333	0.0371784615385	0.024166
Erie	171.0	14.0	0.0	157.0	0.00229176	0.00018763	4666.66666667	2153.84615385	1400.0	0.0625433333333	0.0288661538462	0.018763
