Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Logan	0.001	25.233	45.957	0.009	681.591	870.446	2e-08	0.00055631	0.00101321	2e-07	0.01502692	0.01919057
Licking	0.0	44.208	161.325	0.0	0.0	4.0	0.0	0.00025151	0.00091782	0.0	0.0	2.276e-05
Brown	0.0	10.421	24.514	0.0	0.0	1.0	0.0	0.000239	0.00056222	0.0	0.0	2.293e-05
Wood	0.003	116.057	249.064	0.061	111.583	136.795	2e-08	0.00088799	0.00190567	4.7e-07	0.00085376	0.00104667
Pike	0.138	70.658	73.484	0.061	111.583	121.795	4.92e-06	0.00251748	0.00261816	2.17e-06	0.00397559	0.00433944
Richland	0.002	86.716	178.778	0.0	0.0	1.0	2e-08	0.00071608	0.0014763	0.0	0.0	8.26e-06
Wayne	0.0	85.203	198.486	0.0	0.0	18.0	0.0	0.00073472	0.00171157	0.0	0.0	0.00015522
Sandusky	0.0	6.717	30.686	0.0	0.0	2.0	0.0	0.00011424	0.00052188	0.0	0.0	3.401e-05
Fulton	0.001	35.916	62.583	0.0	0.0	0.0	2e-08	0.00084956	0.00148034	0.0	0.0	0.0
Seneca	0.0	0.253	12.505	0.0	0.0	1.0	0.0	4.58e-06	0.00022651	0.0	0.0	1.811e-05
Montgomery	0.0	6.02	279.239	0.0	0.914	13.97	0.0	1.131e-05	0.00052456	0.0	1.72e-06	2.624e-05
Fairfield	0.0	0.996	117.604	0.0	0.0	2.0	0.0	6.39e-06	0.00075493	0.0	0.0	1.284e-05
Coshocton	0.0	0.008	16.056	0.0	0.0	0.0	0.0	2.2e-07	0.00043834	0.0	0.0	0.0
Wyandot	0.0	17.545	43.752	0.0	0.0	2.0	0.0	0.00079986	0.00199462	0.0	0.0	9.118e-05
Hamilton	0.018	704.169	1742.103	0.103	187.934	252.131	2e-08	0.00086223	0.00213314	1.3e-07	0.00023012	0.00030873
Cuyahoga	0.02	1201.448	3289.226	0.002	101.583	211.621	2e-08	0.00096591	0.00264438	0.0	8.167e-05	0.00017013
Washington	0.001	79.288	175.392	0.0	0.0	8.0	2e-08	0.00131806	0.00291567	0.0	0.0	0.00013299
Pickaway	227.116	116586.248	119609.491	0.0	0.0	5.0	0.00391	2.00713163	2.05917934	0.0	0.0	8.608e-05
Noble	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.000209	0.0	0.0	0.0
Hardin	0.0	27.011	55.027	0.0	0.0	0.0	0.0	0.00085804	0.001748	0.0	0.0	0.0
Erie	0.117	254.966	324.257	0.283	145.228	149.925	1.57e-06	0.00341709	0.00434573	3.79e-06	0.00194636	0.00200931
Fayette	0.0	0.0	14.124	0.283	145.228	146.925	0.0	0.0	0.00049271	9.87e-06	0.00506621	0.00512541
