Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-20	2.0	18.0	0.018	0.018
2020-05-21	2.173	20.173	0.019	0.037
2020-05-22	2.363	22.536	0.021	0.058
2020-05-23	2.553	25.089	0.023	0.081
2020-05-24	2.736	27.825	0.024	0.105
2020-05-25	2.892	30.717	0.026	0.131
2020-05-26	3.013	33.73	0.027	0.158
2020-05-27	3.083	36.813	0.027	0.185
2020-05-28	3.122	39.935	0.028	0.213
2020-05-29	3.134	43.069	0.028	0.241
2020-05-30	3.128	46.197	0.028	0.269
2020-05-31	3.099	49.296	0.028	0.297
2020-06-01	3.059	52.355	0.027	0.324
2020-06-02	3.012	55.367	0.027	0.351
2020-06-03	2.954	58.321	0.026	0.377
2020-06-04	2.885	61.206	0.026	0.403
2020-06-05	2.809	64.015	0.025	0.428
2020-06-06	2.734	66.749	0.024	0.452
2020-06-07	2.66	69.409	0.024	0.476
2020-06-08	2.591	72.0	0.023	0.499
2020-06-09	2.528	74.528	0.022	0.521
2020-06-10	2.464	76.992	0.022	0.543
2020-06-11	2.394	79.386	0.021	0.564
2020-06-12	2.318	81.704	0.021	0.585
2020-06-13	2.237	83.941	0.02	0.605
2020-06-14	2.149	86.09	0.019	0.624
2020-06-15	2.062	88.152	0.018	0.642
2020-06-16	1.974	90.126	0.018	0.66
2020-06-17	1.888	92.014	0.017	0.677
2020-06-18	1.803	93.817	0.016	0.693
2020-06-19	1.721	95.538	0.015	0.708
2020-06-20	1.64	97.178	0.015	0.723
2020-06-21	1.561	98.739	0.014	0.737
2020-06-22	1.484	100.223	0.013	0.75
2020-06-23	1.409	101.632	0.013	0.763
2020-06-24	1.337	102.969	0.012	0.775
2020-06-25	1.268	104.237	0.011	0.786
2020-06-26	1.202	105.439	0.011	0.797
2020-06-27	1.14	106.579	0.01	0.807
2020-06-28	1.08	107.659	0.01	0.817
2020-06-29	1.021	108.68	0.009	0.826
2020-06-30	0.965	109.645	0.009	0.835
2020-07-01	0.91	110.555	0.008	0.843
2020-07-02	0.855	111.41	0.008	0.851
2020-07-03	0.8	112.21	0.007	0.858
2020-07-04	0.745	112.955	0.007	0.865
2020-07-05	0.691	113.646	0.006	0.871
2020-07-06	0.641	114.287	0.006	0.877
2020-07-07	0.597	114.884	0.005	0.882
2020-07-08	0.558	115.442	0.005	0.887
2020-07-09	0.526	115.968	0.005	0.892
2020-07-10	0.497	116.465	0.004	0.896
2020-07-11	0.47	116.935	0.004	0.9
2020-07-12	0.444	117.379	0.004	0.904
2020-07-13	0.418	117.797	0.004	0.908
2020-07-14	0.391	118.188	0.003	0.911
2020-07-15	0.365	118.553	0.003	0.914
2020-07-16	0.339	118.892	0.003	0.917
2020-07-17	0.316	119.208	0.003	0.92
2020-07-18	0.294	119.502	0.003	0.923
2020-07-19	0.275	119.777	0.002	0.925
2020-07-20	0.258	120.035	0.002	0.927
2020-07-21	0.243	120.278	0.002	0.929
2020-07-22	0.228	120.506	0.002	0.931
2020-07-23	0.212	120.718	0.002	0.933
2020-07-24	0.197	120.915	0.002	0.935
2020-07-25	0.182	121.097	0.002	0.937
2020-07-26	0.166	121.263	0.001	0.938
2020-07-27	0.151	121.414	0.001	0.939
2020-07-28	0.136	121.55	0.001	0.94
2020-07-29	0.122	121.672	0.001	0.941
2020-07-30	0.109	121.781	0.001	0.942
2020-07-31	0.098	121.879	0.001	0.943
2020-08-01	0.087	121.966	0.001	0.944
2020-08-02	0.077	122.043	0.001	0.945
2020-08-03	0.067	122.11	0.001	0.946
2020-08-04	0.057	122.167	0.001	0.947
2020-08-05	0.047	122.214	0.0	0.947
2020-08-06	0.037	122.251	0.0	0.947
2020-08-07	0.026	122.277	0.0	0.947
2020-08-08	0.017	122.294	0.0	0.947
2020-08-09	0.01	122.304	0.0	0.947
2020-08-10	0.007	122.311	0.0	0.947
2020-08-11	0.004	122.315	0.0	0.947
2020-08-12	0.003	122.318	0.0	0.947
2020-08-13	0.002	122.32	0.0	0.947
2020-08-14	0.002	122.322	0.0	0.947
2020-08-15	0.002	122.324	0.0	0.947
2020-08-16	0.001	122.325	0.0	0.947
2020-08-17	0.001	122.326	0.0	0.947
2020-08-18	0.001	122.327	0.0	0.947
2020-08-19	0.0	122.327	0.0	0.947
2020-08-20	0.0	122.327	0.0	0.947
2020-08-21	0.0	122.327	0.0	0.947
2020-08-22	0.0	122.327	0.0	0.947
2020-08-23	0.0	122.327	0.0	0.947
2020-08-24	0.0	122.327	0.0	0.947
2020-08-25	0.0	122.327	0.0	0.947
2020-08-26	0.0	122.327	0.0	0.947
2020-08-27	0.0	122.327	0.0	0.947
2020-08-28	0.0	122.327	0.0	0.947
2020-08-29	0.0	122.327	0.0	0.947
2020-08-30	0.0	122.327	0.0	0.947
