Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-24	21.822	765.822	0.151	4.151
2020-07-25	21.493	787.315	0.163	4.314
2020-07-26	21.079	808.394	0.175	4.489
2020-07-27	20.581	828.975	0.185	4.674
2020-07-28	20.045	849.02	0.193	4.867
2020-07-29	19.51	868.53	0.197	5.064
2020-07-30	18.978	887.508	0.2	5.264
2020-07-31	18.488	905.996	0.2	5.464
2020-08-01	18.039	924.035	0.2	5.664
2020-08-02	17.583	941.618	0.198	5.862
2020-08-03	17.084	958.702	0.196	6.058
2020-08-04	16.542	975.244	0.193	6.251
2020-08-05	15.958	991.202	0.189	6.44
2020-08-06	15.335	1006.537	0.184	6.624
2020-08-07	14.711	1021.248	0.18	6.804
2020-08-08	14.087	1035.335	0.175	6.979
2020-08-09	13.469	1048.804	0.17	7.149
2020-08-10	12.865	1061.669	0.166	7.315
2020-08-11	12.278	1073.947	0.162	7.477
2020-08-12	11.699	1085.646	0.158	7.635
2020-08-13	11.135	1096.781	0.153	7.788
2020-08-14	10.585	1107.366	0.148	7.936
2020-08-15	10.055	1117.421	0.143	8.079
2020-08-16	9.539	1126.96	0.137	8.216
2020-08-17	9.048	1136.008	0.132	8.348
2020-08-18	8.579	1144.587	0.126	8.474
2020-08-19	8.132	1152.719	0.121	8.595
2020-08-20	7.702	1160.421	0.115	8.71
2020-08-21	7.287	1167.708	0.11	8.82
2020-08-22	6.885	1174.593	0.105	8.925
2020-08-23	6.49	1181.083	0.1	9.025
2020-08-24	6.098	1187.181	0.095	9.12
2020-08-25	5.707	1192.888	0.09	9.21
2020-08-26	5.315	1198.203	0.086	9.296
2020-08-27	4.93	1203.133	0.081	9.377
2020-08-28	4.573	1207.706	0.077	9.454
2020-08-29	4.258	1211.964	0.073	9.527
2020-08-30	3.985	1215.949	0.069	9.596
2020-08-31	3.75	1219.699	0.065	9.661
2020-09-01	3.546	1223.245	0.062	9.723
2020-09-02	3.356	1226.601	0.058	9.781
2020-09-03	3.169	1229.77	0.055	9.836
2020-09-04	2.981	1232.751	0.051	9.887
2020-09-05	2.793	1235.544	0.048	9.935
2020-09-06	2.605	1238.149	0.044	9.979
2020-09-07	2.421	1240.57	0.041	10.02
2020-09-08	2.252	1242.822	0.038	10.058
2020-09-09	2.101	1244.923	0.036	10.094
2020-09-10	1.965	1246.888	0.034	10.128
2020-09-11	1.843	1248.731	0.032	10.16
2020-09-12	1.733	1250.464	0.03	10.19
2020-09-13	1.624	1252.088	0.028	10.218
2020-09-14	1.515	1253.603	0.027	10.245
2020-09-15	1.405	1255.008	0.025	10.27
2020-09-16	1.296	1256.304	0.023	10.293
2020-09-17	1.186	1257.49	0.022	10.315
2020-09-18	1.077	1258.567	0.02	10.335
2020-09-19	0.97	1259.537	0.019	10.354
2020-09-20	0.87	1260.407	0.018	10.372
2020-09-21	0.779	1261.186	0.017	10.389
2020-09-22	0.696	1261.882	0.016	10.405
2020-09-23	0.62	1262.502	0.015	10.42
2020-09-24	0.548	1263.05	0.014	10.434
2020-09-25	0.477	1263.527	0.013	10.447
2020-09-26	0.406	1263.933	0.012	10.459
2020-09-27	0.334	1264.267	0.011	10.47
2020-09-28	0.261	1264.528	0.01	10.48
2020-09-29	0.186	1264.714	0.009	10.489
2020-09-30	0.119	1264.833	0.008	10.497
2020-10-01	0.074	1264.907	0.007	10.504
2020-10-02	0.046	1264.953	0.006	10.51
2020-10-03	0.031	1264.984	0.006	10.516
2020-10-04	0.022	1265.006	0.005	10.521
2020-10-05	0.017	1265.023	0.004	10.525
2020-10-06	0.014	1265.037	0.004	10.529
2020-10-07	0.011	1265.048	0.003	10.532
2020-10-08	0.008	1265.056	0.002	10.534
2020-10-09	0.006	1265.062	0.002	10.536
2020-10-10	0.005	1265.067	0.001	10.537
2020-10-11	0.0	1265.067	0.001	10.538
2020-10-12	0.0	1265.067	0.0	10.538
2020-10-13	0.0	1265.067	0.0	10.538
2020-10-14	0.0	1265.067	0.0	10.538
2020-10-15	0.0	1265.067	0.0	10.538
2020-10-16	0.0	1265.067	0.0	10.538
2020-10-17	0.0	1265.067	0.0	10.538
2020-10-18	0.0	1265.067	0.0	10.538
2020-10-19	0.0	1265.067	0.0	10.538
