Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-09	1.631	54.631	0.0	1.0
2020-06-10	1.518	56.149	0.0	1.0
2020-06-11	1.416	57.565	0.0	1.0
2020-06-12	1.324	58.889	0.0	1.0
2020-06-13	1.242	60.131	0.0	1.0
2020-06-14	1.168	61.299	0.0	1.0
2020-06-15	1.094	62.393	0.0	1.0
2020-06-16	1.021	63.414	0.0	1.0
2020-06-17	0.947	64.361	0.0	1.0
2020-06-18	0.873	65.234	0.0	1.0
2020-06-19	0.799	66.033	0.0	1.0
2020-06-20	0.725	66.758	0.0	1.0
2020-06-21	0.653	67.411	0.0	1.0
2020-06-22	0.586	67.997	0.0	1.0
2020-06-23	0.525	68.522	0.0	1.0
2020-06-24	0.469	68.991	0.0	1.0
2020-06-25	0.418	69.409	0.0	1.0
2020-06-26	0.369	69.778	0.0	1.0
2020-06-27	0.322	70.1	0.0	1.0
2020-06-28	0.274	70.374	0.0	1.0
2020-06-29	0.225	70.599	0.0	1.0
2020-06-30	0.176	70.775	0.0	1.0
2020-07-01	0.125	70.9	0.0	1.0
2020-07-02	0.08	70.98	0.0	1.0
2020-07-03	0.05	71.03	0.0	1.0
2020-07-04	0.031	71.061	0.0	1.0
2020-07-05	0.021	71.082	0.0	1.0
2020-07-06	0.015	71.097	0.0	1.0
2020-07-07	0.011	71.108	0.0	1.0
2020-07-08	0.009	71.117	0.0	1.0
2020-07-09	0.007	71.124	0.0	1.0
2020-07-10	0.006	71.13	0.0	1.0
2020-07-11	0.004	71.134	0.0	1.0
2020-07-12	0.003	71.137	0.0	1.0
2020-07-13	0.0	71.137	0.0	1.0
2020-07-14	0.0	71.137	0.0	1.0
2020-07-15	0.0	71.137	0.0	1.0
2020-07-16	0.0	71.137	0.0	1.0
2020-07-17	0.0	71.137	0.0	1.0
2020-07-18	0.0	71.137	0.0	1.0
2020-07-19	0.0	71.137	0.0	1.0
2020-07-20	0.0	71.137	0.0	1.0
2020-07-21	0.0	71.137	0.0	1.0
2020-07-22	0.0	71.137	0.0	1.0
2020-07-23	0.0	71.137	0.0	1.0
2020-07-24	0.0	71.137	0.0	1.0
2020-07-25	0.0	71.137	0.0	1.0
2020-07-26	0.0	71.137	0.0	1.0
2020-07-27	0.0	71.137	0.0	1.0
2020-07-28	0.0	71.137	0.0	1.0
2020-07-29	0.0	71.137	0.0	1.0
2020-07-30	0.0	71.137	0.0	1.0
2020-07-31	0.0	71.137	0.0	1.0
2020-08-01	0.0	71.137	0.0	1.0
2020-08-02	0.0	71.137	0.0	1.0
2020-08-03	0.0	71.137	0.0	1.0
2020-08-04	0.0	71.137	0.0	1.0
2020-08-05	0.0	71.137	0.0	1.0
2020-08-06	0.0	71.137	0.0	1.0
2020-08-07	0.0	71.137	0.0	1.0
2020-08-08	0.0	71.137	0.0	1.0
2020-08-09	0.0	71.137	0.0	1.0
2020-08-10	0.0	71.137	0.0	1.0
2020-08-11	0.0	71.137	0.0	1.0
2020-08-12	0.0	71.137	0.0	1.0
2020-08-13	0.0	71.137	0.0	1.0
2020-08-14	0.0	71.137	0.0	1.0
2020-08-15	0.0	71.137	0.0	1.0
2020-08-16	0.0	71.137	0.0	1.0
2020-08-17	0.0	71.137	0.0	1.0
2020-08-18	0.0	71.137	0.0	1.0
2020-08-19	0.0	71.137	0.0	1.0
2020-08-20	0.0	71.137	0.0	1.0
2020-08-21	0.0	71.137	0.0	1.0
2020-08-22	0.0	71.137	0.0	1.0
2020-08-23	0.0	71.137	0.0	1.0
2020-08-24	0.0	71.137	0.0	1.0
2020-08-25	0.0	71.137	0.0	1.0
2020-08-26	0.0	71.137	0.0	1.0
2020-08-27	0.0	71.137	0.0	1.0
2020-08-28	0.0	71.137	0.0	1.0
2020-08-29	0.0	71.137	0.0	1.0
2020-08-30	0.0	71.137	0.0	1.0
