Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Greer	0.0	0.0	0.0	0.0
Logan	0.03	3.564	6.4e-07	7.536e-05
Choctaw	0.008	0.992	5.3e-07	6.765e-05
Wagoner	0.0	4.209	0.0	5.254e-05
Kay	0.211	24.946	4.77e-06	0.00056489
Cherokee	0.163	20.839	3.36e-06	0.00042812
Sequoyah	0.15	18.716	3.65e-06	0.0004545
McClain	0.16	19.007	4.01e-06	0.00047535
Comanche	0.0	0.0	0.0	0.0
Lincoln	0.075	9.358	2.15e-06	0.00026798
Payne	0.16	19.007	1.96e-06	0.00023168
Washington	0.521	61.772	1.006e-05	0.00119152
Beckham	0.15	17.819	6.93e-06	0.0008208
Noble	0.02	2.376	1.78e-06	0.00021046
Love	0.301	35.638	2.968e-05	0.00351663
Kiowa	0.134	16.322	1.53e-05	0.00186984
Pawnee	0.17	20.195	1.04e-05	0.00123213
Oklahoma	2.848	337.369	3.59e-06	0.00042566
Jefferson	0.0	0.0	0.0	0.0
McIntosh	0.0	0.0	0.0	0.0
Custer	0.0	0.0	0.0	0.0
Cotton	0.602	71.275	0.00010416	0.01233986
Le Flore	3.635	175.941	7.272e-05	0.00352022
Delaware	0.0	0.111	0.0	2.59e-06
Caddo	0.062	7.939	2.15e-06	0.00027396
Carter	0.134	16.322	2.77e-06	0.00033879
Grady	0.09	10.691	1.62e-06	0.00019246
Major	0.125	15.597	1.637e-05	0.00204037
Rogers	0.0	0.0	0.0	0.0
Bryan	0.0	0.0	0.0	0.0
Washita	0.0	0.0	0.0	0.0
Beaver	0.0	0.0	0.0	0.0
Atoka	0.134	16.322	9.65e-06	0.00117949
Pontotoc	0.06	7.128	1.57e-06	0.00018636
Seminole	0.602	71.275	2.448e-05	0.00289995
Marshall	0.0	0.0	0.0	0.0
Mayes	0.142	17.063	3.45e-06	0.00041508
Osage	0.356	43.525	7.58e-06	0.00092578
Okmulgee	0.0	0.0	0.0	0.0
Unassigned	0.0	0.0	N/A	N/A
Stephens	0.098	11.969	2.26e-06	0.00027665
Woodward	0.134	16.322	6.61e-06	0.00080713
Muskogee	0.0	0.226	0.0	3.3e-06
Out of OK	0.0	0.0	N/A	N/A
Creek	0.0	0.185	0.0	2.58e-06
Latimer	0.0	0.014	0.0	1.4e-06
Craig	0.058	7.278	4.08e-06	0.00050876
Kingfisher	0.0	0.0	0.0	0.0
Pittsburg	0.078	9.923	1.77e-06	0.00022616
Texas	0.451	53.456	2.206e-05	0.00261336
Canadian	0.371	43.953	2.57e-06	0.00030428
Dewey	0.0	0.0	0.0	0.0
Tillman	0.0	0.0	0.0	0.0
McCurtain	0.25	31.193	7.66e-06	0.00095383
Tulsa	0.0	43.37	0.0	6.689e-05
Cleveland	0.0	36.52	0.0	0.00012965
Nowata	0.0	0.0	0.0	0.0
Ottawa	0.167	20.795	5.35e-06	0.00066705
Pottawatomie	0.285	34.82	3.92e-06	0.00047909
Garvin	0.07	8.315	2.52e-06	0.000299
Garfield	0.752	89.094	1.235e-05	0.00146264
Grant	0.125	15.597	2.893e-05	0.00360531
Adair	0.258	31.555	1.17e-05	0.00142901
Jackson	0.06	7.128	2.41e-06	0.00028568
