Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Greer	0.0	0.0	66.0	0.0	0.0	7.0	0.0	0.0	0.01133826	0.0	0.0	0.00120254
Logan	2.628	21.605	42.605	0.0	0.0	1.0	5.557e-05	0.00045685	0.00090091	0.0	0.0	2.115e-05
Choctaw	4.61	129.741	230.741	0.0	0.0	1.0	0.00031429	0.00884517	0.01573091	0.0	0.0	6.818e-05
Wagoner	13.211	108.629	269.629	0.0	0.0	17.0	0.00016491	0.001356	0.00336573	0.0	0.0	0.00021221
Kay	0.43	12.117	72.117	0.0	0.0	7.0	9.74e-06	0.00027438	0.00163305	0.0	0.0	0.00015851
Cherokee	5.057	48.385	85.385	0.0	0.0	1.0	0.00010389	0.00099404	0.00175419	0.0	0.0	2.054e-05
Sequoyah	0.509	10.576	29.576	0.0	0.0	3.0	1.236e-05	0.00025683	0.00071823	0.0	0.0	7.285e-05
McClain	0.413	11.614	121.614	0.155	3.361	7.361	1.033e-05	0.00029046	0.00304149	3.88e-06	8.406e-05	0.00018409
Ellis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Harper	0.0	0.0	1.0	0.155	3.361	3.361	0.0	0.0	0.00026337	4.082e-05	0.00088517	0.00088517
Roger Mills	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Comanche	3.589	87.644	399.644	0.0	0.0	3.0	2.98e-05	0.00072781	0.0033187	0.0	0.0	2.491e-05
Lincoln	0.0	0.0	22.0	0.0	0.0	2.0	0.0	0.0	0.00063001	0.0	0.0	5.727e-05
Payne	0.486	11.862	66.862	0.0	0.0	1.0	5.92e-06	0.00014459	0.00081499	0.0	0.0	1.219e-05
Washington	1.75	49.258	392.258	0.351	7.591	44.591	3.376e-05	0.00095014	0.00756627	6.77e-06	0.00014642	0.00086012
Beckham	0.077	2.162	9.162	0.351	7.591	7.591	3.55e-06	9.959e-05	0.00042204	1.617e-05	0.00034967	0.00034967
Noble	0.0	0.0	7.0	0.351	7.591	7.591	0.0	0.0	0.00062007	3.109e-05	0.00067242	0.00067242
Love	1.089	15.292	36.292	0.351	7.591	7.591	0.00010746	0.00150898	0.00358121	3.464e-05	0.00074906	0.00074906
Kiowa	0.0	0.0	6.0	0.351	7.591	7.591	0.0	0.0	0.00068736	4.021e-05	0.00086963	0.00086963
Pawnee	0.626	12.418	47.418	0.0	0.0	2.0	3.819e-05	0.00075766	0.00289311	0.0	0.0	0.00012203
Oklahoma	10.525	271.181	1707.181	0.137	5.317	69.317	1.328e-05	0.00034215	0.00215395	1.7e-07	6.71e-06	8.746e-05
Jefferson	0.067	1.875	5.875	0.137	5.317	5.317	1.094e-05	0.00030622	0.0009595	2.237e-05	0.00086837	0.00086837
McIntosh	0.259	7.284	21.284	0.0	0.0	1.0	1.307e-05	0.0003676	0.00107414	0.0	0.0	5.047e-05
Custer	1.263	35.552	72.552	0.0	0.0	0.0	4.35e-05	0.00122441	0.00249869	0.0	0.0	0.0
Blaine	0.254	7.142	17.142	0.0	0.0	0.0	2.678e-05	0.00075298	0.00180727	0.0	0.0	0.0
Cotton	0.0	0.0	5.0	0.0	0.0	2.0	0.0	0.0	0.00086565	0.0	0.0	0.00034626
