Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-07-28	3.569	141.569	0.0	2.0
2020-07-29	3.536	145.105	0.0	2.0
2020-07-30	3.49	148.595	0.0	2.0
2020-07-31	3.437	152.032	0.0	2.0
2020-08-01	3.371	155.403	0.0	2.0
2020-08-02	3.292	158.695	0.0	2.0
2020-08-03	3.206	161.901	0.0	2.0
2020-08-04	3.12	165.021	0.0	2.0
2020-08-05	3.035	168.056	0.0	2.0
2020-08-06	2.957	171.013	0.0	2.0
2020-08-07	2.885	173.898	0.0	2.0
2020-08-08	2.812	176.71	0.0	2.0
2020-08-09	2.732	179.442	0.0	2.0
2020-08-10	2.646	182.088	0.0	2.0
2020-08-11	2.552	184.64	0.0	2.0
2020-08-12	2.453	187.093	0.0	2.0
2020-08-13	2.353	189.446	0.0	2.0
2020-08-14	2.253	191.699	0.0	2.0
2020-08-15	2.154	193.853	0.0	2.0
2020-08-16	2.058	195.911	0.0	2.0
2020-08-17	1.964	197.875	0.0	2.0
2020-08-18	1.871	199.746	0.0	2.0
2020-08-19	1.781	201.527	0.0	2.0
2020-08-20	1.693	203.22	0.0	2.0
2020-08-21	1.608	204.828	0.0	2.0
2020-08-22	1.526	206.354	0.0	2.0
2020-08-23	1.447	207.801	0.0	2.0
2020-08-24	1.372	209.173	0.0	2.0
2020-08-25	1.301	210.474	0.0	2.0
2020-08-26	1.232	211.706	0.0	2.0
2020-08-27	1.165	212.871	0.0	2.0
2020-08-28	1.101	213.972	0.0	2.0
2020-08-29	1.038	215.01	0.0	2.0
2020-08-30	0.975	215.985	0.0	2.0
2020-08-31	0.913	216.898	0.0	2.0
2020-09-01	0.85	217.748	0.0	2.0
2020-09-02	0.788	218.536	0.0	2.0
2020-09-03	0.731	219.267	0.0	2.0
2020-09-04	0.681	219.948	0.0	2.0
2020-09-05	0.637	220.585	0.0	2.0
2020-09-06	0.6	221.185	0.0	2.0
2020-09-07	0.567	221.752	0.0	2.0
2020-09-08	0.537	222.289	0.0	2.0
2020-09-09	0.507	222.796	0.0	2.0
2020-09-10	0.477	223.273	0.0	2.0
2020-09-11	0.447	223.72	0.0	2.0
2020-09-12	0.417	224.137	0.0	2.0
2020-09-13	0.387	224.524	0.0	2.0
2020-09-14	0.36	224.884	0.0	2.0
2020-09-15	0.336	225.22	0.0	2.0
2020-09-16	0.314	225.534	0.0	2.0
2020-09-17	0.295	225.829	0.0	2.0
2020-09-18	0.277	226.106	0.0	2.0
2020-09-19	0.26	226.366	0.0	2.0
2020-09-20	0.242	226.608	0.0	2.0
2020-09-21	0.225	226.833	0.0	2.0
2020-09-22	0.207	227.04	0.0	2.0
2020-09-23	0.19	227.23	0.0	2.0
2020-09-24	0.172	227.402	0.0	2.0
2020-09-25	0.155	227.557	0.0	2.0
2020-09-26	0.139	227.696	0.0	2.0
2020-09-27	0.125	227.821	0.0	2.0
2020-09-28	0.111	227.932	0.0	2.0
2020-09-29	0.099	228.031	0.0	2.0
2020-09-30	0.088	228.119	0.0	2.0
2020-10-01	0.076	228.195	0.0	2.0
2020-10-02	0.065	228.26	0.0	2.0
2020-10-03	0.053	228.313	0.0	2.0
2020-10-04	0.042	228.355	0.0	2.0
2020-10-05	0.03	228.385	0.0	2.0
2020-10-06	0.019	228.404	0.0	2.0
2020-10-07	0.012	228.416	0.0	2.0
2020-10-08	0.007	228.423	0.0	2.0
2020-10-09	0.005	228.428	0.0	2.0
2020-10-10	0.004	228.432	0.0	2.0
2020-10-11	0.003	228.435	0.0	2.0
2020-10-12	0.002	228.437	0.0	2.0
2020-10-13	0.002	228.439	0.0	2.0
2020-10-14	0.001	228.44	0.0	2.0
2020-10-15	0.001	228.441	0.0	2.0
2020-10-16	0.001	228.442	0.0	2.0
