Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-29	1.16	315.16	0.347	35.347
2020-05-30	1.164	316.324	0.381	35.728
2020-05-31	1.162	317.486	0.415	36.143
2020-06-01	1.151	318.637	0.451	36.594
2020-06-02	1.136	319.773	0.491	37.085
2020-06-03	1.119	320.892	0.53	37.615
2020-06-04	1.098	321.99	0.568	38.183
2020-06-05	1.072	323.062	0.6	38.783
2020-06-06	1.044	324.106	0.626	39.409
2020-06-07	1.016	325.122	0.64	40.049
2020-06-08	0.988	326.11	0.648	40.697
2020-06-09	0.963	327.073	0.651	41.348
2020-06-10	0.939	328.012	0.649	41.997
2020-06-11	0.916	328.928	0.643	42.64
2020-06-12	0.89	329.818	0.635	43.275
2020-06-13	0.861	330.679	0.625	43.9
2020-06-14	0.831	331.51	0.613	44.513
2020-06-15	0.799	332.309	0.599	45.112
2020-06-16	0.766	333.075	0.583	45.695
2020-06-17	0.734	333.809	0.568	46.263
2020-06-18	0.701	334.51	0.552	46.815
2020-06-19	0.67	335.18	0.538	47.353
2020-06-20	0.639	335.819	0.525	47.878
2020-06-21	0.609	336.428	0.512	48.39
2020-06-22	0.58	337.008	0.497	48.887
2020-06-23	0.551	337.559	0.481	49.368
2020-06-24	0.524	338.083	0.464	49.832
2020-06-25	0.497	338.58	0.446	50.278
2020-06-26	0.471	339.051	0.428	50.706
2020-06-27	0.447	339.498	0.41	51.116
2020-06-28	0.423	339.921	0.392	51.508
2020-06-29	0.401	340.322	0.374	51.882
2020-06-30	0.379	340.701	0.357	52.239
2020-07-01	0.358	341.059	0.34	52.579
2020-07-02	0.338	341.397	0.324	52.903
2020-07-03	0.318	341.715	0.308	53.211
2020-07-04	0.297	342.012	0.293	53.504
2020-07-05	0.277	342.289	0.278	53.782
2020-07-06	0.257	342.546	0.263	54.045
2020-07-07	0.238	342.784	0.25	54.295
2020-07-08	0.222	343.006	0.237	54.532
2020-07-09	0.207	343.213	0.224	54.756
2020-07-10	0.195	343.408	0.212	54.968
2020-07-11	0.185	343.593	0.2	55.168
2020-07-12	0.175	343.768	0.189	55.357
2020-07-13	0.165	343.933	0.177	55.534
2020-07-14	0.155	344.088	0.166	55.7
2020-07-15	0.145	344.233	0.155	55.855
2020-07-16	0.136	344.369	0.143	55.998
2020-07-17	0.126	344.495	0.133	56.131
2020-07-18	0.117	344.612	0.124	56.255
2020-07-19	0.109	344.721	0.116	56.371
2020-07-20	0.102	344.823	0.109	56.48
2020-07-21	0.096	344.919	0.103	56.583
2020-07-22	0.09	345.009	0.098	56.681
2020-07-23	0.085	345.094	0.092	56.773
2020-07-24	0.079	345.173	0.087	56.86
2020-07-25	0.073	345.246	0.081	56.941
2020-07-26	0.067	345.313	0.076	57.017
2020-07-27	0.062	345.375	0.07	57.087
2020-07-28	0.056	345.431	0.066	57.153
2020-07-29	0.05	345.481	0.061	57.214
2020-07-30	0.045	345.526	0.057	57.271
2020-07-31	0.041	345.567	0.054	57.325
2020-08-01	0.036	345.603	0.05	57.375
2020-08-02	0.032	345.635	0.047	57.422
2020-08-03	0.029	345.664	0.044	57.466
2020-08-04	0.025	345.689	0.041	57.507
2020-08-05	0.021	345.71	0.038	57.545
2020-08-06	0.017	345.727	0.035	57.58
2020-08-07	0.014	345.741	0.031	57.611
2020-08-08	0.01	345.751	0.028	57.639
2020-08-09	0.006	345.757	0.025	57.664
2020-08-10	0.004	345.761	0.023	57.687
2020-08-11	0.002	345.763	0.02	57.707
2020-08-12	0.002	345.765	0.018	57.725
2020-08-13	0.001	345.766	0.016	57.741
2020-08-14	0.001	345.767	0.014	57.755
2020-08-15	0.001	345.768	0.012	57.767
2020-08-16	0.001	345.769	0.01	57.777
2020-08-17	0.0	345.769	0.008	57.785
2020-08-18	0.0	345.769	0.005	57.79
2020-08-19	0.0	345.769	0.003	57.793
2020-08-20	0.0	345.769	0.002	57.795
2020-08-21	0.0	345.769	0.001	57.796
2020-08-22	0.0	345.769	0.001	57.797
2020-08-23	0.0	345.769	0.001	57.798
2020-08-24	0.0	345.769	0.0	57.798
2020-08-25	0.0	345.769	0.0	57.798
2020-08-26	0.0	345.769	0.0	57.798
2020-08-27	0.0	345.769	0.0	57.798
2020-08-28	0.0	345.769	0.0	57.798
2020-08-29	0.0	345.769	0.0	57.798
2020-08-30	0.0	345.769	0.0	57.798
