Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-09-01	0.232	0.988	12.823	26.646
2020-09-02	0.146	1.134	11.455	38.101
2020-09-03	0.097	1.231	10.202	48.303
2020-09-04	0.069	1.3	9.02	57.323
2020-09-05	0.053	1.353	7.855	65.178
2020-09-06	0.043	1.396	6.684	71.862
2020-09-07	0.034	1.43	5.502	77.364
2020-09-08	0.026	1.456	4.299	81.663
2020-09-09	0.02	1.476	3.052	84.715
2020-09-10	0.015	1.491	1.964	86.679
2020-09-11	0.0	1.491	1.211	87.89
2020-09-12	0.0	1.491	0.763	88.653
2020-09-13	0.0	1.491	0.504	89.157
2020-09-14	0.0	1.491	0.361	89.518
2020-09-15	0.0	1.491	0.279	89.797
2020-09-16	0.0	1.491	0.222	90.019
2020-09-17	0.0	1.491	0.177	90.196
2020-09-18	0.0	1.491	0.138	90.334
2020-09-19	0.0	1.491	0.105	90.439
