Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Josephine	0.539	2.84	6.17e-06	3.25e-05
Linn	1.024	5.396	8.04e-06	4.238e-05
Lane	1.401	7.384	3.69e-06	1.945e-05
Hood River	-0.108	-0.568	-4.6e-06	-2.424e-05
Curry	0.0	0.0	0.0	0.0
Yamhill	0.593	3.124	5.54e-06	2.919e-05
Lincoln	0.0	0.0	0.0	0.0
Multnomah	13.419	70.714	1.653e-05	8.71e-05
Washington	8.907	46.906	1.49e-05	7.848e-05
Clatsop	0.158	0.83	3.96e-06	2.087e-05
Clackamas	4.743	24.991	1.14e-05	6.006e-05
Klamath	1.186	6.248	1.753e-05	9.235e-05
Morrow	0.0	0.0	0.0	0.0
Douglas	0.377	1.988	3.42e-06	1.803e-05
Marion	2.487	16.824	7.17e-06	4.85e-05
Malheur	1.617	8.52	5.262e-05	0.00027729
Benton	0.227	1.758	2.46e-06	1.908e-05
Columbia	2.564	13.03	4.896e-05	0.00024878
Sherman	0.0	0.0	0.0	0.0
Crook	0.0	0.0	0.0	0.0
Union	0.0	0.0	0.0	0.0
Tillamook	0.0	0.0	0.0	0.0
Deschutes	0.502	3.393	2.61e-06	1.767e-05
Wallowa	0.808	4.26	0.00011416	0.0006016
Umatilla	0.377	1.988	4.87e-06	2.565e-05
Wasco	0.0	0.0	0.0	0.0
Polk	1.078	5.68	1.265e-05	6.664e-05
Grant	0.808	4.26	0.00011265	0.00059363
Jackson	1.886	9.94	8.59e-06	4.527e-05
