Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Josephine	0.049	1.494	24.494	0.0	0.0	1.0	5.6e-07	1.71e-05	0.00028027	0.0	0.0	1.144e-05
Linn	0.347	10.587	125.587	0.006	0.131	9.131	2.73e-06	8.314e-05	0.00098627	5e-08	1.03e-06	7.171e-05
Lane	0.001	1.34	74.34	0.01	0.299	3.299	0.0	3.53e-06	0.00019583	3e-08	7.9e-07	8.69e-06
Hood River	0.0	0.41	18.41	0.01	0.299	0.299	0.0	1.75e-05	0.00078581	4.3e-07	1.276e-05	1.276e-05
Curry	0.0	0.437	7.437	0.01	0.299	0.299	0.0	1.916e-05	0.000326	4.4e-07	1.311e-05	1.311e-05
Yamhill	0.404	12.304	82.304	0.0	0.0	7.0	3.78e-06	0.00011499	0.00076918	0.0	0.0	6.542e-05
Coos	0.0	0.124	31.124	0.0	0.0	0.0	0.0	1.93e-06	0.00048337	0.0	0.0	0.0
Lincoln	7.065	60.478	72.478	0.0	0.0	0.0	0.00014305	0.00122455	0.00146752	0.0	0.0	0.0
Multnomah	6.49	189.768	1354.768	0.0	0.632	59.632	7.99e-06	0.00023374	0.00166868	0.0	7.8e-07	7.345e-05
Washington	4.143	126.312	865.312	0.045	1.043	18.043	6.93e-06	0.00021133	0.00144775	8e-08	1.75e-06	3.019e-05
Harney	0.0	0.0	1.0	0.045	1.043	1.043	0.0	0.0	0.00013644	6.14e-06	0.00014231	0.00014231
Clatsop	0.0	1.135	46.135	0.045	1.043	1.043	0.0	2.854e-05	0.00116022	1.13e-06	2.623e-05	2.623e-05
Clackamas	3.309	73.854	385.854	1.53	19.036	30.036	7.95e-06	0.0001775	0.00092737	3.68e-06	4.575e-05	7.219e-05
Klamath	1.429	12.231	56.231	1.53	19.036	19.036	2.112e-05	0.00018079	0.00083117	2.262e-05	0.00028138	0.00028138
Morrow	0.01	0.299	11.299	1.53	19.036	19.036	8.8e-07	2.629e-05	0.00099358	0.00013454	0.00167394	0.00167394
Jefferson	0.071	2.165	35.165	1.53	19.036	19.036	2.93e-06	8.949e-05	0.00145358	6.324e-05	0.00078687	0.00078687
Baker	0.0	0.0	1.0	1.53	19.036	19.036	0.0	0.0	6.248e-05	9.559e-05	0.0011893	0.0011893
Douglas	0.034	1.044	28.044	1.53	19.036	19.036	3.1e-07	9.47e-06	0.00025429	1.387e-05	0.00017261	0.00017261
Marion	1.35	78.151	1038.151	0.021	0.934	25.934	3.89e-06	0.0002253	0.00299293	6e-08	2.69e-06	7.477e-05
Wheeler	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Malheur	0.0	3.267	35.267	0.021	0.934	0.934	0.0	0.00010633	0.00114783	6.8e-07	3.04e-05	3.04e-05
Benton	0.0	0.056	55.056	0.0	0.0	5.0	0.0	6.1e-07	0.00059778	0.0	0.0	5.429e-05
Columbia	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.00030548	0.0	0.0	0.0
Sherman	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00058548	0.0	0.0	0.0
Lake	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.00025384	0.0	0.0	0.0
Unassigned	0.0	0.0	1.0	0.0	0.0	0.0	N/A	N/A	N/A	N/A	N/A	N/A
Gilliam	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Crook	0.364	11.112	17.112	0.0	0.0	0.0	1.525e-05	0.00046558	0.00071697	0.0	0.0	0.0
Union	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.00022675	0.0	0.0	0.0
Tillamook	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.00022399	0.0	0.0	0.0
Deschutes	0.0	0.867	125.867	0.0	0.0	0.0	0.0	4.52e-06	0.00065557	0.0	0.0	0.0
Wallowa	0.066	2.013	4.013	0.0	0.0	0.0	9.32e-06	0.00028428	0.00056673	0.0	0.0	0.0
Umatilla	0.0	3.405	119.405	0.0	0.014	3.014	0.0	4.393e-05	0.00154039	0.0	1.8e-07	3.888e-05
Wasco	6.827	58.44	82.44	0.0	0.0	1.0	0.00025757	0.00220487	0.00311036	0.0	0.0	3.773e-05
Polk	0.269	8.201	106.201	0.18	4.16	16.16	3.16e-06	9.622e-05	0.00124599	2.11e-06	4.881e-05	0.0001896
Grant	0.0	0.0	1.0	0.18	4.16	4.16	0.0	0.0	0.00013935	2.508e-05	0.00057971	0.00057971
Jackson	1.101	30.67	96.67	0.18	4.16	4.16	5.01e-06	0.00013969	0.00044028	8.2e-07	1.895e-05	1.895e-05
