Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-29	1.036	56.036	1.0	3.0
2020-05-30	1.126	57.162	0.991	3.991
2020-05-31	1.217	58.379	0.978	4.969
2020-06-01	1.304	59.683	0.963	5.932
2020-06-02	1.378	61.061	0.945	6.877
2020-06-03	1.436	62.497	0.922	7.799
2020-06-04	1.469	63.966	0.898	8.697
2020-06-05	1.488	65.454	0.874	9.571
2020-06-06	1.494	66.948	0.85	10.421
2020-06-07	1.491	68.439	0.829	11.25
2020-06-08	1.477	69.916	0.808	12.058
2020-06-09	1.458	71.374	0.788	12.846
2020-06-10	1.436	72.81	0.766	13.612
2020-06-11	1.408	74.218	0.741	14.353
2020-06-12	1.375	75.593	0.715	15.068
2020-06-13	1.339	76.932	0.687	15.755
2020-06-14	1.303	78.235	0.659	16.414
2020-06-15	1.268	79.503	0.631	17.045
2020-06-16	1.235	80.738	0.604	17.649
2020-06-17	1.205	81.943	0.577	18.226
2020-06-18	1.175	83.118	0.55	18.776
2020-06-19	1.141	84.259	0.524	19.3
2020-06-20	1.105	85.364	0.499	19.799
2020-06-21	1.066	86.43	0.474	20.273
2020-06-22	1.024	87.454	0.451	20.724
2020-06-23	0.983	88.437	0.427	21.151
2020-06-24	0.941	89.378	0.405	21.556
2020-06-25	0.9	90.278	0.384	21.94
2020-06-26	0.859	91.137	0.364	22.304
2020-06-27	0.82	91.957	0.345	22.649
2020-06-28	0.782	92.739	0.327	22.976
2020-06-29	0.744	93.483	0.309	23.285
2020-06-30	0.707	94.19	0.291	23.576
2020-07-01	0.672	94.862	0.273	23.849
2020-07-02	0.637	95.499	0.256	24.105
2020-07-03	0.604	96.103	0.238	24.343
2020-07-04	0.573	96.676	0.221	24.564
2020-07-05	0.543	97.219	0.205	24.769
2020-07-06	0.515	97.734	0.191	24.96
2020-07-07	0.487	98.221	0.179	25.139
2020-07-08	0.46	98.681	0.168	25.307
2020-07-09	0.434	99.115	0.159	25.466
2020-07-10	0.407	99.522	0.15	25.616
2020-07-11	0.381	99.903	0.142	25.758
2020-07-12	0.355	100.258	0.134	25.892
2020-07-13	0.329	100.587	0.125	26.017
2020-07-14	0.306	100.893	0.117	26.134
2020-07-15	0.284	101.177	0.108	26.242
2020-07-16	0.266	101.443	0.101	26.343
2020-07-17	0.25	101.693	0.094	26.437
2020-07-18	0.237	101.93	0.088	26.525
2020-07-19	0.224	102.154	0.083	26.608
2020-07-20	0.212	102.366	0.078	26.686
2020-07-21	0.199	102.565	0.073	26.759
2020-07-22	0.187	102.752	0.068	26.827
2020-07-23	0.174	102.926	0.063	26.89
2020-07-24	0.162	103.088	0.058	26.948
2020-07-25	0.15	103.238	0.053	27.001
2020-07-26	0.14	103.378	0.048	27.049
2020-07-27	0.131	103.509	0.043	27.092
2020-07-28	0.123	103.632	0.039	27.131
2020-07-29	0.116	103.748	0.035	27.166
2020-07-30	0.108	103.856	0.031	27.197
2020-07-31	0.101	103.957	0.028	27.225
2020-08-01	0.094	104.051	0.025	27.25
2020-08-02	0.087	104.138	0.021	27.271
2020-08-03	0.079	104.217	0.018	27.289
2020-08-04	0.072	104.289	0.015	27.304
2020-08-05	0.065	104.354	0.012	27.316
2020-08-06	0.058	104.412	0.008	27.324
2020-08-07	0.052	104.464	0.005	27.329
2020-08-08	0.047	104.511	0.003	27.332
2020-08-09	0.041	104.552	0.002	27.334
2020-08-10	0.037	104.589	0.001	27.335
2020-08-11	0.032	104.621	0.001	27.336
2020-08-12	0.027	104.648	0.001	27.337
2020-08-13	0.022	104.67	0.001	27.338
2020-08-14	0.017	104.687	0.0	27.338
2020-08-15	0.012	104.699	0.0	27.338
2020-08-16	0.008	104.707	0.0	27.338
2020-08-17	0.005	104.712	0.0	27.338
2020-08-18	0.003	104.715	0.0	27.338
2020-08-19	0.002	104.717	0.0	27.338
2020-08-20	0.001	104.718	0.0	27.338
2020-08-21	0.001	104.719	0.0	27.338
2020-08-22	0.001	104.72	0.0	27.338
2020-08-23	0.001	104.721	0.0	27.338
2020-08-24	0.001	104.722	0.0	27.338
2020-08-25	0.0	104.722	0.0	27.338
2020-08-26	0.0	104.722	0.0	27.338
2020-08-27	0.0	104.722	0.0	27.338
2020-08-28	0.0	104.722	0.0	27.338
2020-08-29	0.0	104.722	0.0	27.338
2020-08-30	0.0	104.722	0.0	27.338
