Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-26	18.951	1141.951	2.516	65.516
2020-05-27	18.504	1160.455	2.763	68.279
2020-05-28	18.021	1178.476	3.013	71.292
2020-05-29	17.54	1196.016	3.273	74.565
2020-05-30	17.062	1213.078	3.56	78.125
2020-05-31	16.622	1229.7	3.846	81.971
2020-06-01	16.218	1245.918	4.122	86.093
2020-06-02	15.808	1261.726	4.357	90.45
2020-06-03	15.359	1277.085	4.539	94.989
2020-06-04	14.872	1291.957	4.644	99.633
2020-06-05	14.347	1306.304	4.704	104.337
2020-06-06	13.787	1320.091	4.721	109.058
2020-06-07	13.226	1333.317	4.712	113.77
2020-06-08	12.665	1345.982	4.669	118.439
2020-06-09	12.11	1358.092	4.608	123.047
2020-06-10	11.566	1369.658	4.538	127.585
2020-06-11	11.039	1380.697	4.451	132.036
2020-06-12	10.518	1391.215	4.346	136.382
2020-06-13	10.011	1401.226	4.233	140.615
2020-06-14	9.516	1410.742	4.12	144.735
2020-06-15	9.04	1419.782	4.007	148.742
2020-06-16	8.576	1428.358	3.904	152.646
2020-06-17	8.134	1436.492	3.809	156.455
2020-06-18	7.713	1444.205	3.713	160.168
2020-06-19	7.311	1451.516	3.607	163.775
2020-06-20	6.925	1458.441	3.493	167.268
2020-06-21	6.551	1464.992	3.37	170.638
2020-06-22	6.19	1471.182	3.238	173.876
2020-06-23	5.835	1477.017	3.106	176.982
2020-06-24	5.483	1482.5	2.975	179.957
2020-06-25	5.131	1487.631	2.844	182.801
2020-06-26	4.778	1492.409	2.716	185.517
2020-06-27	4.432	1496.841	2.593	188.11
2020-06-28	4.111	1500.952	2.47	190.58
2020-06-29	3.828	1504.78	2.351	192.931
2020-06-30	3.582	1508.362	2.235	195.166
2020-07-01	3.371	1511.733	2.123	197.289
2020-07-02	3.188	1514.921	2.014	199.303
2020-07-03	3.018	1517.939	1.91	201.213
2020-07-04	2.849	1520.788	1.812	203.025
2020-07-05	2.68	1523.468	1.717	204.742
2020-07-06	2.511	1525.979	1.626	206.368
2020-07-07	2.342	1528.321	1.539	207.907
2020-07-08	2.176	1530.497	1.454	209.361
2020-07-09	2.025	1532.522	1.37	210.731
2020-07-10	1.889	1534.411	1.288	212.019
2020-07-11	1.767	1536.178	1.205	213.224
2020-07-12	1.657	1537.835	1.122	214.346
2020-07-13	1.558	1539.393	1.041	215.387
2020-07-14	1.46	1540.853	0.966	216.353
2020-07-15	1.362	1542.215	0.899	217.252
2020-07-16	1.263	1543.478	0.841	218.093
2020-07-17	1.165	1544.643	0.792	218.885
2020-07-18	1.067	1545.71	0.749	219.634
2020-07-19	0.968	1546.678	0.709	220.343
2020-07-20	0.872	1547.55	0.669	221.012
2020-07-21	0.782	1548.332	0.629	221.641
2020-07-22	0.701	1549.033	0.59	222.231
2020-07-23	0.626	1549.659	0.55	222.781
2020-07-24	0.557	1550.216	0.511	223.292
2020-07-25	0.493	1550.709	0.476	223.768
2020-07-26	0.429	1551.138	0.444	224.212
2020-07-27	0.365	1551.503	0.415	224.627
2020-07-28	0.301	1551.804	0.389	225.016
2020-07-29	0.235	1552.039	0.366	225.382
2020-07-30	0.167	1552.206	0.343	225.725
2020-07-31	0.107	1552.313	0.32	226.045
2020-08-01	0.066	1552.379	0.297	226.342
2020-08-02	0.042	1552.421	0.274	226.616
2020-08-03	0.028	1552.449	0.251	226.867
2020-08-04	0.02	1552.469	0.227	227.094
2020-08-05	0.015	1552.484	0.205	227.299
2020-08-06	0.012	1552.496	0.184	227.483
2020-08-07	0.01	1552.506	0.165	227.648
2020-08-08	0.008	1552.514	0.147	227.795
2020-08-09	0.006	1552.52	0.131	227.926
2020-08-10	0.004	1552.524	0.116	228.042
2020-08-11	0.0	1552.524	0.101	228.143
2020-08-12	0.0	1552.524	0.086	228.229
2020-08-13	0.0	1552.524	0.071	228.3
2020-08-14	0.0	1552.524	0.055	228.355
2020-08-15	0.0	1552.524	0.039	228.394
2020-08-16	0.0	1552.524	0.025	228.419
2020-08-17	0.0	1552.524	0.016	228.435
2020-08-18	0.0	1552.524	0.01	228.445
2020-08-19	0.0	1552.524	0.006	228.451
2020-08-20	0.0	1552.524	0.005	228.456
2020-08-21	0.0	1552.524	0.004	228.46
2020-08-22	0.0	1552.524	0.003	228.463
2020-08-23	0.0	1552.524	0.002	228.465
2020-08-24	0.0	1552.524	0.002	228.467
2020-08-25	0.0	1552.524	0.001	228.468
2020-08-26	0.0	1552.524	0.0	228.468
2020-08-27	0.0	1552.524	0.0	228.468
2020-08-28	0.0	1552.524	0.0	228.468
2020-08-29	0.0	1552.524	0.0	228.468
2020-08-30	0.0	1552.524	0.0	228.468
