Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-22	32.733	4031.733	2.324	348.324
2020-06-23	31.153	4062.886	2.492	350.816
2020-06-24	29.614	4092.5	2.634	353.45
2020-06-25	28.131	4120.631	2.744	356.194
2020-06-26	26.689	4147.32	2.807	359.001
2020-06-27	25.314	4172.634	2.843	361.844
2020-06-28	24.003	4196.637	2.854	364.698
2020-06-29	22.753	4219.39	2.848	367.546
2020-06-30	21.549	4240.939	2.822	370.368
2020-07-01	20.388	4261.327	2.785	373.153
2020-07-02	19.262	4280.589	2.743	375.896
2020-07-03	18.158	4298.747	2.69	378.586
2020-07-04	17.062	4315.809	2.627	381.213
2020-07-05	15.967	4331.776	2.558	383.771
2020-07-06	14.87	4346.646	2.49	386.261
2020-07-07	13.793	4360.439	2.422	388.683
2020-07-08	12.794	4373.233	2.36	391.043
2020-07-09	11.914	4385.147	2.302	393.345
2020-07-10	11.149	4396.296	2.244	395.589
2020-07-11	10.491	4406.787	2.18	397.769
2020-07-12	9.92	4416.707	2.111	399.88
2020-07-13	9.391	4426.098	2.037	401.917
2020-07-14	8.866	4434.964	1.957	403.874
2020-07-15	8.341	4443.305	1.878	405.752
2020-07-16	7.815	4451.12	1.798	407.55
2020-07-17	7.289	4458.409	1.719	409.269
2020-07-18	6.773	4465.182	1.642	410.911
2020-07-19	6.302	4471.484	1.567	412.478
2020-07-20	5.878	4477.362	1.493	413.971
2020-07-21	5.497	4482.859	1.421	415.392
2020-07-22	5.157	4488.016	1.351	416.743
2020-07-23	4.849	4492.865	1.283	418.026
2020-07-24	4.543	4497.408	1.218	419.244
2020-07-25	4.238	4501.646	1.155	420.399
2020-07-26	3.932	4505.578	1.095	421.494
2020-07-27	3.626	4509.204	1.038	422.532
2020-07-28	3.319	4512.523	0.983	423.515
2020-07-29	3.012	4515.535	0.93	424.445
2020-07-30	2.713	4518.248	0.879	425.324
2020-07-31	2.435	4520.683	0.828	426.152
2020-08-01	2.181	4522.864	0.778	426.93
2020-08-02	1.948	4524.812	0.728	427.658
2020-08-03	1.735	4526.547	0.678	428.336
2020-08-04	1.534	4528.081	0.629	428.965
2020-08-05	1.336	4529.417	0.584	429.549
2020-08-06	1.137	4530.554	0.543	430.092
2020-08-07	0.936	4531.49	0.509	430.601
2020-08-08	0.731	4532.221	0.479	431.08
2020-08-09	0.519	4532.74	0.453	431.533
2020-08-10	0.334	4533.074	0.428	431.961
2020-08-11	0.206	4533.28	0.404	432.365
2020-08-12	0.13	4533.41	0.38	432.745
2020-08-13	0.086	4533.496	0.357	433.102
2020-08-14	0.061	4533.557	0.333	433.435
2020-08-15	0.047	4533.604	0.309	433.744
2020-08-16	0.038	4533.642	0.287	434.031
2020-08-17	0.03	4533.672	0.268	434.299
2020-08-18	0.023	4533.695	0.251	434.55
2020-08-19	0.018	4533.713	0.235	434.785
2020-08-20	0.013	4533.726	0.221	435.006
2020-08-21	0.0	4533.726	0.207	435.213
2020-08-22	0.0	4533.726	0.193	435.406
2020-08-23	0.0	4533.726	0.179	435.585
2020-08-24	0.0	4533.726	0.165	435.75
2020-08-25	0.0	4533.726	0.151	435.901
2020-08-26	0.0	4533.726	0.137	436.038
2020-08-27	0.0	4533.726	0.124	436.162
2020-08-28	0.0	4533.726	0.111	436.273
2020-08-29	0.0	4533.726	0.099	436.372
2020-08-30	0.0	4533.726	0.089	436.461
2020-08-31	0.0	4533.726	0.079	436.54
2020-09-01	0.0	4533.726	0.07	436.61
2020-09-02	0.0	4533.726	0.061	436.671
2020-09-03	0.0	4533.726	0.052	436.723
2020-09-04	0.0	4533.726	0.043	436.766
2020-09-05	0.0	4533.726	0.033	436.799
2020-09-06	0.0	4533.726	0.024	436.823
2020-09-07	0.0	4533.726	0.015	436.838
2020-09-08	0.0	4533.726	0.009	436.847
2020-09-09	0.0	4533.726	0.006	436.853
2020-09-10	0.0	4533.726	0.004	436.857
2020-09-11	0.0	4533.726	0.003	436.86
2020-09-12	0.0	4533.726	0.002	436.862
2020-09-13	0.0	4533.726	0.002	436.864
2020-09-14	0.0	4533.726	0.001	436.865
2020-09-15	0.0	4533.726	0.001	436.866
2020-09-16	0.0	4533.726	0.001	436.867
