Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Potter	0.726	3.978	14.978	51.267	637.903	637.903	4.368e-05	0.00023932	0.00090109	0.00308429	0.03837703	0.03837703
Cumberland	4.545	56.551	721.551	1.003	11.283	68.283	1.808e-05	0.00022492	0.00286987	3.99e-06	4.488e-05	0.00027159
Pike	1.478	8.098	489.098	0.0	0.888	20.888	2.642e-05	0.00014478	0.00874435	0.0	1.588e-05	0.00037345
Forest	0.0	0.0	7.0	0.0	0.888	0.888	0.0	0.0	0.00096167	0.0	0.00012199	0.00012199
Wayne	0.287	3.576	126.576	0.264	2.55	11.55	5.6e-06	6.974e-05	0.00246852	5.15e-06	4.973e-05	0.00022525
Fulton	0.05	0.626	16.626	0.0	0.0	1.0	3.44e-06	4.31e-05	0.0011448	0.0	0.0	6.886e-05
Lackawanna	2.869	54.2	1633.2	2.092	26.147	213.147	1.361e-05	0.00025712	0.00774789	9.92e-06	0.00012404	0.00101117
Dauphin	24.391	298.901	1749.901	1.667	20.743	110.743	8.802e-05	0.00107869	0.00631512	6.02e-06	7.486e-05	0.00039965
Huntingdon	0.672	7.558	243.558	0.883	6.579	10.579	1.488e-05	0.00016733	0.00539227	1.955e-05	0.00014566	0.00023421
Somerset	0.122	1.521	40.521	0.0	0.0	1.0	1.65e-06	2.057e-05	0.00054794	0.0	0.0	1.352e-05
Cameron	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.00044524	0.0	0.0	0.0
Montgomery	59.944	745.866	8287.866	6.23	77.521	801.521	7.234e-05	0.00090015	0.0100022	7.52e-06	9.356e-05	0.00096731
Tioga	1.024	7.445	26.445	0.0	0.0	2.0	2.512e-05	0.00018264	0.00064875	0.0	0.0	4.906e-05
Washington	0.157	2.217	148.217	0.091	1.16	7.16	7.6e-07	1.069e-05	0.00071483	4.4e-07	5.59e-06	3.453e-05
Bedford	0.457	5.285	48.285	0.0	0.0	2.0	9.49e-06	0.0001097	0.00100226	0.0	0.0	4.151e-05
Susquehanna	1.717	21.368	154.368	0.028	0.269	16.269	4.23e-05	0.00052645	0.0038032	6.9e-07	6.63e-06	0.00040082
Erie	9.908	121.427	484.427	0.15	1.315	6.315	3.642e-05	0.00044632	0.00178058	5.5e-07	4.83e-06	2.321e-05
Bucks	22.299	280.247	5523.247	4.768	59.326	588.326	3.55e-05	0.00044611	0.00879225	7.59e-06	9.444e-05	0.00093653
Carbon	1.162	14.244	262.244	0.507	4.456	28.456	1.809e-05	0.00022178	0.00408308	7.89e-06	6.938e-05	0.00044305
Bradford	0.002	0.18	46.18	0.0	0.0	3.0	3e-08	2.96e-06	0.00075913	0.0	0.0	4.932e-05
Fayette	0.0	0.056	95.056	0.0	0.0	4.0	0.0	4.3e-07	0.00072873	0.0	0.0	3.067e-05
