Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-22	3.782	1131.782	0.0	0.0
2020-06-23	3.747	1135.529	0.0	0.0
2020-06-24	3.699	1139.228	0.0	0.0
2020-06-25	3.643	1142.871	0.0	0.0
2020-06-26	3.573	1146.444	0.0	0.0
2020-06-27	3.488	1149.932	0.0	0.0
2020-06-28	3.397	1153.329	0.0	0.0
2020-06-29	3.307	1156.636	0.0	0.0
2020-06-30	3.217	1159.853	0.0	0.0
2020-07-01	3.134	1162.987	0.0	0.0
2020-07-02	3.058	1166.045	0.0	0.0
2020-07-03	2.98	1169.025	0.0	0.0
2020-07-04	2.896	1171.921	0.0	0.0
2020-07-05	2.804	1174.725	0.0	0.0
2020-07-06	2.705	1177.43	0.0	0.0
2020-07-07	2.599	1180.029	0.0	0.0
2020-07-08	2.493	1182.522	0.0	0.0
2020-07-09	2.388	1184.91	0.0	0.0
2020-07-10	2.283	1187.193	0.0	0.0
2020-07-11	2.181	1189.374	0.0	0.0
2020-07-12	2.081	1191.455	0.0	0.0
2020-07-13	1.983	1193.438	0.0	0.0
2020-07-14	1.887	1195.325	0.0	0.0
2020-07-15	1.794	1197.119	0.0	0.0
2020-07-16	1.704	1198.823	0.0	0.0
2020-07-17	1.617	1200.44	0.0	0.0
2020-07-18	1.534	1201.974	0.0	0.0
2020-07-19	1.454	1203.428	0.0	0.0
2020-07-20	1.378	1204.806	0.0	0.0
2020-07-21	1.305	1206.111	0.0	0.0
2020-07-22	1.235	1207.346	0.0	0.0
2020-07-23	1.167	1208.513	0.0	0.0
2020-07-24	1.1	1209.613	0.0	0.0
2020-07-25	1.034	1210.647	0.0	0.0
2020-07-26	0.967	1211.614	0.0	0.0
2020-07-27	0.901	1212.515	0.0	0.0
2020-07-28	0.836	1213.351	0.0	0.0
2020-07-29	0.775	1214.126	0.0	0.0
2020-07-30	0.722	1214.848	0.0	0.0
2020-07-31	0.675	1215.523	0.0	0.0
2020-08-01	0.636	1216.159	0.0	0.0
2020-08-02	0.601	1216.76	0.0	0.0
2020-08-03	0.569	1217.329	0.0	0.0
2020-08-04	0.537	1217.866	0.0	0.0
2020-08-05	0.505	1218.371	0.0	0.0
2020-08-06	0.473	1218.844	0.0	0.0
2020-08-07	0.442	1219.286	0.0	0.0
2020-08-08	0.41	1219.696	0.0	0.0
2020-08-09	0.382	1220.078	0.0	0.0
2020-08-10	0.356	1220.434	0.0	0.0
2020-08-11	0.333	1220.767	0.0	0.0
2020-08-12	0.312	1221.079	0.0	0.0
2020-08-13	0.294	1221.373	0.0	0.0
2020-08-14	0.275	1221.648	0.0	0.0
2020-08-15	0.257	1221.905	0.0	0.0
2020-08-16	0.238	1222.143	0.0	0.0
2020-08-17	0.22	1222.363	0.0	0.0
2020-08-18	0.201	1222.564	0.0	0.0
2020-08-19	0.182	1222.746	0.0	0.0
2020-08-20	0.164	1222.91	0.0	0.0
2020-08-21	0.148	1223.058	0.0	0.0
2020-08-22	0.132	1223.19	0.0	0.0
2020-08-23	0.118	1223.308	0.0	0.0
2020-08-24	0.105	1223.413	0.0	0.0
2020-08-25	0.093	1223.506	0.0	0.0
2020-08-26	0.081	1223.587	0.0	0.0
2020-08-27	0.069	1223.656	0.0	0.0
2020-08-28	0.057	1223.713	0.0	0.0
2020-08-29	0.044	1223.757	0.0	0.0
2020-08-30	0.031	1223.788	0.0	0.0
2020-08-31	0.02	1223.808	0.0	0.0
2020-09-01	0.012	1223.82	0.0	0.0
2020-09-02	0.008	1223.828	0.0	0.0
2020-09-03	0.005	1223.833	0.0	0.0
2020-09-04	0.004	1223.837	0.0	0.0
2020-09-05	0.003	1223.84	0.0	0.0
2020-09-06	0.002	1223.842	0.0	0.0
2020-09-07	0.002	1223.844	0.0	0.0
2020-09-08	0.001	1223.845	0.0	0.0
2020-09-09	0.001	1223.846	0.0	0.0
2020-09-10	0.001	1223.847	0.0	0.0
