Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-18	8.907	233.907	6.133	6.133
2020-04-19	8.154	242.061	6.077	12.21
2020-04-20	7.4	249.461	5.998	18.208
2020-04-21	6.665	256.126	5.907	24.115
2020-04-22	5.981	262.107	5.794	29.909
2020-04-23	5.357	267.464	5.657	35.566
2020-04-24	4.785	272.249	5.509	41.075
2020-04-25	4.261	276.51	5.362	46.437
2020-04-26	3.768	280.278	5.216	51.653
2020-04-27	3.281	283.559	5.081	56.734
2020-04-28	2.792	286.351	4.958	61.692
2020-04-29	2.298	288.649	4.833	66.525
2020-04-30	1.796	290.445	4.696	71.221
2020-05-01	1.275	291.72	4.547	75.768
2020-05-02	0.82	292.54	4.386	80.154
2020-05-03	0.506	293.046	4.215	84.369
2020-05-04	0.319	293.365	4.043	88.412
2020-05-05	0.211	293.576	3.872	92.284
2020-05-06	0.151	293.727	3.702	95.986
2020-05-07	0.116	293.843	3.536	99.522
2020-05-08	0.093	293.936	3.375	102.897
2020-05-09	0.074	294.01	3.216	106.113
2020-05-10	0.058	294.068	3.06	109.173
2020-05-11	0.044	294.112	2.909	112.082
2020-05-12	0.032	294.144	2.764	114.846
2020-05-13	0.0	294.144	0.0	114.846
2020-05-14	0.0	294.144	0.0	114.846
2020-05-15	0.0	294.144	0.0	114.846
2020-05-16	0.0	294.144	0.0	114.846
2020-05-17	0.0	294.144	0.0	114.846
2020-05-18	0.0	294.144	0.0	114.846
2020-05-19	0.0	294.144	0.0	114.846
2020-05-20	0.0	294.144	0.0	114.846
2020-05-21	0.0	294.144	0.0	114.846
2020-05-22	0.0	294.144	0.0	114.846
2020-05-23	0.0	294.144	0.0	114.846
2020-05-24	0.0	294.144	0.0	114.846
2020-05-25	0.0	294.144	0.0	114.846
2020-05-26	0.0	294.144	0.0	114.846
2020-05-27	0.0	294.144	0.0	114.846
2020-05-28	0.0	294.144	0.0	114.846
2020-05-29	0.0	294.144	0.0	114.846
2020-05-30	0.0	294.144	0.0	114.846
2020-05-31	0.0	294.144	0.0	114.846
2020-06-01	0.0	294.144	0.0	114.846
2020-06-02	0.0	294.144	0.0	114.846
2020-06-03	0.0	294.144	0.0	114.846
2020-06-04	0.0	294.144	0.0	114.846
2020-06-05	0.0	294.144	0.0	114.846
2020-06-06	0.0	294.144	0.0	114.846
2020-06-07	0.0	294.144	0.0	114.846
2020-06-08	0.0	294.144	0.0	114.846
2020-06-09	0.0	294.144	0.0	114.846
2020-06-10	0.0	294.144	0.0	114.846
2020-06-11	0.0	294.144	0.0	114.846
2020-06-12	0.0	294.144	0.0	114.846
2020-06-13	0.0	294.144	0.0	114.846
2020-06-14	0.0	294.144	0.0	114.846
2020-06-15	0.0	294.144	0.0	114.846
2020-06-16	0.0	294.144	0.0	114.846
2020-06-17	0.0	294.144	0.0	114.846
2020-06-18	0.0	294.144	0.0	114.846
2020-06-19	0.0	294.144	0.0	114.846
2020-06-20	0.0	294.144	0.0	114.846
2020-06-21	0.0	294.144	0.0	114.846
2020-06-22	0.0	294.144	0.0	114.846
2020-06-23	0.0	294.144	0.0	114.846
2020-06-24	0.0	294.144	0.0	114.846
2020-06-25	0.0	294.144	0.0	114.846
2020-06-26	0.0	294.144	0.0	114.846
2020-06-27	0.0	294.144	0.0	114.846
2020-06-28	0.0	294.144	0.0	114.846
2020-06-29	0.0	294.144	0.0	114.846
2020-06-30	0.0	294.144	0.0	114.846
2020-07-01	0.0	294.144	0.0	114.846
2020-07-02	0.0	294.144	0.0	114.846
2020-07-03	0.0	294.144	0.0	114.846
2020-07-04	0.0	294.144	0.0	114.846
2020-07-05	0.0	294.144	0.0	114.846
2020-07-06	0.0	294.144	0.0	114.846
2020-07-07	0.0	294.144	0.0	114.846
2020-07-08	0.0	294.144	0.0	114.846
2020-07-09	0.0	294.144	0.0	114.846
2020-07-10	0.0	294.144	0.0	114.846
2020-07-11	0.0	294.144	0.0	114.846
2020-07-12	0.0	294.144	0.0	114.846
2020-07-13	0.0	294.144	0.0	114.846
2020-07-14	0.0	294.144	0.0	114.846
2020-07-15	0.0	294.144	0.0	114.846
2020-07-16	0.0	294.144	0.0	114.846
2020-07-17	0.0	294.144	0.0	114.846
2020-07-18	0.0	294.144	0.0	114.846
2020-07-19	0.0	294.144	0.0	114.846
2020-07-20	0.0	294.144	0.0	114.846
2020-07-21	0.0	294.144	0.0	114.846
2020-07-22	0.0	294.144	0.0	114.846
2020-07-23	0.0	294.144	0.0	114.846
2020-07-24	0.0	294.144	0.0	114.846
2020-07-25	0.0	294.144	0.0	114.846
2020-07-26	0.0	294.144	0.0	114.846
2020-07-27	0.0	294.144	0.0	114.846
2020-07-28	0.0	294.144	0.0	114.846
2020-07-29	0.0	294.144	0.0	114.846
2020-07-30	0.0	294.144	0.0	114.846
2020-07-31	0.0	294.144	0.0	114.846
2020-08-01	0.0	294.144	0.0	114.846
2020-08-02	0.0	294.144	0.0	114.846
2020-08-03	0.0	294.144	0.0	114.846
2020-08-04	0.0	294.144	0.0	114.846
2020-08-05	0.0	294.144	0.0	114.846
2020-08-06	0.0	294.144	0.0	114.846
2020-08-07	0.0	294.144	0.0	114.846
2020-08-08	0.0	294.144	0.0	114.846
2020-08-09	0.0	294.144	0.0	114.846
2020-08-10	0.0	294.144	0.0	114.846
2020-08-11	0.0	294.144	0.0	114.846
2020-08-12	0.0	294.144	0.0	114.846
2020-08-13	0.0	294.144	0.0	114.846
2020-08-14	0.0	294.144	0.0	114.846
2020-08-15	0.0	294.144	0.0	114.846
2020-08-16	0.0	294.144	0.0	114.846
2020-08-17	0.0	294.144	0.0	114.846
2020-08-18	0.0	294.144	0.0	114.846
2020-08-19	0.0	294.144	0.0	114.846
2020-08-20	0.0	294.144	0.0	114.846
2020-08-21	0.0	294.144	0.0	114.846
2020-08-22	0.0	294.144	0.0	114.846
2020-08-23	0.0	294.144	0.0	114.846
2020-08-24	0.0	294.144	0.0	114.846
2020-08-25	0.0	294.144	0.0	114.846
2020-08-26	0.0	294.144	0.0	114.846
2020-08-27	0.0	294.144	0.0	114.846
2020-08-28	0.0	294.144	0.0	114.846
2020-08-29	0.0	294.144	0.0	114.846
2020-08-30	0.0	294.144	0.0	114.846
