Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-19	3.196	512.196	0.084	11.084
2020-05-20	3.006	515.202	0.079	11.163
2020-05-21	2.817	518.019	0.074	11.237
2020-05-22	2.627	520.646	0.068	11.305
2020-05-23	2.441	523.087	0.063	11.368
2020-05-24	2.271	525.358	0.059	11.427
2020-05-25	2.119	527.477	0.055	11.482
2020-05-26	1.981	529.458	0.052	11.534
2020-05-27	1.859	531.317	0.049	11.583
2020-05-28	1.748	533.065	0.046	11.629
2020-05-29	1.638	534.703	0.044	11.673
2020-05-30	1.527	536.23	0.041	11.714
2020-05-31	1.417	537.647	0.039	11.753
2020-06-01	1.307	538.954	0.036	11.789
2020-06-02	1.196	540.15	0.034	11.823
2020-06-03	1.086	541.236	0.031	11.854
2020-06-04	0.978	542.214	0.029	11.883
2020-06-05	0.878	543.092	0.027	11.91
2020-06-06	0.786	543.878	0.026	11.936
2020-06-07	0.702	544.58	0.024	11.96
2020-06-08	0.625	545.205	0.022	11.982
2020-06-09	0.553	545.758	0.021	12.003
2020-06-10	0.481	546.239	0.019	12.022
2020-06-11	0.41	546.649	0.018	12.04
2020-06-12	0.337	546.986	0.016	12.056
2020-06-13	0.264	547.25	0.015	12.071
2020-06-14	0.187	547.437	0.013	12.084
2020-06-15	0.12	547.557	0.012	12.096
2020-06-16	0.074	547.631	0.011	12.107
2020-06-17	0.047	547.678	0.01	12.117
2020-06-18	0.031	547.709	0.009	12.126
2020-06-19	0.022	547.731	0.008	12.134
2020-06-20	0.017	547.748	0.007	12.141
2020-06-21	0.014	547.762	0.006	12.147
2020-06-22	0.011	547.773	0.005	12.152
2020-06-23	0.008	547.781	0.004	12.156
2020-06-24	0.006	547.787	0.003	12.159
2020-06-25	0.005	547.792	0.002	12.161
2020-06-26	0.0	547.792	0.001	12.162
2020-06-27	0.0	547.792	0.001	12.163
2020-06-28	0.0	547.792	0.0	12.163
2020-06-29	0.0	547.792	0.0	12.163
2020-06-30	0.0	547.792	0.0	12.163
2020-07-01	0.0	547.792	0.0	12.163
2020-07-02	0.0	547.792	0.0	12.163
2020-07-03	0.0	547.792	0.0	12.163
2020-07-04	0.0	547.792	0.0	12.163
2020-07-05	0.0	547.792	0.0	12.163
2020-07-06	0.0	547.792	0.0	12.163
2020-07-07	0.0	547.792	0.0	12.163
2020-07-08	0.0	547.792	0.0	12.163
2020-07-09	0.0	547.792	0.0	12.163
2020-07-10	0.0	547.792	0.0	12.163
2020-07-11	0.0	547.792	0.0	12.163
2020-07-12	0.0	547.792	0.0	12.163
2020-07-13	0.0	547.792	0.0	12.163
2020-07-14	0.0	547.792	0.0	12.163
2020-07-15	0.0	547.792	0.0	12.163
2020-07-16	0.0	547.792	0.0	12.163
2020-07-17	0.0	547.792	0.0	12.163
2020-07-18	0.0	547.792	0.0	12.163
2020-07-19	0.0	547.792	0.0	12.163
2020-07-20	0.0	547.792	0.0	12.163
2020-07-21	0.0	547.792	0.0	12.163
2020-07-22	0.0	547.792	0.0	12.163
2020-07-23	0.0	547.792	0.0	12.163
2020-07-24	0.0	547.792	0.0	12.163
2020-07-25	0.0	547.792	0.0	12.163
2020-07-26	0.0	547.792	0.0	12.163
2020-07-27	0.0	547.792	0.0	12.163
2020-07-28	0.0	547.792	0.0	12.163
2020-07-29	0.0	547.792	0.0	12.163
2020-07-30	0.0	547.792	0.0	12.163
2020-07-31	0.0	547.792	0.0	12.163
2020-08-01	0.0	547.792	0.0	12.163
2020-08-02	0.0	547.792	0.0	12.163
2020-08-03	0.0	547.792	0.0	12.163
2020-08-04	0.0	547.792	0.0	12.163
2020-08-05	0.0	547.792	0.0	12.163
2020-08-06	0.0	547.792	0.0	12.163
2020-08-07	0.0	547.792	0.0	12.163
2020-08-08	0.0	547.792	0.0	12.163
2020-08-09	0.0	547.792	0.0	12.163
2020-08-10	0.0	547.792	0.0	12.163
2020-08-11	0.0	547.792	0.0	12.163
2020-08-12	0.0	547.792	0.0	12.163
2020-08-13	0.0	547.792	0.0	12.163
2020-08-14	0.0	547.792	0.0	12.163
2020-08-15	0.0	547.792	0.0	12.163
2020-08-16	0.0	547.792	0.0	12.163
2020-08-17	0.0	547.792	0.0	12.163
2020-08-18	0.0	547.792	0.0	12.163
2020-08-19	0.0	547.792	0.0	12.163
2020-08-20	0.0	547.792	0.0	12.163
2020-08-21	0.0	547.792	0.0	12.163
2020-08-22	0.0	547.792	0.0	12.163
2020-08-23	0.0	547.792	0.0	12.163
2020-08-24	0.0	547.792	0.0	12.163
2020-08-25	0.0	547.792	0.0	12.163
2020-08-26	0.0	547.792	0.0	12.163
2020-08-27	0.0	547.792	0.0	12.163
2020-08-28	0.0	547.792	0.0	12.163
2020-08-29	0.0	547.792	0.0	12.163
2020-08-30	0.0	547.792	0.0	12.163
