Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-21	5.742	237.742	0.24	5.24
2020-05-22	5.983	243.725	0.272	5.512
2020-05-23	6.121	249.846	0.305	5.817
2020-05-24	6.199	256.045	0.339	6.156
2020-05-25	6.222	262.267	0.372	6.528
2020-05-26	6.21	268.477	0.406	6.934
2020-05-27	6.153	274.63	0.441	7.375
2020-05-28	6.073	280.703	0.48	7.855
2020-05-29	5.981	286.684	0.518	8.373
2020-05-30	5.866	292.55	0.555	8.928
2020-05-31	5.728	298.278	0.587	9.515
2020-06-01	5.578	303.856	0.612	10.127
2020-06-02	5.429	309.285	0.626	10.753
2020-06-03	5.281	314.566	0.634	11.387
2020-06-04	5.145	319.711	0.636	12.023
2020-06-05	5.02	324.731	0.635	12.658
2020-06-06	4.893	329.624	0.629	13.287
2020-06-07	4.754	334.378	0.621	13.908
2020-06-08	4.603	338.981	0.611	14.519
2020-06-09	4.441	343.422	0.6	15.119
2020-06-10	4.267	347.689	0.585	15.704
2020-06-11	4.094	351.783	0.57	16.274
2020-06-12	3.92	355.703	0.555	16.829
2020-06-13	3.748	359.451	0.54	17.369
2020-06-14	3.58	363.031	0.526	17.895
2020-06-15	3.417	366.448	0.513	18.408
2020-06-16	3.256	369.704	0.5	18.908
2020-06-17	3.099	372.803	0.486	19.394
2020-06-18	2.946	375.749	0.471	19.865
2020-06-19	2.798	378.547	0.454	20.319
2020-06-20	2.655	381.202	0.436	20.755
2020-06-21	2.518	383.72	0.418	21.173
2020-06-22	2.387	386.107	0.401	21.574
2020-06-23	2.263	388.37	0.383	21.957
2020-06-24	2.143	390.513	0.366	22.323
2020-06-25	2.028	392.541	0.349	22.672
2020-06-26	1.916	394.457	0.333	23.005
2020-06-27	1.806	396.263	0.317	23.322
2020-06-28	1.697	397.96	0.301	23.623
2020-06-29	1.588	399.548	0.286	23.909
2020-06-30	1.479	401.027	0.271	24.18
2020-07-01	1.372	402.399	0.257	24.437
2020-07-02	1.273	403.672	0.244	24.681
2020-07-03	1.185	404.857	0.231	24.912
2020-07-04	1.109	405.966	0.219	25.131
2020-07-05	1.043	407.009	0.207	25.338
2020-07-06	0.987	407.996	0.196	25.534
2020-07-07	0.934	408.93	0.185	25.719
2020-07-08	0.882	409.812	0.173	25.892
2020-07-09	0.83	410.642	0.162	26.054
2020-07-10	0.777	411.419	0.151	26.205
2020-07-11	0.725	412.144	0.14	26.345
2020-07-12	0.674	412.818	0.13	26.475
2020-07-13	0.627	413.445	0.121	26.596
2020-07-14	0.585	414.03	0.113	26.709
2020-07-15	0.547	414.577	0.107	26.816
2020-07-16	0.513	415.09	0.101	26.917
2020-07-17	0.482	415.572	0.095	27.012
2020-07-18	0.452	416.024	0.09	27.102
2020-07-19	0.422	416.446	0.085	27.187
2020-07-20	0.391	416.837	0.079	27.266
2020-07-21	0.361	417.198	0.074	27.34
2020-07-22	0.33	417.528	0.069	27.409
2020-07-23	0.3	417.828	0.064	27.473
2020-07-24	0.27	418.098	0.06	27.533
2020-07-25	0.242	418.34	0.056	27.589
2020-07-26	0.217	418.557	0.052	27.641
2020-07-27	0.194	418.751	0.049	27.69
2020-07-28	0.173	418.924	0.046	27.736
2020-07-29	0.153	419.077	0.043	27.779
2020-07-30	0.133	419.21	0.04	27.819
2020-07-31	0.113	419.323	0.037	27.856
2020-08-01	0.093	419.416	0.034	27.89
2020-08-02	0.073	419.489	0.031	27.921
2020-08-03	0.052	419.541	0.028	27.949
2020-08-04	0.033	419.574	0.025	27.974
2020-08-05	0.02	419.594	0.022	27.996
2020-08-06	0.013	419.607	0.02	28.016
2020-08-07	0.009	419.616	0.018	28.034
2020-08-08	0.006	419.622	0.016	28.05
2020-08-09	0.005	419.627	0.014	28.064
2020-08-10	0.004	419.631	0.012	28.076
2020-08-11	0.003	419.634	0.01	28.086
2020-08-12	0.002	419.636	0.007	28.093
2020-08-13	0.002	419.638	0.005	28.098
2020-08-14	0.001	419.639	0.003	28.101
2020-08-15	0.0	419.639	0.002	28.103
2020-08-16	0.0	419.639	0.001	28.104
2020-08-17	0.0	419.639	0.001	28.105
2020-08-18	0.0	419.639	0.001	28.106
2020-08-19	0.0	419.639	0.0	28.106
2020-08-20	0.0	419.639	0.0	28.106
2020-08-21	0.0	419.639	0.0	28.106
2020-08-22	0.0	419.639	0.0	28.106
2020-08-23	0.0	419.639	0.0	28.106
2020-08-24	0.0	419.639	0.0	28.106
2020-08-25	0.0	419.639	0.0	28.106
2020-08-26	0.0	419.639	0.0	28.106
2020-08-27	0.0	419.639	0.0	28.106
2020-08-28	0.0	419.639	0.0	28.106
2020-08-29	0.0	419.639	0.0	28.106
2020-08-30	0.0	419.639	0.0	28.106
