Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-04-17	0.818	14.818	0.0	0.0
2020-04-18	0.81	15.628	0.0	0.0
2020-04-19	0.8	16.428	0.0	0.0
2020-04-20	0.788	17.216	0.0	0.0
2020-04-21	0.772	17.988	0.0	0.0
2020-04-22	0.754	18.742	0.0	0.0
2020-04-23	0.735	19.477	0.0	0.0
2020-04-24	0.715	20.192	0.0	0.0
2020-04-25	0.695	20.887	0.0	0.0
2020-04-26	0.678	21.565	0.0	0.0
2020-04-27	0.661	22.226	0.0	0.0
2020-04-28	0.644	22.87	0.0	0.0
2020-04-29	0.626	23.496	0.0	0.0
2020-04-30	0.606	24.102	0.0	0.0
2020-05-01	0.585	24.687	0.0	0.0
2020-05-02	0.562	25.249	0.0	0.0
2020-05-03	0.539	25.788	0.0	0.0
2020-05-04	0.516	26.304	0.0	0.0
2020-05-05	0.494	26.798	0.0	0.0
2020-05-06	0.471	27.269	0.0	0.0
2020-05-07	0.45	27.719	0.0	0.0
2020-05-08	0.429	28.148	0.0	0.0
2020-05-09	0.408	28.556	0.0	0.0
2020-05-10	0.388	28.944	0.0	0.0
2020-05-11	0.368	29.312	0.0	0.0
2020-05-12	0.35	29.662	0.0	0.0
2020-05-13	0.332	29.994	0.0	0.0
2020-05-14	0.314	30.308	0.0	0.0
2020-05-15	0.298	30.606	0.0	0.0
2020-05-16	0.282	30.888	0.0	0.0
2020-05-17	0.267	31.155	0.0	0.0
2020-05-18	0.252	31.407	0.0	0.0
2020-05-19	0.238	31.645	0.0	0.0
2020-05-20	0.223	31.868	0.0	0.0
2020-05-21	0.209	32.077	0.0	0.0
2020-05-22	0.195	32.272	0.0	0.0
2020-05-23	0.181	32.453	0.0	0.0
2020-05-24	0.168	32.621	0.0	0.0
2020-05-25	0.156	32.777	0.0	0.0
2020-05-26	0.146	32.923	0.0	0.0
2020-05-27	0.137	33.06	0.0	0.0
2020-05-28	0.13	33.19	0.0	0.0
2020-05-29	0.123	33.313	0.0	0.0
2020-05-30	0.116	33.429	0.0	0.0
2020-05-31	0.109	33.538	0.0	0.0
2020-06-01	0.102	33.64	0.0	0.0
2020-06-02	0.095	33.735	0.0	0.0
2020-06-03	0.089	33.824	0.0	0.0
2020-06-04	0.083	33.907	0.0	0.0
2020-06-05	0.077	33.984	0.0	0.0
2020-06-06	0.072	34.056	0.0	0.0
2020-06-07	0.068	34.124	0.0	0.0
2020-06-08	0.064	34.188	0.0	0.0
2020-06-09	0.06	34.248	0.0	0.0
2020-06-10	0.056	34.304	0.0	0.0
2020-06-11	0.052	34.356	0.0	0.0
2020-06-12	0.047	34.403	0.0	0.0
2020-06-13	0.043	34.446	0.0	0.0
2020-06-14	0.039	34.485	0.0	0.0
2020-06-15	0.036	34.521	0.0	0.0
2020-06-16	0.032	34.553	0.0	0.0
2020-06-17	0.029	34.582	0.0	0.0
2020-06-18	0.026	34.608	0.0	0.0
2020-06-19	0.023	34.631	0.0	0.0
2020-06-20	0.02	34.651	0.0	0.0
2020-06-21	0.017	34.668	0.0	0.0
2020-06-22	0.015	34.683	0.0	0.0
2020-06-23	0.012	34.695	0.0	0.0
2020-06-24	0.01	34.705	0.0	0.0
2020-06-25	0.007	34.712	0.0	0.0
2020-06-26	0.004	34.716	0.0	0.0
2020-06-27	0.003	34.719	0.0	0.0
2020-06-28	0.002	34.721	0.0	0.0
2020-06-29	0.001	34.722	0.0	0.0
2020-06-30	0.001	34.723	0.0	0.0
2020-07-01	0.001	34.724	0.0	0.0
2020-07-02	0.0	34.724	0.0	0.0
2020-07-03	0.0	34.724	0.0	0.0
2020-07-04	0.0	34.724	0.0	0.0
2020-07-05	0.0	34.724	0.0	0.0
2020-07-06	0.0	34.724	0.0	0.0
2020-07-07	0.0	34.724	0.0	0.0
2020-07-08	0.0	34.724	0.0	0.0
2020-07-09	0.0	34.724	0.0	0.0
2020-07-10	0.0	34.724	0.0	0.0
2020-07-11	0.0	34.724	0.0	0.0
2020-07-12	0.0	34.724	0.0	0.0
2020-07-13	0.0	34.724	0.0	0.0
2020-07-14	0.0	34.724	0.0	0.0
2020-07-15	0.0	34.724	0.0	0.0
2020-07-16	0.0	34.724	0.0	0.0
2020-07-17	0.0	34.724	0.0	0.0
2020-07-18	0.0	34.724	0.0	0.0
2020-07-19	0.0	34.724	0.0	0.0
2020-07-20	0.0	34.724	0.0	0.0
2020-07-21	0.0	34.724	0.0	0.0
2020-07-22	0.0	34.724	0.0	0.0
2020-07-23	0.0	34.724	0.0	0.0
2020-07-24	0.0	34.724	0.0	0.0
2020-07-25	0.0	34.724	0.0	0.0
2020-07-26	0.0	34.724	0.0	0.0
2020-07-27	0.0	34.724	0.0	0.0
2020-07-28	0.0	34.724	0.0	0.0
2020-07-29	0.0	34.724	0.0	0.0
2020-07-30	0.0	34.724	0.0	0.0
2020-07-31	0.0	34.724	0.0	0.0
2020-08-01	0.0	34.724	0.0	0.0
2020-08-02	0.0	34.724	0.0	0.0
2020-08-03	0.0	34.724	0.0	0.0
2020-08-04	0.0	34.724	0.0	0.0
2020-08-05	0.0	34.724	0.0	0.0
2020-08-06	0.0	34.724	0.0	0.0
2020-08-07	0.0	34.724	0.0	0.0
2020-08-08	0.0	34.724	0.0	0.0
2020-08-09	0.0	34.724	0.0	0.0
2020-08-10	0.0	34.724	0.0	0.0
2020-08-11	0.0	34.724	0.0	0.0
2020-08-12	0.0	34.724	0.0	0.0
2020-08-13	0.0	34.724	0.0	0.0
2020-08-14	0.0	34.724	0.0	0.0
2020-08-15	0.0	34.724	0.0	0.0
2020-08-16	0.0	34.724	0.0	0.0
2020-08-17	0.0	34.724	0.0	0.0
2020-08-18	0.0	34.724	0.0	0.0
2020-08-19	0.0	34.724	0.0	0.0
2020-08-20	0.0	34.724	0.0	0.0
2020-08-21	0.0	34.724	0.0	0.0
2020-08-22	0.0	34.724	0.0	0.0
2020-08-23	0.0	34.724	0.0	0.0
2020-08-24	0.0	34.724	0.0	0.0
2020-08-25	0.0	34.724	0.0	0.0
2020-08-26	0.0	34.724	0.0	0.0
2020-08-27	0.0	34.724	0.0	0.0
2020-08-28	0.0	34.724	0.0	0.0
2020-08-29	0.0	34.724	0.0	0.0
2020-08-30	0.0	34.724	0.0	0.0
