Name	Predicted_New_Cases	Total_Predicted_New_Cases	Predicted_New_per_capita	Predicted_Total_per_capita
Georgetown	0.037	25.904	6e-07	0.00041613
McCormick	0.064	53.103	6.82e-06	0.00564327
Richland	0.759	531.022	1.83e-06	0.00128088
Berkeley	0.0	1.433	0.0	6.48e-06
Clarendon	0.157	110.09	4.67e-06	0.00326677
Cherokee	0.0	0.0	0.0	0.0
Beaufort	0.0	14.146	0.0	7.496e-05
Fairfield	0.031	22.018	1.41e-06	0.00098286
Barnwell	0.111	77.711	5.26e-06	0.00368087
Horry	0.213	148.945	6.2e-07	0.0004328
Abbeville	0.0	0.0	0.0	0.0
Lee	0.001	18.301	7e-08	0.00106758
Laurens	0.733	177.758	1.094e-05	0.00265334
Sumter	0.215	150.24	2.02e-06	0.00141055
Dillon	0.039	27.199	1.27e-06	0.00088888
Marlboro	0.023	17.317	8.7e-07	0.000656
Saluda	0.017	11.657	8.1e-07	0.0005674
Chesterfield	0.031	23.502	6.8e-07	0.00051365
Lexington	0.3	209.819	1.02e-06	0.00071117
Marion	0.013	10.621	4.1e-07	0.00034217
Oconee	0.02	14.247	2.6e-07	0.00018178
Newberry	0.017	11.657	4.3e-07	0.00030261
Calhoun	0.009	6.476	6.4e-07	0.000446
Florence	0.094	66.054	6.8e-07	0.0004781
Greenville	0.317	221.475	6.2e-07	0.00043071
Kershaw	0.0	14.778	0.0	0.0002253
Dorchester	0.0	17.558	0.0	0.00010929
Edgefield	0.0	0.0	0.0	0.0
Chester	0.03	20.723	9.2e-07	0.00064255
Colleton	0.024	16.837	6.4e-07	0.00044709
Hampton	0.0	0.0	0.0	0.0
Anderson	0.109	76.415	5.5e-07	0.00038116
Union	0.039	31.862	1.4e-06	0.00116242
Lancaster	0.0	1.586	0.0	1.663e-05
Darlington	0.07	49.217	1.05e-06	0.00073676
Greenwood	0.022	15.542	3.1e-07	0.0002197
Allendale	0.049	37.108	5.52e-06	0.00416802
Aiken	0.054	37.56	3.2e-07	0.00022172
Williamsburg	0.0	1.43	0.0	4.673e-05
Charleston	0.0	0.0	0.0	0.0
Spartanburg	0.32	224.066	1.02e-06	0.00071384
Jasper	0.0	5.249	0.0	0.0001812
York	0.196	137.289	7.2e-07	0.00050084
Bamberg	0.0	0.0	0.0	0.0
Orangeburg	0.028	19.428	3.2e-07	0.00022348
Pickens	0.024	16.837	1.9e-07	0.00013477
