Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Georgetown	0.0	0.0	36.342	0.0	0.0	2.0	0.0	0.0	0.00058382	0.0	0.0	3.213e-05
McCormick	0.024	5.667	15.512	0.0	0.0	1.0	2.55e-06	0.00060223	0.00164846	0.0	0.0	0.00010627
Richland	1.3	315.716	1272.164	0.09	17.003	41.686	3.14e-06	0.00076154	0.00306859	2.2e-07	4.101e-05	0.00010055
Berkeley	0.364	91.643	309.496	0.0	0.0	6.0	1.65e-06	0.0004145	0.00139986	0.0	0.0	2.714e-05
Clarendon	1.257	219.126	447.76	0.598	67.999	84.336	3.73e-05	0.00650226	0.01328665	1.774e-05	0.00201777	0.00250255
Cherokee	0.053	12.527	34.022	0.598	67.999	75.336	9.3e-07	0.00021947	0.00059606	1.048e-05	0.00119133	0.00131988
Beaufort	0.347	76.482	364.656	0.008	1.416	10.874	1.84e-06	0.00040528	0.00193231	4e-08	7.5e-06	5.762e-05
Fairfield	0.0	0.0	27.986	0.008	1.416	1.874	0.0	0.0	0.00124926	3.6e-07	6.321e-05	8.365e-05
Barnwell	0.007	1.716	12.878	0.008	1.416	1.874	3.3e-07	8.128e-05	0.00060998	3.8e-07	6.707e-05	8.876e-05
Horry	0.358	87.044	343.82	0.117	22.243	44.295	1.04e-06	0.00025293	0.00099905	3.4e-07	6.463e-05	0.00012871
Abbeville	11.029	907.123	968.906	0.117	22.243	32.295	0.00044941	0.03696357	0.03948111	4.77e-06	0.00090636	0.00131596
Lee	0.081	21.325	82.088	0.039	7.892	16.95	4.73e-06	0.00124402	0.00478871	2.28e-06	0.00046039	0.0009888
Laurens	0.059	13.841	44.23	0.0	0.0	1.0	8.8e-07	0.0002066	0.00066021	0.0	0.0	1.493e-05
Sumter	0.3	72.809	330.649	0.049	9.214	19.376	2.82e-06	0.00068358	0.00310434	4.6e-07	8.651e-05	0.00018191
Dillon	1.023	165.979	237.295	0.049	9.214	13.376	3.343e-05	0.00542433	0.00775499	1.6e-06	0.00030112	0.00043714
Marlboro	0.205	43.658	101.539	0.049	9.214	13.376	7.77e-06	0.00165384	0.00384647	1.86e-06	0.00034904	0.00050671
Saluda	2.793	285.499	327.488	0.049	9.214	13.376	0.00013595	0.01389695	0.01594081	2.39e-06	0.0004485	0.00065109
Chesterfield	0.107	25.314	81.481	0.049	9.214	13.376	2.34e-06	0.00055326	0.00178085	1.07e-06	0.00020138	0.00029235
Lexington	0.111	87.868	466.684	0.015	4.131	18.271	3.8e-07	0.00029783	0.00158181	5e-08	1.4e-05	6.193e-05
