Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-06-05	19.2	664.2	0.382	20.382
2020-06-06	19.645	683.845	0.429	20.811
2020-06-07	19.896	703.741	0.476	21.287
2020-06-08	19.968	723.709	0.523	21.81
2020-06-09	19.93	743.639	0.57	22.38
2020-06-10	19.747	763.386	0.619	22.999
2020-06-11	19.49	782.876	0.673	23.672
2020-06-12	19.196	802.072	0.727	24.399
2020-06-13	18.826	820.898	0.78	25.179
2020-06-14	18.382	839.28	0.824	26.003
2020-06-15	17.902	857.182	0.859	26.862
2020-06-16	17.424	874.606	0.879	27.741
2020-06-17	16.949	891.555	0.89	28.631
2020-06-18	16.512	908.067	0.893	29.524
2020-06-19	16.111	924.178	0.891	30.415
2020-06-20	15.703	939.881	0.883	31.298
2020-06-21	15.258	955.139	0.872	32.17
2020-06-22	14.774	969.913	0.859	33.029
2020-06-23	14.253	984.166	0.842	33.871
2020-06-24	13.696	997.862	0.822	34.693
2020-06-25	13.139	1011.001	0.801	35.494
2020-06-26	12.582	1023.583	0.779	36.273
2020-06-27	12.03	1035.613	0.758	37.031
2020-06-28	11.49	1047.103	0.738	37.769
2020-06-29	10.966	1058.069	0.721	38.49
2020-06-30	10.449	1068.518	0.702	39.192
2020-07-01	9.945	1078.463	0.682	39.874
2020-07-02	9.453	1087.916	0.661	40.535
2020-07-03	8.98	1096.896	0.637	41.172
2020-07-04	8.52	1105.416	0.613	41.785
2020-07-05	8.081	1113.497	0.588	42.373
2020-07-06	7.662	1121.159	0.563	42.936
2020-07-07	7.263	1128.422	0.538	43.474
2020-07-08	6.879	1135.301	0.514	43.988
2020-07-09	6.508	1141.809	0.49	44.478
2020-07-10	6.149	1147.958	0.467	44.945
2020-07-11	5.796	1153.754	0.445	45.39
2020-07-12	5.447	1159.201	0.423	45.813
2020-07-13	5.097	1164.298	0.402	46.215
2020-07-14	4.747	1169.045	0.381	46.596
2020-07-15	4.403	1173.448	0.361	46.957
2020-07-16	4.084	1177.532	0.343	47.3
2020-07-17	3.803	1181.335	0.325	47.625
2020-07-18	3.559	1184.894	0.308	47.933
2020-07-19	3.349	1188.243	0.291	48.224
2020-07-20	3.167	1191.41	0.275	48.499
2020-07-21	2.998	1194.408	0.259	48.758
2020-07-22	2.83	1197.238	0.244	49.002
2020-07-23	2.662	1199.9	0.228	49.23
2020-07-24	2.495	1202.395	0.212	49.442
2020-07-25	2.327	1204.722	0.197	49.639
2020-07-26	2.162	1206.884	0.183	49.822
2020-07-27	2.012	1208.896	0.17	49.992
2020-07-28	1.876	1210.772	0.159	50.151
2020-07-29	1.755	1212.527	0.15	50.301
2020-07-30	1.646	1214.173	0.142	50.443
2020-07-31	1.548	1215.721	0.134	50.577
2020-08-01	1.45	1217.171	0.127	50.704
2020-08-02	1.353	1218.524	0.119	50.823
2020-08-03	1.255	1219.779	0.112	50.935
2020-08-04	1.157	1220.936	0.104	51.039
2020-08-05	1.06	1221.996	0.097	51.136
2020-08-06	0.962	1222.958	0.09	51.226
2020-08-07	0.866	1223.824	0.084	51.31
2020-08-08	0.777	1224.601	0.078	51.388
2020-08-09	0.696	1225.297	0.074	51.462
2020-08-10	0.622	1225.919	0.069	51.531
2020-08-11	0.554	1226.473	0.065	51.596
2020-08-12	0.49	1226.963	0.06	51.656
2020-08-13	0.426	1227.389	0.056	51.712
2020-08-14	0.363	1227.752	0.052	51.764
2020-08-15	0.299	1228.051	0.047	51.811
2020-08-16	0.233	1228.284	0.043	51.854
2020-08-17	0.166	1228.45	0.039	51.893
2020-08-18	0.107	1228.557	0.035	51.928
2020-08-19	0.066	1228.623	0.031	51.959
2020-08-20	0.041	1228.664	0.028	51.987
2020-08-21	0.027	1228.691	0.025	52.012
2020-08-22	0.02	1228.711	0.022	52.034
2020-08-23	0.015	1228.726	0.019	52.053
2020-08-24	0.012	1228.738	0.016	52.069
2020-08-25	0.01	1228.748	0.013	52.082
2020-08-26	0.007	1228.755	0.01	52.092
2020-08-27	0.006	1228.761	0.007	52.099
2020-08-28	0.004	1228.765	0.005	52.104
2020-08-29	0.0	1228.765	0.003	52.107
2020-08-30	0.0	1228.765	0.002	52.109
2020-08-31	0.0	1228.765	0.001	52.11
2020-09-01	0.0	1228.765	0.001	52.111
2020-09-02	0.0	1228.765	0.001	52.112
2020-09-03	0.0	1228.765	0.001	52.113
2020-09-04	0.0	1228.765	0.0	52.113
2020-09-05	0.0	1228.765	0.0	52.113
2020-09-06	0.0	1228.765	0.0	52.113
