Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-17	0.742	20.742	0.0	1.0
2020-08-18	0.735	21.477	0.0	1.0
2020-08-19	0.726	22.203	0.0	1.0
2020-08-20	0.715	22.918	0.0	1.0
2020-08-21	0.701	23.619	0.0	1.0
2020-08-22	0.685	24.304	0.0	1.0
2020-08-23	0.667	24.971	0.0	1.0
2020-08-24	0.649	25.62	0.0	1.0
2020-08-25	0.631	26.251	0.0	1.0
2020-08-26	0.615	26.866	0.0	1.0
2020-08-27	0.6	27.466	0.0	1.0
2020-08-28	0.585	28.051	0.0	1.0
2020-08-29	0.568	28.619	0.0	1.0
2020-08-30	0.55	29.169	0.0	1.0
2020-08-31	0.531	29.7	0.0	1.0
2020-09-01	0.51	30.21	0.0	1.0
2020-09-02	0.489	30.699	0.0	1.0
2020-09-03	0.469	31.168	0.0	1.0
2020-09-04	0.448	31.616	0.0	1.0
2020-09-05	0.428	32.044	0.0	1.0
2020-09-06	0.408	32.452	0.0	1.0
2020-09-07	0.389	32.841	0.0	1.0
2020-09-08	0.37	33.211	0.0	1.0
2020-09-09	0.352	33.563	0.0	1.0
2020-09-10	0.334	33.897	0.0	1.0
2020-09-11	0.317	34.214	0.0	1.0
2020-09-12	0.301	34.515	0.0	1.0
2020-09-13	0.285	34.8	0.0	1.0
2020-09-14	0.27	35.07	0.0	1.0
2020-09-15	0.256	35.326	0.0	1.0
2020-09-16	0.242	35.568	0.0	1.0
2020-09-17	0.229	35.797	0.0	1.0
2020-09-18	0.216	36.013	0.0	1.0
2020-09-19	0.203	36.216	0.0	1.0
2020-09-20	0.19	36.406	0.0	1.0
2020-09-21	0.177	36.583	0.0	1.0
2020-09-22	0.164	36.747	0.0	1.0
2020-09-23	0.152	36.899	0.0	1.0
2020-09-24	0.142	37.041	0.0	1.0
2020-09-25	0.133	37.174	0.0	1.0
2020-09-26	0.125	37.299	0.0	1.0
2020-09-27	0.118	37.417	0.0	1.0
2020-09-28	0.112	37.529	0.0	1.0
2020-09-29	0.105	37.634	0.0	1.0
2020-09-30	0.099	37.733	0.0	1.0
2020-10-01	0.093	37.826	0.0	1.0
2020-10-02	0.087	37.913	0.0	1.0
2020-10-03	0.081	37.994	0.0	1.0
2020-10-04	0.075	38.069	0.0	1.0
2020-10-05	0.07	38.139	0.0	1.0
2020-10-06	0.065	38.204	0.0	1.0
2020-10-07	0.061	38.265	0.0	1.0
2020-10-08	0.058	38.323	0.0	1.0
2020-10-09	0.054	38.377	0.0	1.0
2020-10-10	0.05	38.427	0.0	1.0
2020-10-11	0.047	38.474	0.0	1.0
2020-10-12	0.043	38.517	0.0	1.0
2020-10-13	0.039	38.556	0.0	1.0
2020-10-14	0.036	38.592	0.0	1.0
2020-10-15	0.032	38.624	0.0	1.0
2020-10-16	0.029	38.653	0.0	1.0
2020-10-17	0.026	38.679	0.0	1.0
2020-10-18	0.023	38.702	0.0	1.0
2020-10-19	0.021	38.723	0.0	1.0
2020-10-20	0.018	38.741	0.0	1.0
2020-10-21	0.016	38.757	0.0	1.0
2020-10-22	0.014	38.771	0.0	1.0
2020-10-23	0.011	38.782	0.0	1.0
2020-10-24	0.009	38.791	0.0	1.0
2020-10-25	0.006	38.797	0.0	1.0
2020-10-26	0.004	38.801	0.0	1.0
2020-10-27	0.002	38.803	0.0	1.0
2020-10-28	0.002	38.805	0.0	1.0
2020-10-29	0.001	38.806	0.0	1.0
2020-10-30	0.001	38.807	0.0	1.0
2020-10-31	0.001	38.808	0.0	1.0
2020-11-01	0.0	38.808	0.0	1.0
2020-11-02	0.0	38.808	0.0	1.0
2020-11-03	0.0	38.808	0.0	1.0
2020-11-04	0.0	38.808	0.0	1.0
2020-11-05	0.0	38.808	0.0	1.0
