Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-05-28	3.796	239.796	0.591	0.591
2020-05-29	4.258	244.054	0.642	1.233
2020-05-30	4.725	248.779	0.698	1.931
2020-05-31	5.191	253.97	0.754	2.685
2020-06-01	5.66	259.63	0.809	3.494
2020-06-02	6.148	265.778	0.855	4.349
2020-06-03	6.687	272.465	0.891	5.24
2020-06-04	7.224	279.689	0.911	6.151
2020-06-05	7.743	287.432	0.923	7.074
2020-06-06	8.184	295.616	0.926	8.0
2020-06-07	8.527	304.143	0.924	8.924
2020-06-08	8.724	312.867	0.916	9.84
2020-06-09	8.836	321.703	0.904	10.744
2020-06-10	8.868	330.571	0.89	11.634
2020-06-11	8.851	339.422	0.873	12.507
2020-06-12	8.77	348.192	0.853	13.36
2020-06-13	8.656	356.848	0.83	14.19
2020-06-14	8.525	365.373	0.808	14.998
2020-06-15	8.361	373.734	0.786	15.784
2020-06-16	8.164	381.898	0.766	16.55
2020-06-17	7.951	389.849	0.747	17.297
2020-06-18	7.739	397.588	0.728	18.025
2020-06-19	7.528	405.116	0.708	18.733
2020-06-20	7.333	412.449	0.685	19.418
2020-06-21	7.155	419.604	0.661	20.079
2020-06-22	6.974	426.578	0.635	20.714
2020-06-23	6.776	433.354	0.609	21.323
2020-06-24	6.561	439.915	0.584	21.907
2020-06-25	6.33	446.245	0.558	22.465
2020-06-26	6.083	452.328	0.533	22.998
2020-06-27	5.835	458.163	0.509	23.507
2020-06-28	5.588	463.751	0.485	23.992
2020-06-29	5.343	469.094	0.461	24.453
2020-06-30	5.103	474.197	0.438	24.891
2020-07-01	4.87	479.067	0.417	25.308
2020-07-02	4.641	483.708	0.395	25.703
2020-07-03	4.417	488.125	0.375	26.078
2020-07-04	4.198	492.323	0.355	26.433
2020-07-05	3.988	496.311	0.337	26.77
2020-07-06	3.784	500.095	0.319	27.089
2020-07-07	3.589	503.684	0.302	27.391
2020-07-08	3.403	507.087	0.285	27.676
2020-07-09	3.226	510.313	0.269	27.945
2020-07-10	3.055	513.368	0.253	28.198
2020-07-11	2.89	516.258	0.236	28.434
2020-07-12	2.731	518.989	0.22	28.654
2020-07-13	2.574	521.563	0.204	28.858
2020-07-14	2.419	523.982	0.189	29.047
2020-07-15	2.264	526.246	0.176	29.223
2020-07-16	2.108	528.354	0.165	29.388
2020-07-17	1.955	530.309	0.155	29.543
2020-07-18	1.814	532.123	0.147	29.69
2020-07-19	1.689	533.812	0.139	29.829
2020-07-20	1.581	535.393	0.131	29.96
2020-07-21	1.487	536.88	0.123	30.083
2020-07-22	1.406	538.286	0.116	30.199
2020-07-23	1.331	539.617	0.108	30.307
2020-07-24	1.257	540.874	0.1	30.407
2020-07-25	1.182	542.056	0.093	30.5
2020-07-26	1.108	543.164	0.087	30.587
2020-07-27	1.033	544.197	0.081	30.668
2020-07-28	0.96	545.157	0.076	30.744
2020-07-29	0.893	546.05	0.072	30.816
2020-07-30	0.833	546.883	0.067	30.883
2020-07-31	0.779	547.662	0.063	30.946
2020-08-01	0.731	548.393	0.058	31.004
2020-08-02	0.687	549.08	0.054	31.058
2020-08-03	0.644	549.724	0.049	31.107
2020-08-04	0.601	550.325	0.045	31.152
2020-08-05	0.557	550.882	0.04	31.192
2020-08-06	0.514	551.396	0.036	31.228
2020-08-07	0.471	551.867	0.032	31.26
2020-08-08	0.427	552.294	0.029	31.289
2020-08-09	0.385	552.679	0.026	31.315
2020-08-10	0.345	553.024	0.023	31.338
2020-08-11	0.309	553.333	0.02	31.358
2020-08-12	0.276	553.609	0.017	31.375
2020-08-13	0.246	553.855	0.014	31.389
2020-08-14	0.217	554.072	0.011	31.4
2020-08-15	0.189	554.261	0.008	31.408
2020-08-16	0.161	554.422	0.005	31.413
2020-08-17	0.133	554.555	0.003	31.416
2020-08-18	0.104	554.659	0.002	31.418
2020-08-19	0.074	554.733	0.001	31.419
2020-08-20	0.047	554.78	0.001	31.42
2020-08-21	0.029	554.809	0.001	31.421
2020-08-22	0.018	554.827	0.001	31.422
2020-08-23	0.012	554.839	0.0	31.422
2020-08-24	0.009	554.848	0.0	31.422
2020-08-25	0.007	554.855	0.0	31.422
2020-08-26	0.005	554.86	0.0	31.422
2020-08-27	0.004	554.864	0.0	31.422
2020-08-28	0.003	554.867	0.0	31.422
2020-08-29	0.003	554.87	0.0	31.422
2020-08-30	0.002	554.872	0.0	31.422
