Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-02	0.16	6.16	0.262	0.262
2020-08-03	0.197	6.357	0.244	0.506
2020-08-04	0.243	6.6	0.227	0.733
2020-08-05	0.293	6.893	0.211	0.944
2020-08-06	0.347	7.24	0.198	1.142
2020-08-07	0.41	7.65	0.186	1.328
2020-08-08	0.484	8.134	0.174	1.502
2020-08-09	0.573	8.707	0.163	1.665
2020-08-10	0.676	9.383	0.152	1.817
2020-08-11	0.797	10.18	0.141	1.958
2020-08-12	0.933	11.113	0.13	2.088
2020-08-13	1.085	12.198	0.119	2.207
2020-08-14	1.25	13.448	0.108	2.315
2020-08-15	1.43	14.878	0.098	2.413
2020-08-16	1.622	16.5	0.088	2.501
2020-08-17	1.82	18.32	0.078	2.579
2020-08-18	2.02	20.34	0.07	2.649
2020-08-19	2.218	22.558	0.062	2.711
2020-08-20	2.419	24.977	0.055	2.766
2020-08-21	2.628	27.605	0.048	2.814
2020-08-22	2.858	30.463	0.041	2.855
2020-08-23	3.087	33.55	0.034	2.889
2020-08-24	3.309	36.859	0.026	2.915
2020-08-25	3.498	40.357	0.019	2.934
2020-08-26	3.644	44.001	0.012	2.946
2020-08-27	3.729	47.73	0.007	2.953
2020-08-28	3.776	51.506	0.005	2.958
2020-08-29	3.79	55.296	0.003	2.961
2020-08-30	3.783	59.079	0.002	2.963
2020-08-31	3.748	62.827	0.002	2.965
2020-09-01	3.699	66.526	0.001	2.966
2020-09-02	3.643	70.169	0.001	2.967
2020-09-03	3.573	73.742	0.001	2.968
2020-09-04	3.489	77.231	0.001	2.969
2020-09-05	3.398	80.629	0.0	2.969
2020-09-06	3.307	83.936	0.0	2.969
2020-09-07	3.217	87.153	0.0	2.969
2020-09-08	3.134	90.287	0.0	2.969
2020-09-09	3.058	93.345	0.0	2.969
2020-09-10	2.981	96.326	0.0	2.969
2020-09-11	2.896	99.222	0.0	2.969
2020-09-12	2.804	102.026	0.0	2.969
2020-09-13	2.705	104.731	0.0	2.969
2020-09-14	2.6	107.331	0.0	2.969
2020-09-15	2.494	109.825	0.0	2.969
2020-09-16	2.388	112.213	0.0	2.969
2020-09-17	2.283	114.496	0.0	2.969
2020-09-18	2.181	116.677	0.0	2.969
2020-09-19	2.081	118.758	0.0	2.969
2020-09-20	1.983	120.741	0.0	2.969
2020-09-21	1.888	122.629	0.0	2.969
2020-09-22	1.794	124.423	0.0	2.969
2020-09-23	1.704	126.127	0.0	2.969
2020-09-24	1.617	127.744	0.0	2.969
2020-09-25	1.534	129.278	0.0	2.969
2020-09-26	1.454	130.732	0.0	2.969
2020-09-27	1.379	132.111	0.0	2.969
2020-09-28	1.306	133.417	0.0	2.969
2020-09-29	1.235	134.652	0.0	2.969
2020-09-30	1.167	135.819	0.0	2.969
2020-10-01	1.1	136.919	0.0	2.969
2020-10-02	1.034	137.953	0.0	2.969
2020-10-03	0.967	138.92	0.0	2.969
2020-10-04	0.901	139.821	0.0	2.969
2020-10-05	0.836	140.657	0.0	2.969
2020-10-06	0.775	141.432	0.0	2.969
2020-10-07	0.722	142.154	0.0	2.969
2020-10-08	0.675	142.829	0.0	2.969
2020-10-09	0.636	143.465	0.0	2.969
2020-10-10	0.601	144.066	0.0	2.969
2020-10-11	0.569	144.635	0.0	2.969
2020-10-12	0.537	145.172	0.0	2.969
2020-10-13	0.505	145.677	0.0	2.969
2020-10-14	0.474	146.151	0.0	2.969
2020-10-15	0.442	146.593	0.0	2.969
2020-10-16	0.41	147.003	0.0	2.969
2020-10-17	0.382	147.385	0.0	2.969
2020-10-18	0.356	147.741	0.0	2.969
2020-10-19	0.333	148.074	0.0	2.969
2020-10-20	0.312	148.386	0.0	2.969
2020-10-21	0.294	148.68	0.0	2.969
2020-10-22	0.275	148.955	0.0	2.969
2020-10-23	0.257	149.212	0.0	2.969
2020-10-24	0.238	149.45	0.0	2.969
2020-10-25	0.22	149.67	0.0	2.969
2020-10-26	0.201	149.871	0.0	2.969
2020-10-27	0.183	150.054	0.0	2.969
2020-10-28	0.164	150.218	0.0	2.969
2020-10-29	0.148	150.366	0.0	2.969
2020-10-30	0.132	150.498	0.0	2.969
2020-10-31	0.118	150.616	0.0	2.969
2020-11-01	0.105	150.721	0.0	2.969
2020-11-02	0.093	150.814	0.0	2.969
2020-11-03	0.081	150.895	0.0	2.969
2020-11-04	0.069	150.964	0.0	2.969
2020-11-05	0.057	151.021	0.0	2.969
2020-11-06	0.044	151.065	0.0	2.969
2020-11-07	0.031	151.096	0.0	2.969
2020-11-08	0.02	151.116	0.0	2.969
2020-11-09	0.012	151.128	0.0	2.969
2020-11-10	0.008	151.136	0.0	2.969
2020-11-11	0.005	151.141	0.0	2.969
2020-11-12	0.004	151.145	0.0	2.969
2020-11-13	0.003	151.148	0.0	2.969
2020-11-14	0.002	151.15	0.0	2.969
2020-11-15	0.002	151.152	0.0	2.969
2020-11-16	0.001	151.153	0.0	2.969
2020-11-17	0.001	151.154	0.0	2.969
2020-11-18	0.001	151.155	0.0	2.969
