Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Turner	0.0	0.0	25.0	0.083	205.872	205.872	0.0	0.0	0.00296771	9.85e-06	0.02443875	0.02443875
Minnehaha	0.0	267.463	3752.463	0.006	39.786	92.786	0.0	0.00138671	0.01945531	3e-08	0.00020628	0.00048107
Brule	0.039	170.445	180.445	0.0	0.0	0.0	7.46e-06	0.0325961	0.03450851	0.0	0.0	0.0
Stanley	0.151	107.905	118.905	0.0	1.305	1.305	4.997e-05	0.03570649	0.03934646	0.0	0.00043183	0.00043183
Faulk	1.676	1466.466	1486.466	0.0	1.305	1.305	0.00071931	0.62938455	0.63796824	0.0	0.00056009	0.00056009
Pennington	0.0	280.559	672.559	0.0	18.428	26.428	0.0	0.00251107	0.00601956	0.0	0.00016493	0.00023654
Lyman	0.0	50.011	83.011	0.0	18.428	18.428	0.0	0.01308846	0.02172494	0.0	0.00482282	0.00482282
Lawrence	0.0	0.124	12.124	0.0	18.428	18.428	0.0	4.82e-06	0.000471	0.0	0.0007159	0.0007159
Tripp	0.101	71.942	78.942	0.0	18.428	18.428	1.844e-05	0.0131329	0.01441073	0.0	0.003364	0.003364
Aurora	0.0	9.566	42.566	0.0	18.428	18.428	0.0	0.00341521	0.01519672	0.0	0.00657908	0.00657908
Hughes	0.0	7.656	29.656	0.0	18.428	18.428	0.0	0.00043377	0.00168023	0.0	0.00104408	0.00104408
Hutchinson	0.38	271.761	280.761	0.0	18.428	18.428	5.149e-05	0.03682398	0.0380435	0.0	0.00249702	0.00249702
Marshall	0.0	0.0	4.0	0.0	18.428	18.428	0.0	0.0	0.00078247	0.0	0.00360485	0.00360485
Yankton	0.0	20.724	78.724	0.0	18.428	18.428	0.0	0.0009062	0.00344239	0.0	0.00080581	0.00080581
Moody	0.101	71.942	91.942	0.0	18.428	18.428	1.535e-05	0.0109351	0.01397507	0.0	0.00280103	0.00280103
Unassigned	0.0	0.0	1.0	0.0	0.0	5.0	N/A	N/A	N/A	N/A	N/A	N/A
Buffalo	0.879	955.504	1008.504	0.0	0.0	0.0	0.00043173	0.46930452	0.49533595	0.0	0.0	0.0
Clay	0.001	155.972	221.972	0.0	0.0	0.0	7e-08	0.01110833	0.01580885	0.0	0.0	0.0
Kingsbury	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.00101647	0.0	0.0	0.0
Oglala Lakota	0.0	38.068	84.068	0.0	0.0	0.0	0.0	0.00266042	0.00587518	0.0	0.0	0.0
Clark	0.609	435.616	446.616	0.0	0.0	0.0	0.00016288	0.11650602	0.11944798	0.0	0.0	0.0
Meade	0.0	32.24	69.24	0.0	0.0	1.0	0.0	0.00113946	0.00244716	0.0	0.0	3.534e-05
Corson	0.86	615.459	626.459	0.0	0.0	0.0	0.00020648	0.14776927	0.15041032	0.0	0.0	0.0
McCook	0.29	207.816	215.816	0.0	0.0	1.0	5.229e-05	0.03747133	0.03891381	0.0	0.0	0.00018031
Jackson	0.056	39.965	44.965	0.0	0.0	0.0	1.693e-05	0.01208497	0.01359692	0.0	0.0	0.0
