Name	Predicted_New_Cases	Total_Predicted_New_Cases	Total_Predicted_Cases	Predicted_New_Deaths	Total_Predicted_New_Deaths	Total_Predicted_Deaths	Predicted_New_per_capita	Predicted_Total_New_per_capita	Predicted_Total_Cases_per_capita	Predicted_New_Deaths_per_capita	Total_Predicted_New_Deaths_per_capita	Total_Predicted_Deaths_per_capita
Turner	0.738	721.84	772.84	0.0	40.21	40.21	8.761e-05	0.08568851	0.09174264	0.0	0.00477327	0.00477327
Todd	0.09	88.227	157.227	0.0	0.23	5.23	8.75e-06	0.00857989	0.01528999	0.0	2.237e-05	0.00050861
Brule	1.044	825.11	870.11	0.0	0.0	0.0	0.00019966	0.15779499	0.16640084	0.0	0.0	0.0
Fall River	0.693	677.729	699.729	0.0	0.0	0.0	0.00010255	0.10028544	0.10354084	0.0	0.0	0.0
Spink	0.011	77.839	101.839	0.0	0.0	0.0	1.69e-06	0.01198445	0.0156796	0.0	0.0	0.0
Hamlin	0.164	160.41	178.41	0.0	0.0	0.0	2.684e-05	0.02624939	0.02919489	0.0	0.0	0.0
Pennington	0.0	266.748	1147.748	0.001	42.934	74.934	0.0	0.00238746	0.01027261	1e-08	0.00038427	0.00067068
Perkins	0.0	0.25	6.25	0.001	42.934	42.934	0.0	8.556e-05	0.00213895	3.4e-07	0.01469336	0.01469336
Lawrence	1.401	1371.495	1423.495	0.0	0.124	0.124	5.443e-05	0.05328056	0.05530069	0.0	4.82e-06	4.82e-06
Aurora	0.0	7.112	45.112	0.0	0.124	0.124	0.0	0.00253909	0.01610568	0.0	4.427e-05	4.427e-05
Bennett	0.0	7.112	13.112	0.0	0.124	0.124	0.0	0.00205075	0.00378085	0.0	3.576e-05	3.576e-05
Hughes	0.001	25.318	117.318	0.0	0.0	2.0	6e-08	0.00143445	0.00664691	0.0	0.0	0.00011331
Oglala Lakota	0.0	48.544	202.544	0.041	40.103	42.103	0.0	0.00339255	0.01415501	2.87e-06	0.00280264	0.00294241
Campbell	0.0	5.745	8.745	0.041	40.103	40.103	0.0	0.00417211	0.00635076	2.977e-05	0.02912346	0.02912346
Charles Mix	0.156	152.388	253.388	0.0	4.951	4.951	1.671e-05	0.01631913	0.02713515	0.0	0.0005302	0.0005302
Meade	0.004	152.706	243.706	0.0	0.0	1.0	1.4e-07	0.00539712	0.00861335	0.0	0.0	3.534e-05
McPherson	0.18	176.45	184.45	0.0	0.0	0.0	7.478e-05	0.07330702	0.07663066	0.0	0.0	0.0
Grant	0.0	40.97	66.97	0.0	0.0	0.0	0.0	0.00573248	0.00937037	0.0	0.0	0.0
Jackson	0.001	33.912	44.912	0.0	0.0	1.0	3e-07	0.01025461	0.01358089	0.0	0.0	0.00030239
