Date	Predicted_Daily_Cases	Predicted_Total_Cases	Predicted_Daily_Deaths	Predicted_Total_Deaths
2020-08-02	23.458	886.458	0.787	12.787
2020-08-03	24.795	911.253	0.9	13.687
2020-08-04	25.832	937.085	1.021	14.708
2020-08-05	26.43	963.515	1.146	15.854
2020-08-06	26.769	990.284	1.271	17.125
2020-08-07	26.865	1017.149	1.397	18.522
2020-08-08	26.814	1043.963	1.523	20.045
2020-08-09	26.568	1070.531	1.654	21.699
2020-08-10	26.223	1096.754	1.799	23.498
2020-08-11	25.827	1122.581	1.944	25.442
2020-08-12	25.329	1147.91	2.083	27.525
2020-08-13	24.731	1172.641	2.202	29.727
2020-08-14	24.087	1196.728	2.294	32.021
2020-08-15	23.443	1220.171	2.347	34.368
2020-08-16	22.804	1242.975	2.377	36.745
2020-08-17	22.216	1265.191	2.386	39.131
2020-08-18	21.677	1286.868	2.381	41.512
2020-08-19	21.128	1307.996	2.36	43.872
2020-08-20	20.529	1328.525	2.329	46.201
2020-08-21	19.877	1348.402	2.294	48.495
2020-08-22	19.176	1367.578	2.25	50.745
2020-08-23	18.427	1386.005	2.196	52.941
2020-08-24	17.677	1403.682	2.139	55.08
2020-08-25	16.928	1420.61	2.082	57.162
2020-08-26	16.185	1436.795	2.025	59.187
2020-08-27	15.459	1452.254	1.973	61.16
2020-08-28	14.754	1467.008	1.925	63.085
2020-08-29	14.059	1481.067	1.876	64.961
2020-08-30	13.38	1494.447	1.823	66.784
2020-08-31	12.719	1507.166	1.765	68.549
2020-09-01	12.082	1519.248	1.703	70.252
2020-09-02	11.463	1530.711	1.637	71.889
2020-09-03	10.872	1541.583	1.57	73.459
2020-09-04	10.309	1551.892	1.503	74.962
2020-09-05	9.772	1561.664	1.437	76.399
2020-09-06	9.255	1570.919	1.373	77.772
2020-09-07	8.756	1579.675	1.31	79.082
2020-09-08	8.273	1587.948	1.249	80.331
2020-09-09	7.798	1595.746	1.188	81.519
2020-09-10	7.328	1603.074	1.13	82.649
2020-09-11	6.858	1609.932	1.073	83.722
2020-09-12	6.387	1616.319	1.018	84.74
2020-09-13	5.924	1622.243	0.966	85.706
2020-09-14	5.495	1627.738	0.916	86.622
2020-09-15	5.117	1632.855	0.868	87.49
2020-09-16	4.788	1637.643	0.822	88.312
2020-09-17	4.506	1642.149	0.778	89.09
2020-09-18	4.261	1646.41	0.735	89.825
2020-09-19	4.033	1650.443	0.693	90.518
2020-09-20	3.808	1654.251	0.651	91.169
2020-09-21	3.582	1657.833	0.609	91.778
2020-09-22	3.356	1661.189	0.567	92.345
2020-09-23	3.131	1664.32	0.526	92.871
2020-09-24	2.909	1667.229	0.488	93.359
2020-09-25	2.707	1669.936	0.454	93.813
2020-09-26	2.525	1672.461	0.425	94.238
2020-09-27	2.361	1674.822	0.4	94.638
2020-09-28	2.215	1677.037	0.378	95.016
2020-09-29	2.082	1679.119	0.358	95.374
2020-09-30	1.951	1681.07	0.338	95.712
2020-10-01	1.82	1682.89	0.318	96.03
2020-10-02	1.689	1684.579	0.298	96.328
2020-10-03	1.557	1686.136	0.278	96.606
2020-10-04	1.426	1687.562	0.258	96.864
2020-10-05	1.294	1688.856	0.24	97.104
2020-10-06	1.165	1690.021	0.224	97.328
2020-10-07	1.046	1691.067	0.21	97.538
2020-10-08	0.937	1692.004	0.197	97.735
2020-10-09	0.837	1692.841	0.185	97.92
2020-10-10	0.745	1693.586	0.173	98.093
2020-10-11	0.659	1694.245	0.162	98.255
2020-10-12	0.574	1694.819	0.15	98.405
2020-10-13	0.488	1695.307	0.138	98.543
2020-10-14	0.402	1695.709	0.127	98.67
2020-10-15	0.314	1696.023	0.115	98.785
2020-10-16	0.223	1696.246	0.103	98.888
2020-10-17	0.143	1696.389	0.093	98.981
2020-10-18	0.088	1696.477	0.083	99.064
2020-10-19	0.056	1696.533	0.074	99.138
2020-10-20	0.037	1696.57	0.066	99.204
2020-10-21	0.026	1696.596	0.059	99.263
2020-10-22	0.02	1696.616	0.051	99.314
2020-10-23	0.016	1696.632	0.043	99.357
2020-10-24	0.013	1696.645	0.036	99.393
2020-10-25	0.01	1696.655	0.028	99.421
2020-10-26	0.008	1696.663	0.02	99.441
2020-10-27	0.006	1696.669	0.013	99.454
2020-10-28	0.0	1696.669	0.008	99.462
2020-10-29	0.0	1696.669	0.005	99.467
2020-10-30	0.0	1696.669	0.003	99.47
2020-10-31	0.0	1696.669	0.002	99.472
2020-11-01	0.0	1696.669	0.002	99.474
2020-11-02	0.0	1696.669	0.001	99.475
2020-11-03	0.0	1696.669	0.001	99.476
2020-11-04	0.0	1696.669	0.001	99.477
2020-11-05	0.0	1696.669	0.001	99.478
