Date	Predicted Daily Cases	Predicted Total Cases	Predicted Daily Deaths	Predicted Total Deaths
2020-04-15	0.067	3.067	0.133	0.133
2020-04-16	0.066	3.133	0.145	0.278
2020-04-17	0.065	3.198	0.158	0.436
2020-04-18	0.064	3.262	0.17	0.606
2020-04-19	0.063	3.325	0.182	0.788
2020-04-20	0.061	3.386	0.193	0.981
2020-04-21	0.06	3.446	0.201	1.182
2020-04-22	0.058	3.504	0.206	1.388
2020-04-23	0.057	3.561	0.208	1.596
2020-04-24	0.055	3.616	0.209	1.805
2020-04-25	0.054	3.67	0.209	2.014
2020-04-26	0.053	3.723	0.207	2.221
2020-04-27	0.051	3.774	0.204	2.425
2020-04-28	0.049	3.823	0.201	2.626
2020-04-29	0.048	3.871	0.197	2.823
2020-04-30	0.046	3.917	0.192	3.015
2020-05-01	0.044	3.961	0.187	3.202
2020-05-02	0.042	4.003	0.182	3.384
2020-05-03	0.04	4.043	0.177	3.561
2020-05-04	0.038	4.081	0.173	3.734
2020-05-05	0.037	4.118	0.169	3.903
2020-05-06	0.035	4.153	0.164	4.067
2020-05-07	0.033	4.186	0.16	4.227
2020-05-08	0.032	4.218	0.155	4.382
2020-05-09	0.03	4.248	0.149	4.531
2020-05-10	0.028	4.276	0.143	4.674
2020-05-11	0.027	4.303	0.137	4.811
2020-05-12	0.026	4.329	0.132	4.943
2020-05-13	0.024	4.353	0.126	5.069
2020-05-14	0.023	4.376	0.12	5.189
2020-05-15	0.022	4.398	0.115	5.304
2020-05-16	0.021	4.419	0.109	5.413
2020-05-17	0.019	4.438	0.104	5.517
2020-05-18	0.018	4.456	0.099	5.616
2020-05-19	0.017	4.473	0.094	5.71
2020-05-20	0.016	4.489	0.089	5.799
2020-05-21	0.015	4.504	0.085	5.884
2020-05-22	0.014	4.518	0.08	5.964
2020-05-23	0.013	4.531	0.076	6.04
2020-05-24	0.012	4.543	0.072	6.112
2020-05-25	0.011	4.554	0.068	6.18
2020-05-26	0.011	4.565	0.064	6.244
2020-05-27	0.01	4.575	0.061	6.305
2020-05-28	0.009	4.584	0.057	6.362
2020-05-29	0.009	4.593	0.053	6.415
2020-05-30	0.008	4.601	0.05	6.465
2020-05-31	0.008	4.609	0.046	6.511
2020-06-01	0.007	4.616	0.043	6.554
2020-06-02	0.007	4.623	0.04	6.594
2020-06-03	0.006	4.629	0.037	6.631
2020-06-04	0.006	4.635	0.035	6.666
2020-06-05	0.006	4.641	0.033	6.699
2020-06-06	0.005	4.646	0.031	6.73
2020-06-07	0.005	4.651	0.03	6.76
2020-06-08	0.005	4.656	0.028	6.788
2020-06-09	0.004	4.66	0.026	6.814
2020-06-10	0.004	4.664	0.024	6.838
2020-06-11	0.004	4.668	0.023	6.861
2020-06-12	0.003	4.671	0.021	6.882
2020-06-13	0.003	4.674	0.02	6.902
2020-06-14	0.003	4.677	0.018	6.92
2020-06-15	0.002	4.679	0.017	6.937
2020-06-16	0.002	4.681	0.016	6.953
2020-06-17	0.002	4.683	0.015	6.968
2020-06-18	0.002	4.685	0.014	6.982
2020-06-19	0.001	4.686	0.013	6.995
2020-06-20	0.001	4.687	0.012	7.007
2020-06-21	0.001	4.688	0.011	7.018
2020-06-22	0.001	4.689	0.01	7.028
2020-06-23	0.001	4.69	0.009	7.037
2020-06-24	0.0	4.69	0.008	7.045
2020-06-25	0.0	4.69	0.007	7.052
2020-06-26	0.0	4.69	0.007	7.059
2020-06-27	0.0	4.69	0.006	7.065
2020-06-28	0.0	4.69	0.005	7.07
2020-06-29	0.0	4.69	0.004	7.074
2020-06-30	0.0	4.69	0.004	7.078
2020-07-01	0.0	4.69	0.003	7.081
2020-07-02	0.0	4.69	0.002	7.083
2020-07-03	0.0	4.69	0.002	7.085
2020-07-04	0.0	4.69	0.001	7.086
2020-07-05	0.0	4.69	0.0	7.086
2020-07-06	0.0	4.69	0.0	7.086
2020-07-07	0.0	4.69	0.0	7.086
2020-07-08	0.0	4.69	0.0	7.086
2020-07-09	0.0	4.69	0.0	7.086
2020-07-10	0.0	4.69	0.0	7.086
2020-07-11	0.0	4.69	0.0	7.086
2020-07-12	0.0	4.69	0.0	7.086
2020-07-13	0.0	4.69	0.0	7.086
2020-07-14	0.0	4.69	0.0	7.086
2020-07-15	0.0	4.69	0.0	7.086
2020-07-16	0.0	4.69	0.0	7.086
2020-07-17	0.0	4.69	0.0	7.086
2020-07-18	0.0	4.69	0.0	7.086
2020-07-19	0.0	4.69	0.0	7.086
2020-07-20	0.0	4.69	0.0	7.086
